region,category,parameter,mode,powertrain,year,unit,value
Greece,Historical,EV charging points,EV,Publicly available slow,2013,charging points,10.0
Greece,Historical,EV charging points,EV,Publicly available slow,2014,charging points,14.0
Greece,Historical,EV charging points,EV,Publicly available slow,2015,charging points,14.0
Greece,Historical,EV charging points,EV,Publicly available slow,2016,charging points,15.0
Greece,Historical,EV charging points,EV,Publicly available slow,2017,charging points,22.0
Greece,Historical,EV charging points,EV,Publicly available slow,2018,charging points,31.0
Greece,Historical,EV charging points,EV,Publicly available slow,2019,charging points,63.0
Greece,Historical,EV charging points,EV,Publicly available slow,2020,charging points,220.0
Greece,Historical,EV charging points,EV,Publicly available slow,2021,charging points,1200.0
Greece,Historical,EV charging points,EV,Publicly available slow,2022,charging points,2800.0
Greece,Historical,EV charging points,EV,Publicly available slow,2023,charging points,4800.0
Greece,Historical,EV charging points,EV,Publicly available fast,2014,charging points,2.0
Greece,Historical,EV charging points,EV,Publicly available fast,2015,charging points,2.0
Greece,Historical,EV charging points,EV,Publicly available fast,2016,charging points,2.0
Greece,Historical,EV charging points,EV,Publicly available fast,2017,charging points,2.0
Greece,Historical,EV charging points,EV,Publicly available fast,2018,charging points,10.0
Greece,Historical,EV charging points,EV,Publicly available fast,2019,charging points,10.0
Greece,Historical,EV charging points,EV,Publicly available fast,2020,charging points,14.0
Greece,Historical,EV charging points,EV,Publicly available fast,2021,charging points,100.0
Greece,Historical,EV charging points,EV,Publicly available fast,2022,charging points,190.0
Greece,Historical,EV charging points,EV,Publicly available fast,2023,charging points,330.0
