region,category,parameter,mode,powertrain,year,unit,value
India,Historical,EV charging points,EV,Publicly available slow,2017,charging points,220.0
India,Historical,EV charging points,EV,Publicly available slow,2018,charging points,330.0
India,Historical,EV charging points,EV,Publicly available slow,2019,charging points,330.0
India,Projection-STEPS,EV charging points,EV,Publicly available slow,2020,charging points,330.0
India,Projection-APS,EV charging points,EV,Publicly available slow,2020,charging points,330.0
India,Historical,EV charging points,EV,Publicly available slow,2020,charging points,330.0
India,Historical,EV charging points,EV,Publicly available slow,2021,charging points,910.0
India,Projection-APS,EV charging points,EV,Publicly available slow,2021,charging points,910.0
India,Projection-STEPS,EV charging points,EV,Publicly available slow,2021,charging points,910.0
India,Projection-STEPS,EV charging points,EV,Publicly available slow,2022,charging points,6800.0
India,Projection-APS,EV charging points,EV,Publicly available slow,2022,charging points,6800.0
India,Historical,EV charging points,EV,Publicly available slow,2022,charging points,6800.0
India,Historical,EV charging points,EV,Publicly available slow,2023,charging points,6800.0
India,Projection-APS,EV charging points,EV,Publicly available slow,2023,charging points,6800.0
India,Projection-STEPS,EV charging points,EV,Publicly available slow,2023,charging points,6800.0
India,Projection-APS,EV charging points,EV,Publicly available slow,2025,charging points,61000.0
India,Projection-STEPS,EV charging points,EV,Publicly available slow,2025,charging points,50000.0
India,Projection-STEPS,EV charging points,EV,Publicly available slow,2030,charging points,270000.0
India,Projection-APS,EV charging points,EV,Publicly available slow,2030,charging points,530000.0
India,Projection-APS,EV charging points,EV,Publicly available slow,2035,charging points,1700000.0
India,Projection-STEPS,EV charging points,EV,Publicly available slow,2035,charging points,600000.0
India,Historical,EV charging points,EV,Publicly available fast,2016,charging points,25.0
India,Historical,EV charging points,EV,Publicly available fast,2017,charging points,25.0
India,Historical,EV charging points,EV,Publicly available fast,2018,charging points,25.0
India,Historical,EV charging points,EV,Publicly available fast,2019,charging points,25.0
India,Projection-STEPS,EV charging points,EV,Publicly available fast,2020,charging points,25.0
India,Projection-APS,EV charging points,EV,Publicly available fast,2020,charging points,25.0
India,Historical,EV charging points,EV,Publicly available fast,2020,charging points,25.0
India,Historical,EV charging points,EV,Publicly available fast,2021,charging points,32.0
India,Projection-APS,EV charging points,EV,Publicly available fast,2021,charging points,32.0
India,Projection-STEPS,EV charging points,EV,Publicly available fast,2021,charging points,32.0
India,Projection-STEPS,EV charging points,EV,Publicly available fast,2022,charging points,4100.0
India,Projection-APS,EV charging points,EV,Publicly available fast,2022,charging points,4100.0
India,Historical,EV charging points,EV,Publicly available fast,2022,charging points,4100.0
India,Historical,EV charging points,EV,Publicly available fast,2023,charging points,4100.0
India,Projection-APS,EV charging points,EV,Publicly available fast,2023,charging points,4100.0
India,Projection-STEPS,EV charging points,EV,Publicly available fast,2023,charging points,4100.0
India,Projection-APS,EV charging points,EV,Publicly available fast,2025,charging points,5400.0
India,Projection-STEPS,EV charging points,EV,Publicly available fast,2025,charging points,4500.0
India,Projection-STEPS,EV charging points,EV,Publicly available fast,2030,charging points,40000.0
India,Projection-APS,EV charging points,EV,Publicly available fast,2030,charging points,77000.0
India,Projection-APS,EV charging points,EV,Publicly available fast,2035,charging points,250000.0
India,Projection-STEPS,EV charging points,EV,Publicly available fast,2035,charging points,88000.0
