region,category,parameter,mode,powertrain,year,unit,value
Korea,Historical,EV charging points,EV,Publicly available slow,2016,charging points,1100.0
Korea,Historical,EV charging points,EV,Publicly available slow,2017,charging points,10000.0
Korea,Historical,EV charging points,EV,Publicly available slow,2018,charging points,22000.0
Korea,Historical,EV charging points,EV,Publicly available slow,2019,charging points,37000.0
Korea,Historical,EV charging points,EV,Publicly available slow,2020,charging points,37000.0
Korea,Historical,EV charging points,EV,Publicly available slow,2021,charging points,92000.0
Korea,Historical,EV charging points,EV,Publicly available slow,2022,charging points,180000.0
Korea,Historical,EV charging points,EV,Publicly available slow,2023,charging points,180000.0
Korea,Historical,EV charging points,EV,Publicly available fast,2016,charging points,920.0
Korea,Historical,EV charging points,EV,Publicly available fast,2017,charging points,3300.0
Korea,Historical,EV charging points,EV,Publicly available fast,2018,charging points,5200.0
Korea,Historical,EV charging points,EV,Publicly available fast,2019,charging points,7400.0
Korea,Historical,EV charging points,EV,Publicly available fast,2020,charging points,9800.0
Korea,Historical,EV charging points,EV,Publicly available fast,2021,charging points,15000.0
Korea,Historical,EV charging points,EV,Publicly available fast,2022,charging points,21000.0
Korea,Historical,EV charging points,EV,Publicly available fast,2023,charging points,21000.0
