region,category,parameter,mode,powertrain,year,unit,value
Portugal,Historical,EV charging points,EV,Publicly available slow,2011,charging points,1100.0
Portugal,Historical,EV charging points,EV,Publicly available slow,2012,charging points,1100.0
Portugal,Historical,EV charging points,EV,Publicly available slow,2013,charging points,1200.0
Portugal,Historical,EV charging points,EV,Publicly available slow,2014,charging points,1200.0
Portugal,Historical,EV charging points,EV,Publicly available slow,2015,charging points,1200.0
Portugal,Historical,EV charging points,EV,Publicly available slow,2016,charging points,1300.0
Portugal,Historical,EV charging points,EV,Publicly available slow,2017,charging points,1500.0
Portugal,Historical,EV charging points,EV,Publicly available slow,2018,charging points,1600.0
Portugal,Historical,EV charging points,EV,Publicly available slow,2019,charging points,1600.0
Portugal,Historical,EV charging points,EV,Publicly available slow,2020,charging points,2200.0
Portugal,Historical,EV charging points,EV,Publicly available slow,2021,charging points,2800.0
Portugal,Historical,EV charging points,EV,Publicly available slow,2022,charging points,4000.0
Portugal,Historical,EV charging points,EV,Publicly available slow,2023,charging points,5600.0
Portugal,Historical,EV charging points,EV,Publicly available fast,2011,charging points,6.0
Portugal,Historical,EV charging points,EV,Publicly available fast,2012,charging points,7.0
Portugal,Historical,EV charging points,EV,Publicly available fast,2013,charging points,17.0
Portugal,Historical,EV charging points,EV,Publicly available fast,2014,charging points,17.0
Portugal,Historical,EV charging points,EV,Publicly available fast,2015,charging points,22.0
Portugal,Historical,EV charging points,EV,Publicly available fast,2016,charging points,41.0
Portugal,Historical,EV charging points,EV,Publicly available fast,2017,charging points,150.0
Portugal,Historical,EV charging points,EV,Publicly available fast,2018,charging points,180.0
Portugal,Historical,EV charging points,EV,Publicly available fast,2019,charging points,360.0
Portugal,Historical,EV charging points,EV,Publicly available fast,2020,charging points,650.0
Portugal,Historical,EV charging points,EV,Publicly available fast,2021,charging points,1400.0
Portugal,Historical,EV charging points,EV,Publicly available fast,2022,charging points,1600.0
Portugal,Historical,EV charging points,EV,Publicly available fast,2023,charging points,3800.0
