region,category,parameter,mode,powertrain,year,unit,value
Rest of the world,Projection-STEPS,EV charging points,EV,Publicly available slow,2020,charging points,76000.0
Rest of the world,Projection-APS,EV charging points,EV,Publicly available slow,2020,charging points,76000.0
Rest of the world,Projection-APS,EV charging points,EV,Publicly available slow,2021,charging points,130000.0
Rest of the world,Projection-STEPS,EV charging points,EV,Publicly available slow,2021,charging points,130000.0
Rest of the world,Projection-STEPS,EV charging points,EV,Publicly available slow,2022,charging points,230000.0
Rest of the world,Projection-APS,EV charging points,EV,Publicly available slow,2022,charging points,230000.0
Rest of the world,Projection-APS,EV charging points,EV,Publicly available slow,2023,charging points,240000.0
Rest of the world,Projection-STEPS,EV charging points,EV,Publicly available slow,2023,charging points,240000.0
Rest of the world,Projection-STEPS,EV charging points,EV,Publicly available slow,2025,charging points,430000.0
Rest of the world,Projection-APS,EV charging points,EV,Publicly available slow,2025,charging points,480000.0
Rest of the world,Projection-APS,EV charging points,EV,Publicly available slow,2030,charging points,1500000.0
Rest of the world,Projection-STEPS,EV charging points,EV,Publicly available slow,2030,charging points,1000000.0
Rest of the world,Projection-STEPS,EV charging points,EV,Publicly available slow,2035,charging points,1200000.0
Rest of the world,Projection-APS,EV charging points,EV,Publicly available slow,2035,charging points,2000000.0
Rest of the world,Projection-STEPS,EV charging points,EV,Publicly available fast,2020,charging points,21000.0
Rest of the world,Projection-APS,EV charging points,EV,Publicly available fast,2020,charging points,21000.0
Rest of the world,Projection-APS,EV charging points,EV,Publicly available fast,2021,charging points,28000.0
Rest of the world,Projection-STEPS,EV charging points,EV,Publicly available fast,2021,charging points,28000.0
Rest of the world,Projection-STEPS,EV charging points,EV,Publicly available fast,2022,charging points,35000.0
Rest of the world,Projection-APS,EV charging points,EV,Publicly available fast,2022,charging points,35000.0
Rest of the world,Projection-APS,EV charging points,EV,Publicly available fast,2023,charging points,38000.0
Rest of the world,Projection-STEPS,EV charging points,EV,Publicly available fast,2023,charging points,38000.0
Rest of the world,Projection-STEPS,EV charging points,EV,Publicly available fast,2025,charging points,130000.0
Rest of the world,Projection-APS,EV charging points,EV,Publicly available fast,2025,charging points,180000.0
Rest of the world,Projection-APS,EV charging points,EV,Publicly available fast,2030,charging points,480000.0
Rest of the world,Projection-STEPS,EV charging points,EV,Publicly available fast,2030,charging points,330000.0
Rest of the world,Projection-STEPS,EV charging points,EV,Publicly available fast,2035,charging points,490000.0
Rest of the world,Projection-APS,EV charging points,EV,Publicly available fast,2035,charging points,670000.0
