region,category,parameter,mode,powertrain,year,unit,value
Turkiye,Historical,EV charging points,EV,Publicly available slow,2016,charging points,11.0
Turkiye,Historical,EV charging points,EV,Publicly available slow,2017,charging points,69.0
Turkiye,Historical,EV charging points,EV,Publicly available slow,2018,charging points,69.0
Turkiye,Historical,EV charging points,EV,Publicly available slow,2019,charging points,150.0
Turkiye,Historical,EV charging points,EV,Publicly available slow,2020,charging points,1200.0
Turkiye,Historical,EV charging points,EV,Publicly available slow,2021,charging points,1800.0
Turkiye,Historical,EV charging points,EV,Publicly available slow,2022,charging points,1800.0
Turkiye,Historical,EV charging points,EV,Publicly available slow,2023,charging points,7000.0
Turkiye,Historical,EV charging points,EV,Publicly available fast,2013,charging points,1.0
Turkiye,Historical,EV charging points,EV,Publicly available fast,2014,charging points,1.0
Turkiye,Historical,EV charging points,EV,Publicly available fast,2015,charging points,7.0
Turkiye,Historical,EV charging points,EV,Publicly available fast,2016,charging points,7.0
Turkiye,Historical,EV charging points,EV,Publicly available fast,2017,charging points,7.0
Turkiye,Historical,EV charging points,EV,Publicly available fast,2018,charging points,7.0
Turkiye,Historical,EV charging points,EV,Publicly available fast,2019,charging points,30.0
Turkiye,Historical,EV charging points,EV,Publicly available fast,2020,charging points,120.0
Turkiye,Historical,EV charging points,EV,Publicly available fast,2021,charging points,180.0
Turkiye,Historical,EV charging points,EV,Publicly available fast,2022,charging points,180.0
Turkiye,Historical,EV charging points,EV,Publicly available fast,2023,charging points,800.0
