region,category,parameter,mode,powertrain,year,unit,value
USA,Historical,EV charging points,EV,Publicly available slow,2010,charging points,480.0
USA,Historical,EV charging points,EV,Publicly available slow,2011,charging points,3900.0
USA,Historical,EV charging points,EV,Publicly available slow,2012,charging points,12000.0
USA,Historical,EV charging points,EV,Publicly available slow,2013,charging points,15000.0
USA,Historical,EV charging points,EV,Publicly available slow,2014,charging points,20000.0
USA,Historical,EV charging points,EV,Publicly available slow,2015,charging points,28000.0
USA,Historical,EV charging points,EV,Publicly available slow,2016,charging points,35000.0
USA,Historical,EV charging points,EV,Publicly available slow,2017,charging points,40000.0
USA,Historical,EV charging points,EV,Publicly available slow,2018,charging points,50000.0
USA,Historical,EV charging points,EV,Publicly available slow,2019,charging points,64000.0
USA,Projection-STEPS,EV charging points,EV,Publicly available slow,2020,charging points,82000.0
USA,Projection-APS,EV charging points,EV,Publicly available slow,2020,charging points,82000.0
USA,Historical,EV charging points,EV,Publicly available slow,2020,charging points,82000.0
USA,Historical,EV charging points,EV,Publicly available slow,2021,charging points,92000.0
USA,Projection-APS,EV charging points,EV,Publicly available slow,2021,charging points,92000.0
USA,Projection-STEPS,EV charging points,EV,Publicly available slow,2021,charging points,92000.0
USA,Projection-STEPS,EV charging points,EV,Publicly available slow,2022,charging points,100000.0
USA,Projection-APS,EV charging points,EV,Publicly available slow,2022,charging points,100000.0
USA,Historical,EV charging points,EV,Publicly available slow,2022,charging points,100000.0
USA,Historical,EV charging points,EV,Publicly available slow,2023,charging points,140000.0
USA,Projection-APS,EV charging points,EV,Publicly available slow,2023,charging points,140000.0
USA,Projection-STEPS,EV charging points,EV,Publicly available slow,2023,charging points,140000.0
USA,Projection-STEPS,EV charging points,EV,Publicly available slow,2025,charging points,280000.0
USA,Projection-APS,EV charging points,EV,Publicly available slow,2025,charging points,280000.0
USA,Projection-STEPS,EV charging points,EV,Publicly available slow,2030,charging points,640000.0
USA,Projection-APS,EV charging points,EV,Publicly available slow,2030,charging points,630000.0
USA,Projection-APS,EV charging points,EV,Publicly available slow,2035,charging points,1200000.0
USA,Projection-STEPS,EV charging points,EV,Publicly available slow,2035,charging points,1200000.0
USA,Historical,EV charging points,EV,Publicly available fast,2015,charging points,3500.0
USA,Historical,EV charging points,EV,Publicly available fast,2016,charging points,3100.0
USA,Historical,EV charging points,EV,Publicly available fast,2017,charging points,3400.0
USA,Historical,EV charging points,EV,Publicly available fast,2018,charging points,4200.0
USA,Historical,EV charging points,EV,Publicly available fast,2019,charging points,13000.0
USA,Projection-STEPS,EV charging points,EV,Publicly available fast,2020,charging points,17000.0
USA,Projection-APS,EV charging points,EV,Publicly available fast,2020,charging points,17000.0
USA,Historical,EV charging points,EV,Publicly available fast,2020,charging points,17000.0
USA,Historical,EV charging points,EV,Publicly available fast,2021,charging points,22000.0
USA,Projection-APS,EV charging points,EV,Publicly available fast,2021,charging points,22000.0
USA,Projection-STEPS,EV charging points,EV,Publicly available fast,2021,charging points,22000.0
USA,Projection-STEPS,EV charging points,EV,Publicly available fast,2022,charging points,28000.0
USA,Projection-APS,EV charging points,EV,Publicly available fast,2022,charging points,28000.0
USA,Historical,EV charging points,EV,Publicly available fast,2022,charging points,28000.0
USA,Historical,EV charging points,EV,Publicly available fast,2023,charging points,43000.0
USA,Projection-APS,EV charging points,EV,Publicly available fast,2023,charging points,43000.0
USA,Projection-STEPS,EV charging points,EV,Publicly available fast,2023,charging points,43000.0
USA,Projection-STEPS,EV charging points,EV,Publicly available fast,2025,charging points,100000.0
USA,Projection-APS,EV charging points,EV,Publicly available fast,2025,charging points,100000.0
USA,Projection-APS,EV charging points,EV,Publicly available fast,2030,charging points,270000.0
USA,Projection-STEPS,EV charging points,EV,Publicly available fast,2030,charging points,280000.0
USA,Projection-APS,EV charging points,EV,Publicly available fast,2035,charging points,530000.0
USA,Projection-STEPS,EV charging points,EV,Publicly available fast,2035,charging points,520000.0
