region,category,parameter,mode,powertrain,year,unit,value
United Kingdom,Historical,EV charging points,EV,Publicly available slow,2011,charging points,1500.0
United Kingdom,Historical,EV charging points,EV,Publicly available slow,2012,charging points,2800.0
United Kingdom,Historical,EV charging points,EV,Publicly available slow,2013,charging points,5400.0
United Kingdom,Historical,EV charging points,EV,Publicly available slow,2014,charging points,7200.0
United Kingdom,Historical,EV charging points,EV,Publicly available slow,2015,charging points,8200.0
United Kingdom,Historical,EV charging points,EV,Publicly available slow,2016,charging points,11000.0
United Kingdom,Historical,EV charging points,EV,Publicly available slow,2017,charging points,13000.0
United Kingdom,Historical,EV charging points,EV,Publicly available slow,2018,charging points,15000.0
United Kingdom,Historical,EV charging points,EV,Publicly available slow,2019,charging points,14000.0
United Kingdom,Historical,EV charging points,EV,Publicly available slow,2020,charging points,17000.0
United Kingdom,Historical,EV charging points,EV,Publicly available slow,2021,charging points,23000.0
United Kingdom,Historical,EV charging points,EV,Publicly available slow,2022,charging points,30000.0
United Kingdom,Historical,EV charging points,EV,Publicly available slow,2023,charging points,43000.0
United Kingdom,Historical,EV charging points,EV,Publicly available fast,2012,charging points,36.0
United Kingdom,Historical,EV charging points,EV,Publicly available fast,2013,charging points,260.0
United Kingdom,Historical,EV charging points,EV,Publicly available fast,2014,charging points,520.0
United Kingdom,Historical,EV charging points,EV,Publicly available fast,2015,charging points,1100.0
United Kingdom,Historical,EV charging points,EV,Publicly available fast,2016,charging points,1800.0
United Kingdom,Historical,EV charging points,EV,Publicly available fast,2017,charging points,2200.0
United Kingdom,Historical,EV charging points,EV,Publicly available fast,2018,charging points,2700.0
United Kingdom,Historical,EV charging points,EV,Publicly available fast,2019,charging points,2800.0
United Kingdom,Historical,EV charging points,EV,Publicly available fast,2020,charging points,3900.0
United Kingdom,Historical,EV charging points,EV,Publicly available fast,2021,charging points,5200.0
United Kingdom,Historical,EV charging points,EV,Publicly available fast,2022,charging points,6900.0
United Kingdom,Historical,EV charging points,EV,Publicly available fast,2023,charging points,10000.0
