region,category,parameter,mode,powertrain,year,unit,value
Brazil,Historical,EV sales share,Cars,EV,2010,percent,0.00034999998752
Brazil,Historical,EV sales share,Cars,EV,2011,percent,0.000280000007479
Brazil,Historical,EV sales share,Cars,EV,2012,percent,0.001300000003539
Brazil,Historical,EV sales share,Cars,EV,2013,percent,0.002400000113994
Brazil,Historical,EV sales share,Buses,EV,2013,percent,0.00760000012815
Brazil,Historical,EV sales share,Vans,EV,2013,percent,0.001399999950081
Brazil,Historical,EV sales share,Vans,EV,2014,percent,0.002600000007078
Brazil,Historical,EV sales share,Cars,EV,2014,percent,0.002199999988079
Brazil,Historical,EV sales share,Cars,EV,2015,percent,0.004199999850243
Brazil,Historical,EV sales share,Vans,EV,2015,percent,0.00089999998454
Brazil,Historical,EV sales share,Vans,EV,2016,percent,0.002099999925122
Brazil,Historical,EV sales share,Cars,EV,2016,percent,0.010999999940395
Brazil,Historical,EV sales share,Cars,EV,2017,percent,0.023000000044704
Brazil,Historical,EV sales share,Vans,EV,2017,percent,0.006000000052154
Brazil,Historical,EV sales share,Buses,EV,2017,percent,0.009800000116229
Brazil,Historical,EV sales share,Buses,EV,2018,percent,0.050000000745058
Brazil,Historical,EV sales share,Vans,EV,2018,percent,0.001399999950081
Brazil,Historical,EV sales share,Cars,EV,2018,percent,0.019999999552965
Brazil,Historical,EV sales share,Trucks,EV,2018,percent,0.052999999374151
Brazil,Historical,EV sales share,Trucks,EV,2019,percent,0.023000000044704
Brazil,Historical,EV sales share,Cars,EV,2019,percent,0.086000002920628
Brazil,Historical,EV sales share,Vans,EV,2019,percent,0.003700000001118
Brazil,Historical,EV sales share,Buses,EV,2019,percent,0.068999998271465
Brazil,Historical,EV sales share,Buses,EV,2020,percent,0.109999999403954
Brazil,Historical,EV sales share,Vans,EV,2020,percent,0.01799999922514
Brazil,Historical,EV sales share,Cars,EV,2020,percent,0.159999996423721
Brazil,Historical,EV sales share,Trucks,EV,2020,percent,0.017000000923872
Brazil,Historical,EV sales share,Trucks,EV,2021,percent,0.230000004172325
Brazil,Historical,EV sales share,Cars,EV,2021,percent,0.899999976158142
Brazil,Historical,EV sales share,Vans,EV,2021,percent,0.035999998450279
Brazil,Historical,EV sales share,Buses,EV,2021,percent,0.730000019073486
Brazil,Historical,EV sales share,Buses,EV,2022,percent,1.70000004768372
Brazil,Historical,EV sales share,Vans,EV,2022,percent,0.129999995231628
Brazil,Historical,EV sales share,Cars,EV,2022,percent,1.20000004768372
Brazil,Historical,EV sales share,Trucks,EV,2022,percent,0.550000011920929
Brazil,Historical,EV sales share,Trucks,EV,2023,percent,0.560000002384186
Brazil,Historical,EV sales share,Cars,EV,2023,percent,3.0
Brazil,Historical,EV sales share,Vans,EV,2023,percent,0.159999996423721
Brazil,Historical,EV sales share,Buses,EV,2023,percent,0.5
