region,category,parameter,mode,powertrain,year,unit,value
China,Historical,EV sales share,Buses,EV,2010,percent,0.189999997615814
China,Historical,EV sales share,Vans,EV,2010,percent,0.009999999776483
China,Historical,EV sales share,Cars,EV,2010,percent,0.009999999776483
China,Historical,EV sales share,Cars,EV,2011,percent,0.034000001847744
China,Historical,EV sales share,Vans,EV,2011,percent,0.016000000759959
China,Historical,EV sales share,Buses,EV,2011,percent,0.529999971389771
China,Historical,EV sales share,Buses,EV,2012,percent,1.29999995231628
China,Historical,EV sales share,Vans,EV,2012,percent,0.072999998927116
China,Historical,EV sales share,Cars,EV,2012,percent,0.072999998927116
China,Historical,EV sales share,Cars,EV,2013,percent,0.094999998807907
China,Historical,EV sales share,Vans,EV,2013,percent,0.07599999755621
China,Historical,EV sales share,Buses,EV,2013,percent,2.59999990463257
China,Historical,EV sales share,Buses,EV,2014,percent,8.0
China,Historical,EV sales share,Vans,EV,2014,percent,0.045000001788139
China,Historical,EV sales share,Cars,EV,2014,percent,0.400000005960465
China,Historical,EV sales share,Trucks,EV,2015,percent,1.5
China,Historical,EV sales share,Cars,EV,2015,percent,1.0
China,Historical,EV sales share,Vans,EV,2015,percent,1.39999997615814
China,Historical,EV sales share,Buses,EV,2015,percent,38.0
China,Historical,EV sales share,Buses,EV,2016,percent,53.0
China,Historical,EV sales share,Vans,EV,2016,percent,0.879999995231628
China,Historical,EV sales share,Cars,EV,2016,percent,1.5
China,Historical,EV sales share,Trucks,EV,2016,percent,3.20000004768372
China,Historical,EV sales share,Trucks,EV,2017,percent,3.70000004768372
China,Historical,EV sales share,Cars,EV,2017,percent,2.40000009536743
China,Historical,EV sales share,Vans,EV,2017,percent,4.90000009536743
China,Historical,EV sales share,Buses,EV,2017,percent,60.0
China,Historical,EV sales share,Buses,EV,2018,percent,64.0
China,Historical,EV sales share,Vans,EV,2018,percent,3.5
China,Historical,EV sales share,Cars,EV,2018,percent,4.69999980926514
China,Historical,EV sales share,Trucks,EV,2018,percent,1.89999997615814
China,Historical,EV sales share,Trucks,EV,2019,percent,1.20000004768372
China,Historical,EV sales share,Cars,EV,2019,percent,5.0
China,Historical,EV sales share,Vans,EV,2019,percent,1.60000002384186
China,Historical,EV sales share,Buses,EV,2019,percent,61.0
China,Projection-APS,EV sales share,Buses,EV,2020,percent,66.0
China,Historical,EV sales share,Buses,EV,2020,percent,66.0
China,Historical,EV sales share,Vans,EV,2020,percent,1.39999997615814
China,Historical,EV sales share,Cars,EV,2020,percent,5.69999980926514
China,Historical,EV sales share,Trucks,EV,2020,percent,0.610000014305115
China,Projection-APS,EV sales share,Vans,EV,2020,percent,1.39999997615814
China,Projection-APS,EV sales share,Cars,EV,2020,percent,5.69999980926514
China,Projection-APS,EV sales share,Trucks,EV,2020,percent,0.610000014305115
China,Projection-STEPS,EV sales share,Buses,EV,2020,percent,66.0
China,Projection-STEPS,EV sales share,Vans,EV,2020,percent,1.39999997615814
China,Projection-STEPS,EV sales share,Cars,EV,2020,percent,5.69999980926514
China,Projection-STEPS,EV sales share,Trucks,EV,2020,percent,0.610000014305115
China,Projection-STEPS,EV sales share,Trucks,EV,2021,percent,0.75
China,Projection-STEPS,EV sales share,Cars,EV,2021,percent,16.0
China,Projection-STEPS,EV sales share,Vans,EV,2021,percent,4.09999990463257
China,Projection-STEPS,EV sales share,Buses,EV,2021,percent,56.0
China,Projection-APS,EV sales share,Trucks,EV,2021,percent,0.75
China,Projection-APS,EV sales share,Cars,EV,2021,percent,16.0
China,Projection-APS,EV sales share,Vans,EV,2021,percent,4.09999990463257
China,Historical,EV sales share,Trucks,EV,2021,percent,0.75
China,Historical,EV sales share,Cars,EV,2021,percent,16.0
China,Historical,EV sales share,Vans,EV,2021,percent,4.09999990463257
China,Historical,EV sales share,Buses,EV,2021,percent,56.0
China,Projection-APS,EV sales share,Buses,EV,2021,percent,56.0
China,Projection-APS,EV sales share,Buses,EV,2022,percent,66.0
China,Historical,EV sales share,Buses,EV,2022,percent,66.0
China,Historical,EV sales share,Vans,EV,2022,percent,11.0
China,Historical,EV sales share,Cars,EV,2022,percent,29.0
China,Historical,EV sales share,Trucks,EV,2022,percent,3.09999990463257
China,Projection-APS,EV sales share,Vans,EV,2022,percent,11.0
China,Projection-APS,EV sales share,Cars,EV,2022,percent,29.0
China,Projection-APS,EV sales share,Trucks,EV,2022,percent,3.09999990463257
China,Projection-STEPS,EV sales share,Buses,EV,2022,percent,66.0
China,Projection-STEPS,EV sales share,Vans,EV,2022,percent,11.0
China,Projection-STEPS,EV sales share,Cars,EV,2022,percent,29.0
China,Projection-STEPS,EV sales share,Trucks,EV,2022,percent,3.09999990463257
China,Projection-STEPS,EV sales share,Trucks,EV,2023,percent,2.79999995231628
China,Projection-STEPS,EV sales share,Cars,EV,2023,percent,38.0
China,Projection-STEPS,EV sales share,Vans,EV,2023,percent,12.0
China,Projection-STEPS,EV sales share,Buses,EV,2023,percent,50.0
China,Projection-APS,EV sales share,Trucks,EV,2023,percent,2.79999995231628
China,Projection-APS,EV sales share,Cars,EV,2023,percent,38.0
China,Projection-APS,EV sales share,Vans,EV,2023,percent,12.0
China,Historical,EV sales share,Trucks,EV,2023,percent,2.79999995231628
China,Historical,EV sales share,Cars,EV,2023,percent,38.0
China,Historical,EV sales share,Vans,EV,2023,percent,12.0
China,Historical,EV sales share,Buses,EV,2023,percent,50.0
China,Projection-APS,EV sales share,Buses,EV,2023,percent,50.0
China,Projection-APS,EV sales share,Buses,EV,2025,percent,50.0
China,Projection-APS,EV sales share,Trucks,EV,2025,percent,8.0
China,Projection-APS,EV sales share,Vans,EV,2025,percent,25.0
China,Projection-APS,EV sales share,Cars,EV,2025,percent,49.0
China,Projection-STEPS,EV sales share,Buses,EV,2025,percent,50.0
China,Projection-STEPS,EV sales share,Vans,EV,2025,percent,25.0
China,Projection-STEPS,EV sales share,Trucks,EV,2025,percent,8.0
China,Projection-STEPS,EV sales share,Cars,EV,2025,percent,49.0
China,Projection-STEPS,EV sales share,Cars,EV,2030,percent,68.0
China,Projection-STEPS,EV sales share,Trucks,EV,2030,percent,28.0
China,Projection-STEPS,EV sales share,Vans,EV,2030,percent,47.0
China,Projection-STEPS,EV sales share,Buses,EV,2030,percent,64.0
China,Projection-APS,EV sales share,Cars,EV,2030,percent,68.0
China,Projection-APS,EV sales share,Vans,EV,2030,percent,47.0
China,Projection-APS,EV sales share,Trucks,EV,2030,percent,27.0
China,Projection-APS,EV sales share,Buses,EV,2030,percent,64.0
China,Projection-APS,EV sales share,Buses,EV,2035,percent,72.0
China,Projection-APS,EV sales share,Trucks,EV,2035,percent,46.0
China,Projection-APS,EV sales share,Vans,EV,2035,percent,68.0
China,Projection-APS,EV sales share,Cars,EV,2035,percent,85.0
China,Projection-STEPS,EV sales share,Buses,EV,2035,percent,72.0
China,Projection-STEPS,EV sales share,Vans,EV,2035,percent,68.0
China,Projection-STEPS,EV sales share,Trucks,EV,2035,percent,46.0
China,Projection-STEPS,EV sales share,Cars,EV,2035,percent,85.0
