region,category,parameter,mode,powertrain,year,unit,value
France,Historical,EV sales share,Buses,EV,2010,percent,0.28999999165535
France,Historical,EV sales share,Vans,EV,2010,percent,0.189999997615814
France,Historical,EV sales share,Cars,EV,2010,percent,0.012000000104308
France,Historical,EV sales share,Trucks,EV,2010,percent,0.061999998986721
France,Historical,EV sales share,Trucks,EV,2011,percent,0.017000000923872
France,Historical,EV sales share,Cars,EV,2011,percent,0.119999997317791
France,Historical,EV sales share,Vans,EV,2011,percent,0.389999985694885
France,Historical,EV sales share,Buses,EV,2011,percent,0.330000013113022
France,Historical,EV sales share,Buses,EV,2012,percent,0.430000007152557
France,Historical,EV sales share,Vans,EV,2012,percent,0.959999978542328
France,Historical,EV sales share,Cars,EV,2012,percent,0.330000013113022
France,Historical,EV sales share,Trucks,EV,2012,percent,0.014000000432134
France,Historical,EV sales share,Trucks,EV,2013,percent,0.016000000759959
France,Historical,EV sales share,Cars,EV,2013,percent,0.529999971389771
France,Historical,EV sales share,Vans,EV,2013,percent,1.5
France,Historical,EV sales share,Buses,EV,2013,percent,0.370000004768372
France,Historical,EV sales share,Buses,EV,2014,percent,0.699999988079071
France,Historical,EV sales share,Vans,EV,2014,percent,1.29999995231628
France,Historical,EV sales share,Cars,EV,2014,percent,0.689999997615814
France,Historical,EV sales share,Trucks,EV,2014,percent,0.032999999821186
France,Historical,EV sales share,Trucks,EV,2015,percent,0.002400000113994
France,Historical,EV sales share,Cars,EV,2015,percent,1.20000004768372
France,Historical,EV sales share,Vans,EV,2015,percent,1.60000002384186
France,Historical,EV sales share,Buses,EV,2015,percent,0.699999988079071
France,Historical,EV sales share,Buses,EV,2016,percent,1.20000004768372
France,Historical,EV sales share,Vans,EV,2016,percent,1.89999997615814
France,Historical,EV sales share,Cars,EV,2016,percent,1.39999997615814
France,Historical,EV sales share,Trucks,EV,2016,percent,0.013000000268221
France,Historical,EV sales share,Trucks,EV,2017,percent,0.032000001519919
France,Historical,EV sales share,Cars,EV,2017,percent,1.70000004768372
France,Historical,EV sales share,Vans,EV,2017,percent,1.89999997615814
France,Historical,EV sales share,Buses,EV,2017,percent,0.270000010728836
France,Historical,EV sales share,Buses,EV,2018,percent,1.60000002384186
France,Historical,EV sales share,Vans,EV,2018,percent,2.40000009536743
France,Historical,EV sales share,Cars,EV,2018,percent,2.0
France,Historical,EV sales share,Trucks,EV,2018,percent,0.048000000417233
France,Historical,EV sales share,Trucks,EV,2019,percent,0.037999998778105
France,Historical,EV sales share,Cars,EV,2019,percent,2.70000004768372
France,Historical,EV sales share,Vans,EV,2019,percent,2.29999995231628
France,Historical,EV sales share,Buses,EV,2019,percent,4.19999980926514
France,Historical,EV sales share,Buses,EV,2020,percent,2.90000009536743
France,Historical,EV sales share,Vans,EV,2020,percent,3.0
France,Historical,EV sales share,Cars,EV,2020,percent,11.0
France,Historical,EV sales share,Trucks,EV,2020,percent,0.035000000149012
France,Historical,EV sales share,Trucks,EV,2021,percent,0.086000002920628
France,Historical,EV sales share,Cars,EV,2021,percent,17.0
France,Historical,EV sales share,Vans,EV,2021,percent,3.0
France,Historical,EV sales share,Buses,EV,2021,percent,9.19999980926514
France,Historical,EV sales share,Buses,EV,2022,percent,14.0
France,Historical,EV sales share,Vans,EV,2022,percent,4.90000009536743
France,Historical,EV sales share,Cars,EV,2022,percent,20.0
France,Historical,EV sales share,Trucks,EV,2022,percent,0.850000023841858
France,Historical,EV sales share,Trucks,EV,2023,percent,6.19999980926514
France,Historical,EV sales share,Cars,EV,2023,percent,25.0
France,Historical,EV sales share,Vans,EV,2023,percent,7.59999990463257
France,Historical,EV sales share,Buses,EV,2023,percent,13.0
