region,category,parameter,mode,powertrain,year,unit,value
Greece,Historical,EV sales share,Cars,EV,2013,percent,0.005100000184029
Greece,Historical,EV sales share,Cars,EV,2014,percent,0.054999999701977
Greece,Historical,EV sales share,Cars,EV,2015,percent,0.078000001609325
Greece,Historical,EV sales share,Cars,EV,2016,percent,0.119999997317791
Greece,Historical,EV sales share,Cars,EV,2017,percent,0.219999998807907
Greece,Historical,EV sales share,Cars,EV,2018,percent,0.28999999165535
Greece,Historical,EV sales share,Cars,EV,2019,percent,0.419999986886978
Greece,Historical,EV sales share,Cars,EV,2020,percent,2.59999990463257
Greece,Historical,EV sales share,Cars,EV,2021,percent,6.90000009536743
Greece,Historical,EV sales share,Cars,EV,2022,percent,7.90000009536743
Greece,Historical,EV sales share,Cars,EV,2023,percent,14.0
