region,category,parameter,mode,powertrain,year,unit,value
Iceland,Historical,EV sales share,Cars,EV,2012,percent,0.330000013113022
Iceland,Historical,EV sales share,Cars,EV,2013,percent,1.39999997615814
Iceland,Historical,EV sales share,Cars,EV,2014,percent,2.40000009536743
Iceland,Historical,EV sales share,Cars,EV,2015,percent,3.90000009536743
Iceland,Historical,EV sales share,Cars,EV,2016,percent,6.30000019073486
Iceland,Historical,EV sales share,Cars,EV,2017,percent,14.0
Iceland,Historical,EV sales share,Cars,EV,2018,percent,20.0
Iceland,Historical,EV sales share,Cars,EV,2019,percent,26.0
Iceland,Historical,EV sales share,Cars,EV,2020,percent,52.0
Iceland,Historical,EV sales share,Cars,EV,2021,percent,70.0
Iceland,Historical,EV sales share,Cars,EV,2022,percent,69.0
Iceland,Historical,EV sales share,Cars,EV,2023,percent,71.0
