region,category,parameter,mode,powertrain,year,unit,value
Norway,Historical,EV sales share,Vans,EV,2010,percent,0.003400000045076
Norway,Historical,EV sales share,Cars,EV,2010,percent,0.280000001192093
Norway,Historical,EV sales share,Cars,EV,2011,percent,1.39999997615814
Norway,Historical,EV sales share,Vans,EV,2011,percent,0.119999997317791
Norway,Historical,EV sales share,Vans,EV,2012,percent,0.189999997615814
Norway,Historical,EV sales share,Cars,EV,2012,percent,3.09999990463257
Norway,Historical,EV sales share,Cars,EV,2013,percent,5.80000019073486
Norway,Historical,EV sales share,Vans,EV,2013,percent,1.20000004768372
Norway,Historical,EV sales share,Vans,EV,2014,percent,2.0
Norway,Historical,EV sales share,Cars,EV,2014,percent,15.0
Norway,Historical,EV sales share,Cars,EV,2015,percent,22.0
Norway,Historical,EV sales share,Vans,EV,2015,percent,2.29999995231628
Norway,Historical,EV sales share,Buses,EV,2016,percent,0.930000007152557
Norway,Historical,EV sales share,Vans,EV,2016,percent,1.89999997615814
Norway,Historical,EV sales share,Cars,EV,2016,percent,29.0
Norway,Historical,EV sales share,Cars,EV,2017,percent,39.0
Norway,Historical,EV sales share,Trucks,EV,2017,percent,0.032000001519919
Norway,Historical,EV sales share,Vans,EV,2017,percent,2.20000004768372
Norway,Historical,EV sales share,Buses,EV,2017,percent,1.5
Norway,Historical,EV sales share,Buses,EV,2018,percent,1.20000004768372
Norway,Historical,EV sales share,Vans,EV,2018,percent,5.09999990463257
Norway,Historical,EV sales share,Cars,EV,2018,percent,49.0
Norway,Historical,EV sales share,Cars,EV,2019,percent,56.0
Norway,Historical,EV sales share,Trucks,EV,2019,percent,0.041000001132488
Norway,Historical,EV sales share,Vans,EV,2019,percent,5.59999990463257
Norway,Historical,EV sales share,Buses,EV,2019,percent,7.0
Norway,Historical,EV sales share,Buses,EV,2020,percent,21.0
Norway,Historical,EV sales share,Vans,EV,2020,percent,8.5
Norway,Historical,EV sales share,Trucks,EV,2020,percent,0.449999988079071
Norway,Historical,EV sales share,Cars,EV,2020,percent,75.0
Norway,Historical,EV sales share,Cars,EV,2021,percent,86.0
Norway,Historical,EV sales share,Trucks,EV,2021,percent,1.79999995231628
Norway,Historical,EV sales share,Vans,EV,2021,percent,5.59999990463257
Norway,Historical,EV sales share,Buses,EV,2021,percent,9.0
Norway,Historical,EV sales share,Buses,EV,2022,percent,48.0
Norway,Historical,EV sales share,Vans,EV,2022,percent,24.0
Norway,Historical,EV sales share,Trucks,EV,2022,percent,9.19999980926514
Norway,Historical,EV sales share,Cars,EV,2022,percent,89.0
Norway,Historical,EV sales share,Cars,EV,2023,percent,93.0
Norway,Historical,EV sales share,Trucks,EV,2023,percent,11.0
Norway,Historical,EV sales share,Vans,EV,2023,percent,29.0
Norway,Historical,EV sales share,Buses,EV,2023,percent,53.0
