region,category,parameter,mode,powertrain,year,unit,value
Rest of the world,Historical,EV sales share,Cars,EV,2011,percent,0.000319999991916
Rest of the world,Historical,EV sales share,Cars,EV,2012,percent,0.00359999993816
Rest of the world,Historical,EV sales share,Cars,EV,2013,percent,0.001700000022538
Rest of the world,Historical,EV sales share,Cars,EV,2014,percent,0.004300000146031
Rest of the world,Historical,EV sales share,Cars,EV,2015,percent,0.037999998778105
Rest of the world,Historical,EV sales share,Cars,EV,2016,percent,0.016000000759959
Rest of the world,Historical,EV sales share,Cars,EV,2017,percent,0.023000000044704
Rest of the world,Historical,EV sales share,Buses,EV,2017,percent,0.004600000102073
Rest of the world,Historical,EV sales share,Buses,EV,2018,percent,0.027000000700355
Rest of the world,Historical,EV sales share,Cars,EV,2018,percent,0.037000000476837
Rest of the world,Historical,EV sales share,Cars,EV,2019,percent,0.082000002264977
Rest of the world,Historical,EV sales share,Buses,EV,2019,percent,0.032999999821186
Rest of the world,Projection-APS,EV sales share,Buses,EV,2020,percent,0.230000004172325
Rest of the world,Projection-APS,EV sales share,Vans,EV,2020,percent,0.469999998807907
Rest of the world,Projection-APS,EV sales share,Cars,EV,2020,percent,0.790000021457672
Rest of the world,Projection-APS,EV sales share,Trucks,EV,2020,percent,0.0046999999322
Rest of the world,Projection-STEPS,EV sales share,Buses,EV,2020,percent,0.230000004172325
Rest of the world,Projection-STEPS,EV sales share,Vans,EV,2020,percent,0.469999998807907
Rest of the world,Projection-STEPS,EV sales share,Cars,EV,2020,percent,0.790000021457672
Rest of the world,Projection-STEPS,EV sales share,Trucks,EV,2020,percent,0.0046999999322
Rest of the world,Historical,EV sales share,Buses,EV,2020,percent,0.150000005960464
Rest of the world,Historical,EV sales share,Cars,EV,2020,percent,0.180000007152557
Rest of the world,Historical,EV sales share,Cars,EV,2021,percent,0.280000001192093
Rest of the world,Historical,EV sales share,Buses,EV,2021,percent,0.100000001490116
Rest of the world,Projection-STEPS,EV sales share,Trucks,EV,2021,percent,0.017000000923872
Rest of the world,Projection-STEPS,EV sales share,Cars,EV,2021,percent,1.39999997615814
Rest of the world,Projection-STEPS,EV sales share,Vans,EV,2021,percent,0.730000019073486
