region,category,parameter,mode,powertrain,year,unit,value
Switzerland,Historical,EV sales share,Cars,EV,2011,percent,0.140000000596046
Switzerland,Historical,EV sales share,Cars,EV,2012,percent,0.230000004172325
Switzerland,Historical,EV sales share,Vans,EV,2012,percent,0.379999995231628
Switzerland,Historical,EV sales share,Vans,EV,2013,percent,0.379999995231628
Switzerland,Historical,EV sales share,Cars,EV,2013,percent,0.430000007152557
Switzerland,Historical,EV sales share,Cars,EV,2014,percent,0.959999978542328
Switzerland,Historical,EV sales share,Vans,EV,2014,percent,0.180000007152557
Switzerland,Historical,EV sales share,Vans,EV,2015,percent,0.509999990463257
Switzerland,Historical,EV sales share,Cars,EV,2015,percent,1.70000004768372
Switzerland,Historical,EV sales share,Buses,EV,2016,percent,0.610000014305115
Switzerland,Historical,EV sales share,Cars,EV,2016,percent,1.89999997615814
Switzerland,Historical,EV sales share,Vans,EV,2016,percent,0.280000001192093
Switzerland,Historical,EV sales share,Vans,EV,2017,percent,0.670000016689301
Switzerland,Historical,EV sales share,Cars,EV,2017,percent,2.70000004768372
Switzerland,Historical,EV sales share,Buses,EV,2017,percent,0.25
Switzerland,Historical,EV sales share,Buses,EV,2018,percent,2.29999995231628
Switzerland,Historical,EV sales share,Cars,EV,2018,percent,3.20000004768372
Switzerland,Historical,EV sales share,Vans,EV,2018,percent,0.899999976158142
Switzerland,Historical,EV sales share,Vans,EV,2019,percent,1.60000002384186
Switzerland,Historical,EV sales share,Cars,EV,2019,percent,5.59999990463257
Switzerland,Historical,EV sales share,Buses,EV,2019,percent,1.29999995231628
Switzerland,Historical,EV sales share,Trucks,EV,2019,percent,0.790000021457672
Switzerland,Historical,EV sales share,Trucks,EV,2020,percent,0.959999978542328
Switzerland,Historical,EV sales share,Buses,EV,2020,percent,3.29999995231628
Switzerland,Historical,EV sales share,Cars,EV,2020,percent,14.0
Switzerland,Historical,EV sales share,Vans,EV,2020,percent,2.79999995231628
Switzerland,Historical,EV sales share,Vans,EV,2021,percent,3.90000009536743
Switzerland,Historical,EV sales share,Cars,EV,2021,percent,23.0
Switzerland,Historical,EV sales share,Buses,EV,2021,percent,6.80000019073486
Switzerland,Historical,EV sales share,Trucks,EV,2021,percent,1.29999995231628
Switzerland,Historical,EV sales share,Trucks,EV,2022,percent,4.90000009536743
Switzerland,Historical,EV sales share,Buses,EV,2022,percent,23.0
Switzerland,Historical,EV sales share,Cars,EV,2022,percent,26.0
Switzerland,Historical,EV sales share,Vans,EV,2022,percent,9.60000038146973
Switzerland,Historical,EV sales share,Vans,EV,2023,percent,13.0
Switzerland,Historical,EV sales share,Cars,EV,2023,percent,30.0
Switzerland,Historical,EV sales share,Buses,EV,2023,percent,65.0
Switzerland,Historical,EV sales share,Trucks,EV,2023,percent,8.19999980926514
