region,category,parameter,mode,powertrain,year,unit,value
USA,Historical,EV sales share,Cars,EV,2010,percent,0.012000000104308
USA,Historical,EV sales share,Cars,EV,2011,percent,0.150000005960464
USA,Historical,EV sales share,Buses,EV,2011,percent,0.239999994635582
USA,Historical,EV sales share,Buses,EV,2012,percent,0.002799999900162
USA,Historical,EV sales share,Cars,EV,2012,percent,0.419999986886978
USA,Historical,EV sales share,Cars,EV,2013,percent,0.709999978542328
USA,Historical,EV sales share,Buses,EV,2013,percent,0.003400000045076
USA,Historical,EV sales share,Buses,EV,2014,percent,0.019999999552965
USA,Historical,EV sales share,Cars,EV,2014,percent,0.769999980926514
USA,Historical,EV sales share,Cars,EV,2015,percent,0.699999988079071
USA,Historical,EV sales share,Buses,EV,2015,percent,0.439999997615814
USA,Historical,EV sales share,Buses,EV,2016,percent,0.180000007152557
USA,Historical,EV sales share,Cars,EV,2016,percent,0.990000009536743
USA,Historical,EV sales share,Cars,EV,2017,percent,1.29999995231628
USA,Historical,EV sales share,Buses,EV,2017,percent,0.109999999403954
USA,Historical,EV sales share,Buses,EV,2018,percent,0.370000004768372
USA,Historical,EV sales share,Cars,EV,2018,percent,2.29999995231628
USA,Historical,EV sales share,Cars,EV,2019,percent,2.09999990463257
USA,Historical,EV sales share,Buses,EV,2019,percent,0.560000002384186
USA,Projection-STEPS,EV sales share,Cars,EV,2020,percent,2.29999995231628
USA,Projection-STEPS,EV sales share,Buses,EV,2020,percent,0.28999999165535
USA,Projection-APS,EV sales share,Cars,EV,2020,percent,2.29999995231628
USA,Projection-APS,EV sales share,Buses,EV,2020,percent,0.28999999165535
USA,Historical,EV sales share,Buses,EV,2020,percent,0.28999999165535
USA,Historical,EV sales share,Cars,EV,2020,percent,2.29999995231628
USA,Historical,EV sales share,Cars,EV,2021,percent,4.69999980926514
USA,Historical,EV sales share,Buses,EV,2021,percent,1.20000004768372
USA,Projection-APS,EV sales share,Buses,EV,2021,percent,1.20000004768372
USA,Projection-APS,EV sales share,Cars,EV,2021,percent,4.69999980926514
USA,Projection-STEPS,EV sales share,Buses,EV,2021,percent,1.20000004768372
USA,Projection-STEPS,EV sales share,Cars,EV,2021,percent,4.69999980926514
USA,Projection-STEPS,EV sales share,Cars,EV,2022,percent,7.40000009536743
USA,Projection-STEPS,EV sales share,Buses,EV,2022,percent,2.70000004768372
USA,Projection-APS,EV sales share,Cars,EV,2022,percent,7.40000009536743
USA,Projection-APS,EV sales share,Buses,EV,2022,percent,2.70000004768372
USA,Historical,EV sales share,Buses,EV,2022,percent,2.70000004768372
USA,Historical,EV sales share,Cars,EV,2022,percent,7.40000009536743
USA,Historical,EV sales share,Cars,EV,2023,percent,9.5
USA,Historical,EV sales share,Buses,EV,2023,percent,0.769999980926514
USA,Projection-APS,EV sales share,Buses,EV,2023,percent,0.769999980926514
USA,Projection-APS,EV sales share,Cars,EV,2023,percent,9.5
USA,Projection-STEPS,EV sales share,Buses,EV,2023,percent,0.769999980926514
USA,Projection-STEPS,EV sales share,Cars,EV,2023,percent,9.5
USA,Projection-STEPS,EV sales share,Trucks,EV,2025,percent,2.0
USA,Projection-STEPS,EV sales share,Vans,EV,2025,percent,8.0
USA,Projection-STEPS,EV sales share,Cars,EV,2025,percent,20.0
USA,Projection-STEPS,EV sales share,Buses,EV,2025,percent,11.0
USA,Projection-APS,EV sales share,Cars,EV,2025,percent,20.0
USA,Projection-APS,EV sales share,Vans,EV,2025,percent,8.0
USA,Projection-APS,EV sales share,Buses,EV,2025,percent,11.0
USA,Projection-APS,EV sales share,Trucks,EV,2025,percent,6.0
USA,Projection-APS,EV sales share,Trucks,EV,2030,percent,34.0
USA,Projection-APS,EV sales share,Buses,EV,2030,percent,37.0
USA,Projection-APS,EV sales share,Vans,EV,2030,percent,44.0
USA,Projection-APS,EV sales share,Cars,EV,2030,percent,55.0
USA,Projection-STEPS,EV sales share,Buses,EV,2030,percent,35.0
USA,Projection-STEPS,EV sales share,Cars,EV,2030,percent,55.0
USA,Projection-STEPS,EV sales share,Vans,EV,2030,percent,44.0
USA,Projection-STEPS,EV sales share,Trucks,EV,2030,percent,20.0
USA,Projection-STEPS,EV sales share,Trucks,EV,2035,percent,48.0
USA,Projection-STEPS,EV sales share,Vans,EV,2035,percent,72.0
USA,Projection-STEPS,EV sales share,Cars,EV,2035,percent,71.0
USA,Projection-STEPS,EV sales share,Buses,EV,2035,percent,60.0
USA,Projection-APS,EV sales share,Cars,EV,2035,percent,71.0
USA,Projection-APS,EV sales share,Vans,EV,2035,percent,78.0
USA,Projection-APS,EV sales share,Buses,EV,2035,percent,74.0
USA,Projection-APS,EV sales share,Trucks,EV,2035,percent,69.0
