region,category,parameter,mode,powertrain,year,unit,value
United Kingdom,Historical,EV sales share,Cars,EV,2010,percent,0.013000000268221
United Kingdom,Historical,EV sales share,Trucks,EV,2010,percent,0.025000000372529
United Kingdom,Historical,EV sales share,Buses,EV,2010,percent,0.041999999433756
United Kingdom,Historical,EV sales share,Vans,EV,2010,percent,0.100000001490116
United Kingdom,Historical,EV sales share,Vans,EV,2011,percent,0.08500000089407
United Kingdom,Historical,EV sales share,Buses,EV,2011,percent,0.026000000536442
United Kingdom,Historical,EV sales share,Trucks,EV,2011,percent,0.012000000104308
United Kingdom,Historical,EV sales share,Cars,EV,2011,percent,0.061999998986721
United Kingdom,Historical,EV sales share,Cars,EV,2012,percent,0.129999995231628
United Kingdom,Historical,EV sales share,Trucks,EV,2012,percent,0.014000000432134
United Kingdom,Historical,EV sales share,Buses,EV,2012,percent,0.150000005960464
United Kingdom,Historical,EV sales share,Vans,EV,2012,percent,0.170000001788139
United Kingdom,Historical,EV sales share,Vans,EV,2013,percent,0.109999999403954
United Kingdom,Historical,EV sales share,Buses,EV,2013,percent,0.259999990463257
United Kingdom,Historical,EV sales share,Cars,EV,2013,percent,0.159999996423721
United Kingdom,Historical,EV sales share,Cars,EV,2014,percent,0.589999973773956
United Kingdom,Historical,EV sales share,Trucks,EV,2014,percent,0.020999999716878
United Kingdom,Historical,EV sales share,Buses,EV,2014,percent,0.540000021457672
United Kingdom,Historical,EV sales share,Vans,EV,2014,percent,0.25
United Kingdom,Historical,EV sales share,Vans,EV,2015,percent,0.280000001192093
United Kingdom,Historical,EV sales share,Buses,EV,2015,percent,0.140000000596046
United Kingdom,Historical,EV sales share,Trucks,EV,2015,percent,0.006000000052154
United Kingdom,Historical,EV sales share,Cars,EV,2015,percent,1.10000002384186
United Kingdom,Historical,EV sales share,Cars,EV,2016,percent,1.39999997615814
United Kingdom,Historical,EV sales share,Trucks,EV,2016,percent,0.014999999664724
United Kingdom,Historical,EV sales share,Buses,EV,2016,percent,1.20000004768372
United Kingdom,Historical,EV sales share,Vans,EV,2016,percent,0.28999999165535
United Kingdom,Historical,EV sales share,Buses,EV,2017,percent,0.469999998807907
United Kingdom,Historical,EV sales share,Trucks,EV,2017,percent,0.007699999958277
United Kingdom,Historical,EV sales share,Cars,EV,2017,percent,1.89999997615814
United Kingdom,Historical,EV sales share,Vans,EV,2017,percent,0.370000004768372
United Kingdom,Historical,EV sales share,Vans,EV,2018,percent,0.449999988079071
United Kingdom,Historical,EV sales share,Cars,EV,2018,percent,2.59999990463257
United Kingdom,Historical,EV sales share,Trucks,EV,2018,percent,0.024000000208616
United Kingdom,Historical,EV sales share,Buses,EV,2018,percent,1.0
United Kingdom,Historical,EV sales share,Buses,EV,2019,percent,1.39999997615814
United Kingdom,Historical,EV sales share,Cars,EV,2019,percent,3.29999995231628
United Kingdom,Historical,EV sales share,Vans,EV,2019,percent,0.97000002861023
United Kingdom,Historical,EV sales share,Trucks,EV,2019,percent,0.035999998450279
United Kingdom,Historical,EV sales share,Trucks,EV,2020,percent,0.032999999821186
United Kingdom,Historical,EV sales share,Vans,EV,2020,percent,2.09999990463257
United Kingdom,Historical,EV sales share,Cars,EV,2020,percent,11.0
United Kingdom,Historical,EV sales share,Buses,EV,2020,percent,11.0
United Kingdom,Historical,EV sales share,Buses,EV,2021,percent,8.69999980926514
United Kingdom,Historical,EV sales share,Cars,EV,2021,percent,19.0
United Kingdom,Historical,EV sales share,Vans,EV,2021,percent,3.79999995231628
United Kingdom,Historical,EV sales share,Trucks,EV,2021,percent,0.340000003576279
United Kingdom,Historical,EV sales share,Trucks,EV,2022,percent,1.10000002384186
United Kingdom,Historical,EV sales share,Vans,EV,2022,percent,6.19999980926514
United Kingdom,Historical,EV sales share,Cars,EV,2022,percent,23.0
United Kingdom,Historical,EV sales share,Buses,EV,2022,percent,6.5
United Kingdom,Historical,EV sales share,Buses,EV,2023,percent,17.0
United Kingdom,Historical,EV sales share,Cars,EV,2023,percent,24.0
United Kingdom,Historical,EV sales share,Vans,EV,2023,percent,6.5
United Kingdom,Historical,EV sales share,Trucks,EV,2023,percent,2.70000004768372
