region,category,parameter,mode,powertrain,year,unit,value
Austria,Historical,EV sales,Cars,PHEV,2015,Vehicles,1100.0
Austria,Historical,EV sales,Cars,PHEV,2016,Vehicles,1200.0
Austria,Historical,EV sales,Cars,PHEV,2017,Vehicles,1700.0
Austria,Historical,EV sales,Cars,PHEV,2018,Vehicles,2300.0
Austria,Historical,EV sales,Cars,PHEV,2019,Vehicles,2200.0
Austria,Historical,EV sales,Cars,PHEV,2020,Vehicles,7600.0
Austria,Historical,EV sales,Cars,PHEV,2021,Vehicles,15000.0
Austria,Historical,EV sales,Cars,PHEV,2022,Vehicles,13000.0
Austria,Historical,EV sales,Cars,PHEV,2023,Vehicles,17000.0
Austria,Historical,EV sales,Cars,FCEV,2014,Vehicles,6.0
Austria,Historical,EV sales,Cars,FCEV,2015,Vehicles,4.0
Austria,Historical,EV sales,Cars,FCEV,2017,Vehicles,2.0
Austria,Historical,EV sales,Cars,FCEV,2018,Vehicles,7.0
Austria,Historical,EV sales,Cars,FCEV,2019,Vehicles,19.0
Austria,Historical,EV sales,Cars,FCEV,2020,Vehicles,14.0
Austria,Historical,EV sales,Cars,FCEV,2021,Vehicles,14.0
Austria,Historical,EV sales,Cars,FCEV,2022,Vehicles,14.0
Austria,Historical,EV sales,Cars,FCEV,2023,Vehicles,9.0
Austria,Historical,EV sales,Cars,BEV,2013,Vehicles,650.0
Austria,Historical,EV sales,Cars,BEV,2014,Vehicles,1700.0
Austria,Historical,EV sales,Cars,BEV,2015,Vehicles,1700.0
Austria,Historical,EV sales,Cars,BEV,2016,Vehicles,3800.0
Austria,Historical,EV sales,Cars,BEV,2017,Vehicles,5400.0
Austria,Historical,EV sales,Cars,BEV,2018,Vehicles,6800.0
Austria,Historical,EV sales,Cars,BEV,2019,Vehicles,9300.0
Austria,Historical,EV sales,Cars,BEV,2020,Vehicles,16000.0
Austria,Historical,EV sales,Cars,BEV,2021,Vehicles,33000.0
Austria,Historical,EV sales,Cars,BEV,2022,Vehicles,34000.0
Austria,Historical,EV sales,Cars,BEV,2023,Vehicles,48000.0
