region,category,parameter,mode,powertrain,year,unit,value
Brazil,Historical,EV sales,Cars,PHEV,2012,Vehicles,18.0
Brazil,Historical,EV sales,Cars,PHEV,2013,Vehicles,33.0
Brazil,Historical,EV sales,Cars,PHEV,2015,Vehicles,28.0
Brazil,Historical,EV sales,Cars,PHEV,2016,Vehicles,47.0
Brazil,Historical,EV sales,Cars,PHEV,2017,Vehicles,290.0
Brazil,Historical,EV sales,Cars,PHEV,2018,Vehicles,230.0
Brazil,Historical,EV sales,Cars,PHEV,2019,Vehicles,1400.0
Brazil,Historical,EV sales,Cars,PHEV,2020,Vehicles,1800.0
Brazil,Historical,EV sales,Cars,PHEV,2021,Vehicles,11000.0
Brazil,Historical,EV sales,Cars,PHEV,2022,Vehicles,10000.0
Brazil,Historical,EV sales,Cars,PHEV,2023,Vehicles,33000.0
Brazil,Historical,EV sales,Buses,FCEV,2020,Vehicles,1.0
Brazil,Historical,EV sales,Cars,FCEV,2021,Vehicles,1.0
Brazil,Historical,EV sales,Buses,FCEV,2022,Vehicles,2.0
Brazil,Historical,EV sales,Cars,FCEV,2022,Vehicles,2.0
Brazil,Historical,EV sales,Cars,BEV,2010,Vehicles,10.0
Brazil,Historical,EV sales,Cars,BEV,2011,Vehicles,8.0
Brazil,Historical,EV sales,Cars,BEV,2012,Vehicles,22.0
Brazil,Historical,EV sales,Cars,BEV,2013,Vehicles,39.0
Brazil,Historical,EV sales,Buses,BEV,2013,Vehicles,5.0
Brazil,Historical,EV sales,Vans,BEV,2013,Vehicles,7.0
Brazil,Historical,EV sales,Vans,BEV,2014,Vehicles,13.0
Brazil,Historical,EV sales,Cars,BEV,2014,Vehicles,61.0
Brazil,Historical,EV sales,Cars,BEV,2015,Vehicles,61.0
Brazil,Historical,EV sales,Vans,BEV,2015,Vehicles,3.0
Brazil,Historical,EV sales,Vans,BEV,2016,Vehicles,6.0
Brazil,Historical,EV sales,Cars,BEV,2016,Vehicles,130.0
Brazil,Historical,EV sales,Cars,BEV,2017,Vehicles,140.0
Brazil,Historical,EV sales,Vans,BEV,2017,Vehicles,18.0
Brazil,Historical,EV sales,Buses,BEV,2017,Vehicles,3.0
Brazil,Historical,EV sales,Buses,BEV,2018,Vehicles,18.0
Brazil,Historical,EV sales,Vans,BEV,2018,Vehicles,5.0
Brazil,Historical,EV sales,Trucks,BEV,2018,Vehicles,40.0
Brazil,Historical,EV sales,Cars,BEV,2018,Vehicles,180.0
Brazil,Historical,EV sales,Cars,BEV,2019,Vehicles,540.0
Brazil,Historical,EV sales,Trucks,BEV,2019,Vehicles,23.0
Brazil,Historical,EV sales,Vans,BEV,2019,Vehicles,14.0
Brazil,Historical,EV sales,Buses,BEV,2019,Vehicles,32.0
Brazil,Historical,EV sales,Buses,BEV,2020,Vehicles,37.0
Brazil,Historical,EV sales,Vans,BEV,2020,Vehicles,58.0
Brazil,Historical,EV sales,Trucks,BEV,2020,Vehicles,15.0
Brazil,Historical,EV sales,Cars,BEV,2020,Vehicles,800.0
Brazil,Historical,EV sales,Cars,BEV,2021,Vehicles,2900.0
Brazil,Historical,EV sales,Vans,BEV,2021,Vehicles,150.0
Brazil,Historical,EV sales,Trucks,BEV,2021,Vehicles,290.0
Brazil,Historical,EV sales,Buses,BEV,2021,Vehicles,240.0
Brazil,Historical,EV sales,Buses,BEV,2022,Vehicles,610.0
Brazil,Historical,EV sales,Trucks,BEV,2022,Vehicles,710.0
Brazil,Historical,EV sales,Vans,BEV,2022,Vehicles,520.0
Brazil,Historical,EV sales,Cars,BEV,2022,Vehicles,8500.0
Brazil,Historical,EV sales,Cars,BEV,2023,Vehicles,19000.0
Brazil,Historical,EV sales,Vans,BEV,2023,Vehicles,690.0
Brazil,Historical,EV sales,Trucks,BEV,2023,Vehicles,810.0
Brazil,Historical,EV sales,Buses,BEV,2023,Vehicles,200.0
