region,category,parameter,mode,powertrain,year,unit,value
Bulgaria,Historical,EV sales,Cars,PHEV,2016,Vehicles,8.0
Bulgaria,Historical,EV sales,Cars,PHEV,2017,Vehicles,38.0
Bulgaria,Historical,EV sales,Cars,PHEV,2018,Vehicles,26.0
Bulgaria,Historical,EV sales,Cars,PHEV,2019,Vehicles,56.0
Bulgaria,Historical,EV sales,Cars,PHEV,2020,Vehicles,41.0
Bulgaria,Historical,EV sales,Cars,PHEV,2021,Vehicles,120.0
Bulgaria,Historical,EV sales,Cars,PHEV,2022,Vehicles,140.0
Bulgaria,Historical,EV sales,Cars,PHEV,2023,Vehicles,360.0
Bulgaria,Historical,EV sales,Cars,BEV,2015,Vehicles,21.0
Bulgaria,Historical,EV sales,Cars,BEV,2016,Vehicles,5.0
Bulgaria,Historical,EV sales,Cars,BEV,2017,Vehicles,68.0
Bulgaria,Historical,EV sales,Cars,BEV,2018,Vehicles,190.0
Bulgaria,Historical,EV sales,Cars,BEV,2019,Vehicles,180.0
Bulgaria,Historical,EV sales,Cars,BEV,2020,Vehicles,140.0
Bulgaria,Historical,EV sales,Cars,BEV,2021,Vehicles,430.0
Bulgaria,Historical,EV sales,Cars,BEV,2022,Vehicles,1000.0
Bulgaria,Historical,EV sales,Cars,BEV,2023,Vehicles,1800.0
