region,category,parameter,mode,powertrain,year,unit,value
Denmark,Historical,EV sales,Cars,PHEV,2011,Vehicles,2.0
Denmark,Historical,EV sales,Cars,PHEV,2012,Vehicles,12.0
Denmark,Historical,EV sales,Vans,PHEV,2012,Vehicles,8.0
Denmark,Historical,EV sales,Vans,PHEV,2013,Vehicles,2.0
Denmark,Historical,EV sales,Cars,PHEV,2013,Vehicles,10.0
Denmark,Historical,EV sales,Cars,PHEV,2014,Vehicles,90.0
Denmark,Historical,EV sales,Vans,PHEV,2014,Vehicles,2.0
Denmark,Historical,EV sales,Vans,PHEV,2015,Vehicles,85.0
Denmark,Historical,EV sales,Cars,PHEV,2015,Vehicles,420.0
Denmark,Historical,EV sales,Cars,PHEV,2016,Vehicles,570.0
Denmark,Historical,EV sales,Vans,PHEV,2016,Vehicles,81.0
Denmark,Historical,EV sales,Vans,PHEV,2017,Vehicles,24.0
Denmark,Historical,EV sales,Cars,PHEV,2017,Vehicles,620.0
Denmark,Historical,EV sales,Cars,PHEV,2018,Vehicles,3100.0
Denmark,Historical,EV sales,Vans,PHEV,2018,Vehicles,31.0
Denmark,Historical,EV sales,Vans,PHEV,2019,Vehicles,34.0
Denmark,Historical,EV sales,Cars,PHEV,2019,Vehicles,3900.0
Denmark,Historical,EV sales,Buses,PHEV,2019,Vehicles,17.0
Denmark,Historical,EV sales,Cars,PHEV,2020,Vehicles,18000.0
Denmark,Historical,EV sales,Vans,PHEV,2020,Vehicles,160.0
Denmark,Historical,EV sales,Vans,PHEV,2021,Vehicles,320.0
Denmark,Historical,EV sales,Cars,PHEV,2021,Vehicles,40000.0
Denmark,Historical,EV sales,Cars,PHEV,2022,Vehicles,26000.0
Denmark,Historical,EV sales,Vans,PHEV,2022,Vehicles,370.0
Denmark,Historical,EV sales,Vans,PHEV,2023,Vehicles,370.0
Denmark,Historical,EV sales,Cars,PHEV,2023,Vehicles,17000.0
Denmark,Historical,EV sales,Cars,FCEV,2013,Vehicles,15.0
Denmark,Historical,EV sales,Cars,FCEV,2014,Vehicles,1.0
Denmark,Historical,EV sales,Cars,FCEV,2015,Vehicles,38.0
Denmark,Historical,EV sales,Cars,FCEV,2016,Vehicles,14.0
Denmark,Historical,EV sales,Cars,FCEV,2017,Vehicles,15.0
Denmark,Historical,EV sales,Cars,FCEV,2018,Vehicles,5.0
Denmark,Historical,EV sales,Cars,FCEV,2019,Vehicles,8.0
Denmark,Historical,EV sales,Trucks,FCEV,2019,Vehicles,1.0
Denmark,Historical,EV sales,Buses,FCEV,2020,Vehicles,3.0
Denmark,Historical,EV sales,Trucks,FCEV,2020,Vehicles,1.0
Denmark,Historical,EV sales,Cars,FCEV,2020,Vehicles,45.0
Denmark,Historical,EV sales,Vans,FCEV,2021,Vehicles,2.0
Denmark,Historical,EV sales,Cars,FCEV,2021,Vehicles,78.0
Denmark,Historical,EV sales,Trucks,FCEV,2021,Vehicles,1.0
Denmark,Historical,EV sales,Cars,FCEV,2022,Vehicles,6.0
Denmark,Historical,EV sales,Cars,FCEV,2023,Vehicles,1.0
Denmark,Historical,EV sales,Trucks,BEV,2010,Vehicles,4.0
Denmark,Historical,EV sales,Vans,BEV,2010,Vehicles,6.0
Denmark,Historical,EV sales,Vans,BEV,2011,Vehicles,23.0
Denmark,Historical,EV sales,Cars,BEV,2011,Vehicles,420.0
Denmark,Historical,EV sales,Buses,BEV,2011,Vehicles,1.0
Denmark,Historical,EV sales,Trucks,BEV,2012,Vehicles,1.0
Denmark,Historical,EV sales,Buses,BEV,2012,Vehicles,1.0
Denmark,Historical,EV sales,Cars,BEV,2012,Vehicles,490.0
Denmark,Historical,EV sales,Vans,BEV,2012,Vehicles,130.0
Denmark,Historical,EV sales,Vans,BEV,2013,Vehicles,100.0
Denmark,Historical,EV sales,Cars,BEV,2013,Vehicles,500.0
Denmark,Historical,EV sales,Buses,BEV,2013,Vehicles,2.0
Denmark,Historical,EV sales,Trucks,BEV,2013,Vehicles,1.0
Denmark,Historical,EV sales,Cars,BEV,2014,Vehicles,1600.0
Denmark,Historical,EV sales,Vans,BEV,2014,Vehicles,47.0
Denmark,Historical,EV sales,Vans,BEV,2015,Vehicles,260.0
Denmark,Historical,EV sales,Cars,BEV,2015,Vehicles,4300.0
Denmark,Historical,EV sales,Buses,BEV,2016,Vehicles,3.0
Denmark,Historical,EV sales,Cars,BEV,2016,Vehicles,1300.0
Denmark,Historical,EV sales,Vans,BEV,2016,Vehicles,57.0
Denmark,Historical,EV sales,Vans,BEV,2017,Vehicles,70.0
Denmark,Historical,EV sales,Cars,BEV,2017,Vehicles,710.0
Denmark,Historical,EV sales,Trucks,BEV,2017,Vehicles,1.0
Denmark,Historical,EV sales,Trucks,BEV,2018,Vehicles,3.0
Denmark,Historical,EV sales,Buses,BEV,2018,Vehicles,2.0
Denmark,Historical,EV sales,Cars,BEV,2018,Vehicles,1500.0
Denmark,Historical,EV sales,Vans,BEV,2018,Vehicles,220.0
Denmark,Historical,EV sales,Vans,BEV,2019,Vehicles,270.0
Denmark,Historical,EV sales,Cars,BEV,2019,Vehicles,5500.0
Denmark,Historical,EV sales,Buses,BEV,2019,Vehicles,100.0
Denmark,Historical,EV sales,Trucks,BEV,2019,Vehicles,3.0
Denmark,Historical,EV sales,Trucks,BEV,2020,Vehicles,28.0
Denmark,Historical,EV sales,Buses,BEV,2020,Vehicles,6.0
Denmark,Historical,EV sales,Cars,BEV,2020,Vehicles,14000.0
Denmark,Historical,EV sales,Vans,BEV,2020,Vehicles,620.0
Denmark,Historical,EV sales,Vans,BEV,2021,Vehicles,1500.0
Denmark,Historical,EV sales,Cars,BEV,2021,Vehicles,25000.0
Denmark,Historical,EV sales,Buses,BEV,2021,Vehicles,220.0
Denmark,Historical,EV sales,Trucks,BEV,2021,Vehicles,50.0
Denmark,Historical,EV sales,Trucks,BEV,2022,Vehicles,100.0
Denmark,Historical,EV sales,Buses,BEV,2022,Vehicles,400.0
Denmark,Historical,EV sales,Cars,BEV,2022,Vehicles,31000.0
Denmark,Historical,EV sales,Vans,BEV,2022,Vehicles,1900.0
Denmark,Historical,EV sales,Vans,BEV,2023,Vehicles,2900.0
Denmark,Historical,EV sales,Cars,BEV,2023,Vehicles,63000.0
Denmark,Historical,EV sales,Buses,BEV,2023,Vehicles,200.0
Denmark,Historical,EV sales,Trucks,BEV,2023,Vehicles,320.0
