region,category,parameter,mode,powertrain,year,unit,value
India,Historical,EV sales,Cars,PHEV,2019,Vehicles,7.0
India,Historical,EV sales,Cars,PHEV,2020,Vehicles,43.0
India,Projection-STEPS,EV sales,Cars,PHEV,2020,Vehicles,43.0
India,Projection-APS,EV sales,Cars,PHEV,2020,Vehicles,43.0
India,Projection-APS,EV sales,Cars,PHEV,2021,Vehicles,50.0
India,Projection-STEPS,EV sales,Cars,PHEV,2021,Vehicles,50.0
India,Historical,EV sales,Cars,PHEV,2021,Vehicles,50.0
India,Historical,EV sales,Cars,PHEV,2022,Vehicles,23.0
India,Projection-STEPS,EV sales,Cars,PHEV,2022,Vehicles,23.0
India,Projection-APS,EV sales,Cars,PHEV,2022,Vehicles,23.0
India,Projection-APS,EV sales,Cars,PHEV,2023,Vehicles,270.0
India,Projection-STEPS,EV sales,Cars,PHEV,2023,Vehicles,270.0
India,Historical,EV sales,Cars,PHEV,2023,Vehicles,270.0
India,Projection-STEPS,EV sales,Buses,PHEV,2025,Vehicles,26.0
India,Projection-STEPS,EV sales,Trucks,PHEV,2025,Vehicles,19.0
India,Projection-STEPS,EV sales,Vans,PHEV,2025,Vehicles,570.0
India,Projection-STEPS,EV sales,Cars,PHEV,2025,Vehicles,4200.0
India,Projection-APS,EV sales,Trucks,PHEV,2025,Vehicles,870.0
India,Projection-APS,EV sales,Vans,PHEV,2025,Vehicles,1600.0
India,Projection-APS,EV sales,Cars,PHEV,2025,Vehicles,9600.0
India,Projection-STEPS,EV sales,Buses,PHEV,2030,Vehicles,70.0
India,Projection-STEPS,EV sales,Trucks,PHEV,2030,Vehicles,4200.0
India,Projection-STEPS,EV sales,Vans,PHEV,2030,Vehicles,2600.0
India,Projection-STEPS,EV sales,Cars,PHEV,2030,Vehicles,6500.0
India,Projection-APS,EV sales,Buses,PHEV,2030,Vehicles,11.0
India,Projection-APS,EV sales,Trucks,PHEV,2030,Vehicles,3300.0
India,Projection-APS,EV sales,Vans,PHEV,2030,Vehicles,12000.0
