region,category,parameter,mode,powertrain,year,unit,value
Norway,Historical,EV sales,Cars,PHEV,2012,Vehicles,320.0
Norway,Historical,EV sales,Cars,PHEV,2013,Vehicles,340.0
Norway,Historical,EV sales,Cars,PHEV,2014,Vehicles,1700.0
Norway,Historical,EV sales,Cars,PHEV,2015,Vehicles,7900.0
Norway,Historical,EV sales,Cars,PHEV,2016,Vehicles,21000.0
Norway,Historical,EV sales,Cars,PHEV,2017,Vehicles,29000.0
Norway,Historical,EV sales,Cars,PHEV,2018,Vehicles,27000.0
Norway,Historical,EV sales,Cars,PHEV,2019,Vehicles,19000.0
Norway,Historical,EV sales,Cars,PHEV,2020,Vehicles,29000.0
Norway,Historical,EV sales,Vans,PHEV,2020,Vehicles,11.0
Norway,Historical,EV sales,Buses,PHEV,2020,Vehicles,63.0
Norway,Historical,EV sales,Trucks,PHEV,2020,Vehicles,1.0
Norway,Historical,EV sales,Buses,PHEV,2021,Vehicles,5.0
Norway,Historical,EV sales,Vans,PHEV,2021,Vehicles,58.0
Norway,Historical,EV sales,Cars,PHEV,2021,Vehicles,38000.0
Norway,Historical,EV sales,Cars,PHEV,2022,Vehicles,16000.0
Norway,Historical,EV sales,Vans,PHEV,2022,Vehicles,220.0
Norway,Historical,EV sales,Vans,PHEV,2023,Vehicles,130.0
Norway,Historical,EV sales,Cars,PHEV,2023,Vehicles,10000.0
Norway,Historical,EV sales,Cars,FCEV,2014,Vehicles,4.0
Norway,Historical,EV sales,Cars,FCEV,2015,Vehicles,9.0
Norway,Historical,EV sales,Cars,FCEV,2016,Vehicles,20.0
Norway,Historical,EV sales,Cars,FCEV,2017,Vehicles,30.0
Norway,Historical,EV sales,Cars,FCEV,2018,Vehicles,45.0
Norway,Historical,EV sales,Cars,FCEV,2019,Vehicles,29.0
Norway,Historical,EV sales,Cars,FCEV,2020,Vehicles,16.0
Norway,Historical,EV sales,Trucks,FCEV,2020,Vehicles,3.0
Norway,Historical,EV sales,Cars,FCEV,2021,Vehicles,39.0
Norway,Historical,EV sales,Cars,FCEV,2022,Vehicles,27.0
Norway,Historical,EV sales,Cars,FCEV,2023,Vehicles,6.0
Norway,Historical,EV sales,Cars,BEV,2010,Vehicles,360.0
Norway,Historical,EV sales,Vans,BEV,2010,Vehicles,1.0
Norway,Historical,EV sales,Vans,BEV,2011,Vehicles,42.0
Norway,Historical,EV sales,Cars,BEV,2011,Vehicles,2000.0
Norway,Historical,EV sales,Cars,BEV,2012,Vehicles,3900.0
Norway,Historical,EV sales,Vans,BEV,2012,Vehicles,61.0
Norway,Historical,EV sales,Vans,BEV,2013,Vehicles,340.0
Norway,Historical,EV sales,Cars,BEV,2013,Vehicles,7900.0
Norway,Historical,EV sales,Cars,BEV,2014,Vehicles,20000.0
Norway,Historical,EV sales,Vans,BEV,2014,Vehicles,560.0
Norway,Historical,EV sales,Vans,BEV,2015,Vehicles,710.0
Norway,Historical,EV sales,Cars,BEV,2015,Vehicles,26000.0
Norway,Historical,EV sales,Cars,BEV,2016,Vehicles,24000.0
Norway,Historical,EV sales,Vans,BEV,2016,Vehicles,640.0
Norway,Historical,EV sales,Buses,BEV,2016,Vehicles,13.0
Norway,Historical,EV sales,Trucks,BEV,2017,Vehicles,2.0
Norway,Historical,EV sales,Buses,BEV,2017,Vehicles,18.0
Norway,Historical,EV sales,Vans,BEV,2017,Vehicles,770.0
Norway,Historical,EV sales,Cars,BEV,2017,Vehicles,33000.0
Norway,Historical,EV sales,Cars,BEV,2018,Vehicles,46000.0
Norway,Historical,EV sales,Vans,BEV,2018,Vehicles,1800.0
Norway,Historical,EV sales,Buses,BEV,2018,Vehicles,12.0
Norway,Historical,EV sales,Trucks,BEV,2019,Vehicles,3.0
Norway,Historical,EV sales,Buses,BEV,2019,Vehicles,160.0
Norway,Historical,EV sales,Vans,BEV,2019,Vehicles,2000.0
Norway,Historical,EV sales,Cars,BEV,2019,Vehicles,60000.0
Norway,Historical,EV sales,Cars,BEV,2020,Vehicles,77000.0
Norway,Historical,EV sales,Vans,BEV,2020,Vehicles,2600.0
Norway,Historical,EV sales,Buses,BEV,2020,Vehicles,230.0
Norway,Historical,EV sales,Trucks,BEV,2020,Vehicles,26.0
Norway,Historical,EV sales,Trucks,BEV,2021,Vehicles,110.0
Norway,Historical,EV sales,Buses,BEV,2021,Vehicles,99.0
Norway,Historical,EV sales,Vans,BEV,2021,Vehicles,1600.0
Norway,Historical,EV sales,Cars,BEV,2021,Vehicles,110000.0
Norway,Historical,EV sales,Cars,BEV,2022,Vehicles,140000.0
Norway,Historical,EV sales,Vans,BEV,2022,Vehicles,7000.0
Norway,Historical,EV sales,Buses,BEV,2022,Vehicles,310.0
Norway,Historical,EV sales,Trucks,BEV,2022,Vehicles,530.0
Norway,Historical,EV sales,Trucks,BEV,2023,Vehicles,700.0
Norway,Historical,EV sales,Buses,BEV,2023,Vehicles,540.0
Norway,Historical,EV sales,Vans,BEV,2023,Vehicles,8800.0
Norway,Historical,EV sales,Cars,BEV,2023,Vehicles,100000.0
