region,category,parameter,mode,powertrain,year,unit,value
Poland,Historical,EV sales,Cars,PHEV,2010,Vehicles,1.0
Poland,Historical,EV sales,Cars,PHEV,2012,Vehicles,4.0
Poland,Historical,EV sales,Cars,PHEV,2013,Vehicles,6.0
Poland,Historical,EV sales,Cars,PHEV,2014,Vehicles,61.0
Poland,Historical,EV sales,Cars,PHEV,2015,Vehicles,150.0
Poland,Historical,EV sales,Vans,PHEV,2015,Vehicles,2.0
Poland,Historical,EV sales,Cars,PHEV,2016,Vehicles,400.0
Poland,Historical,EV sales,Cars,PHEV,2017,Vehicles,640.0
Poland,Historical,EV sales,Buses,PHEV,2018,Vehicles,38.0
Poland,Historical,EV sales,Cars,PHEV,2018,Vehicles,760.0
Poland,Historical,EV sales,Cars,PHEV,2019,Vehicles,1200.0
Poland,Historical,EV sales,Buses,PHEV,2019,Vehicles,1.0
Poland,Historical,EV sales,Vans,PHEV,2020,Vehicles,2.0
Poland,Historical,EV sales,Cars,PHEV,2020,Vehicles,4500.0
Poland,Historical,EV sales,Cars,PHEV,2021,Vehicles,9100.0
Poland,Historical,EV sales,Vans,PHEV,2021,Vehicles,1.0
Poland,Historical,EV sales,Buses,PHEV,2021,Vehicles,1.0
Poland,Historical,EV sales,Buses,PHEV,2022,Vehicles,1.0
Poland,Historical,EV sales,Vans,PHEV,2022,Vehicles,1.0
Poland,Historical,EV sales,Cars,PHEV,2022,Vehicles,11000.0
Poland,Historical,EV sales,Cars,PHEV,2023,Vehicles,13000.0
Poland,Historical,EV sales,Buses,PHEV,2023,Vehicles,3.0
Poland,Historical,EV sales,Cars,FCEV,2018,Vehicles,1.0
Poland,Historical,EV sales,Cars,FCEV,2021,Vehicles,78.0
Poland,Historical,EV sales,Cars,FCEV,2022,Vehicles,46.0
Poland,Historical,EV sales,Cars,FCEV,2023,Vehicles,83.0
Poland,Historical,EV sales,Buses,FCEV,2023,Vehicles,34.0
Poland,Historical,EV sales,Vans,BEV,2010,Vehicles,3.0
Poland,Historical,EV sales,Cars,BEV,2010,Vehicles,15.0
Poland,Historical,EV sales,Cars,BEV,2011,Vehicles,43.0
Poland,Historical,EV sales,Vans,BEV,2011,Vehicles,3.0
Poland,Historical,EV sales,Vans,BEV,2012,Vehicles,16.0
Poland,Historical,EV sales,Cars,BEV,2012,Vehicles,44.0
Poland,Historical,EV sales,Cars,BEV,2013,Vehicles,31.0
Poland,Historical,EV sales,Vans,BEV,2013,Vehicles,10.0
Poland,Historical,EV sales,Vans,BEV,2014,Vehicles,8.0
Poland,Historical,EV sales,Cars,BEV,2014,Vehicles,140.0
Poland,Historical,EV sales,Cars,BEV,2015,Vehicles,70.0
Poland,Historical,EV sales,Vans,BEV,2015,Vehicles,13.0
Poland,Historical,EV sales,Vans,BEV,2016,Vehicles,16.0
Poland,Historical,EV sales,Cars,BEV,2016,Vehicles,110.0
Poland,Historical,EV sales,Cars,BEV,2017,Vehicles,440.0
Poland,Historical,EV sales,Vans,BEV,2017,Vehicles,28.0
Poland,Historical,EV sales,Buses,BEV,2018,Vehicles,63.0
Poland,Historical,EV sales,Vans,BEV,2018,Vehicles,42.0
Poland,Historical,EV sales,Cars,BEV,2018,Vehicles,620.0
Poland,Historical,EV sales,Cars,BEV,2019,Vehicles,1500.0
Poland,Historical,EV sales,Vans,BEV,2019,Vehicles,130.0
Poland,Historical,EV sales,Buses,BEV,2019,Vehicles,54.0
Poland,Historical,EV sales,Buses,BEV,2020,Vehicles,200.0
Poland,Historical,EV sales,Vans,BEV,2020,Vehicles,220.0
Poland,Historical,EV sales,Cars,BEV,2020,Vehicles,3700.0
Poland,Historical,EV sales,Cars,BEV,2021,Vehicles,7200.0
Poland,Historical,EV sales,Vans,BEV,2021,Vehicles,840.0
Poland,Historical,EV sales,Buses,BEV,2021,Vehicles,220.0
Poland,Historical,EV sales,Buses,BEV,2022,Vehicles,180.0
Poland,Historical,EV sales,Vans,BEV,2022,Vehicles,1100.0
Poland,Historical,EV sales,Cars,BEV,2022,Vehicles,14000.0
Poland,Historical,EV sales,Cars,BEV,2023,Vehicles,17000.0
Poland,Historical,EV sales,Vans,BEV,2023,Vehicles,2400.0
Poland,Historical,EV sales,Buses,BEV,2023,Vehicles,360.0
