region,category,parameter,mode,powertrain,year,unit,value
Slovenia,Historical,EV sales,Cars,PHEV,2016,Vehicles,46.0
Slovenia,Historical,EV sales,Cars,PHEV,2017,Vehicles,170.0
Slovenia,Historical,EV sales,Cars,PHEV,2018,Vehicles,190.0
Slovenia,Historical,EV sales,Cars,PHEV,2019,Vehicles,28.0
Slovenia,Historical,EV sales,Cars,PHEV,2020,Vehicles,39.0
Slovenia,Historical,EV sales,Cars,PHEV,2021,Vehicles,310.0
Slovenia,Historical,EV sales,Cars,PHEV,2022,Vehicles,590.0
Slovenia,Historical,EV sales,Cars,PHEV,2023,Vehicles,1000.0
Slovenia,Historical,EV sales,Cars,BEV,2016,Vehicles,140.0
Slovenia,Historical,EV sales,Cars,BEV,2017,Vehicles,290.0
Slovenia,Historical,EV sales,Cars,BEV,2018,Vehicles,470.0
Slovenia,Historical,EV sales,Cars,BEV,2019,Vehicles,190.0
Slovenia,Historical,EV sales,Cars,BEV,2020,Vehicles,1600.0
Slovenia,Historical,EV sales,Cars,BEV,2021,Vehicles,1700.0
Slovenia,Historical,EV sales,Cars,BEV,2022,Vehicles,2300.0
Slovenia,Historical,EV sales,Cars,BEV,2023,Vehicles,4300.0
