region,category,parameter,mode,powertrain,year,unit,value
Turkiye,Historical,EV sales,Cars,PHEV,2013,Vehicles,1.0
Turkiye,Historical,EV sales,Cars,PHEV,2014,Vehicles,22.0
Turkiye,Historical,EV sales,Cars,PHEV,2015,Vehicles,110.0
Turkiye,Historical,EV sales,Cars,PHEV,2016,Vehicles,83.0
Turkiye,Historical,EV sales,Cars,PHEV,2017,Vehicles,34.0
Turkiye,Historical,EV sales,Cars,PHEV,2018,Vehicles,45.0
Turkiye,Historical,EV sales,Cars,PHEV,2019,Vehicles,94.0
Turkiye,Historical,EV sales,Cars,PHEV,2020,Vehicles,400.0
Turkiye,Historical,EV sales,Cars,PHEV,2021,Vehicles,920.0
Turkiye,Historical,EV sales,Cars,PHEV,2022,Vehicles,540.0
Turkiye,Historical,EV sales,Cars,PHEV,2023,Vehicles,2700.0
Turkiye,Historical,EV sales,Cars,BEV,2012,Vehicles,92.0
Turkiye,Historical,EV sales,Cars,BEV,2014,Vehicles,46.0
Turkiye,Historical,EV sales,Cars,BEV,2015,Vehicles,120.0
Turkiye,Historical,EV sales,Cars,BEV,2016,Vehicles,44.0
Turkiye,Historical,EV sales,Cars,BEV,2017,Vehicles,77.0
Turkiye,Historical,EV sales,Cars,BEV,2018,Vehicles,190.0
Turkiye,Historical,EV sales,Cars,BEV,2019,Vehicles,230.0
Turkiye,Historical,EV sales,Cars,BEV,2020,Vehicles,890.0
Turkiye,Historical,EV sales,Cars,BEV,2021,Vehicles,3000.0
Turkiye,Historical,EV sales,Cars,BEV,2022,Vehicles,7000.0
Turkiye,Historical,EV sales,Cars,BEV,2023,Vehicles,66000.0
