region,category,parameter,mode,powertrain,year,unit,value
United Kingdom,Historical,EV sales,Cars,PHEV,2010,Vehicles,21.0
United Kingdom,Historical,EV sales,Cars,PHEV,2011,Vehicles,7.0
United Kingdom,Historical,EV sales,Cars,PHEV,2012,Vehicles,970.0
United Kingdom,Historical,EV sales,Cars,PHEV,2013,Vehicles,1100.0
United Kingdom,Historical,EV sales,Vans,PHEV,2014,Vehicles,4.0
United Kingdom,Historical,EV sales,Cars,PHEV,2014,Vehicles,7800.0
United Kingdom,Historical,EV sales,Cars,PHEV,2015,Vehicles,19000.0
United Kingdom,Historical,EV sales,Vans,PHEV,2015,Vehicles,98.0
United Kingdom,Historical,EV sales,Buses,PHEV,2016,Vehicles,140.0
United Kingdom,Historical,EV sales,Vans,PHEV,2016,Vehicles,78.0
United Kingdom,Historical,EV sales,Cars,PHEV,2016,Vehicles,29000.0
United Kingdom,Historical,EV sales,Cars,PHEV,2017,Vehicles,35000.0
United Kingdom,Historical,EV sales,Vans,PHEV,2017,Vehicles,94.0
United Kingdom,Historical,EV sales,Buses,PHEV,2017,Vehicles,18.0
United Kingdom,Historical,EV sales,Buses,PHEV,2018,Vehicles,65.0
United Kingdom,Historical,EV sales,Vans,PHEV,2018,Vehicles,150.0
United Kingdom,Historical,EV sales,Cars,PHEV,2018,Vehicles,46000.0
United Kingdom,Historical,EV sales,Cars,PHEV,2019,Vehicles,37000.0
United Kingdom,Historical,EV sales,Vans,PHEV,2019,Vehicles,210.0
United Kingdom,Historical,EV sales,Vans,PHEV,2020,Vehicles,560.0
United Kingdom,Historical,EV sales,Cars,PHEV,2020,Vehicles,68000.0
United Kingdom,Historical,EV sales,Cars,PHEV,2021,Vehicles,120000.0
United Kingdom,Historical,EV sales,Vans,PHEV,2021,Vehicles,1200.0
United Kingdom,Historical,EV sales,Vans,PHEV,2022,Vehicles,410.0
United Kingdom,Historical,EV sales,Cars,PHEV,2022,Vehicles,100000.0
United Kingdom,Historical,EV sales,Cars,PHEV,2023,Vehicles,140000.0
United Kingdom,Historical,EV sales,Vans,PHEV,2023,Vehicles,110.0
United Kingdom,Historical,EV sales,Cars,FCEV,2015,Vehicles,11.0
United Kingdom,Historical,EV sales,Cars,FCEV,2016,Vehicles,10.0
United Kingdom,Historical,EV sales,Buses,FCEV,2016,Vehicles,20.0
United Kingdom,Historical,EV sales,Buses,FCEV,2017,Vehicles,5.0
United Kingdom,Historical,EV sales,Cars,FCEV,2017,Vehicles,34.0
United Kingdom,Historical,EV sales,Cars,FCEV,2018,Vehicles,36.0
United Kingdom,Historical,EV sales,Buses,FCEV,2018,Vehicles,10.0
United Kingdom,Historical,EV sales,Cars,FCEV,2019,Vehicles,68.0
United Kingdom,Historical,EV sales,Cars,FCEV,2020,Vehicles,57.0
United Kingdom,Historical,EV sales,Buses,FCEV,2020,Vehicles,18.0
United Kingdom,Historical,EV sales,Buses,FCEV,2021,Vehicles,15.0
United Kingdom,Historical,EV sales,Cars,FCEV,2021,Vehicles,12.0
United Kingdom,Historical,EV sales,Buses,FCEV,2022,Vehicles,65.0
United Kingdom,Historical,EV sales,Cars,FCEV,2022,Vehicles,7.0
United Kingdom,Historical,EV sales,Cars,FCEV,2023,Vehicles,25.0
United Kingdom,Historical,EV sales,Buses,FCEV,2023,Vehicles,43.0
United Kingdom,Historical,EV sales,Vans,BEV,2010,Vehicles,230.0
United Kingdom,Historical,EV sales,Trucks,BEV,2010,Vehicles,9.0
United Kingdom,Historical,EV sales,Cars,BEV,2010,Vehicles,240.0
United Kingdom,Historical,EV sales,Buses,BEV,2010,Vehicles,4.0
United Kingdom,Historical,EV sales,Buses,BEV,2011,Vehicles,2.0
United Kingdom,Historical,EV sales,Cars,BEV,2011,Vehicles,1200.0
United Kingdom,Historical,EV sales,Trucks,BEV,2011,Vehicles,5.0
United Kingdom,Historical,EV sales,Vans,BEV,2011,Vehicles,220.0
United Kingdom,Historical,EV sales,Vans,BEV,2012,Vehicles,410.0
United Kingdom,Historical,EV sales,Trucks,BEV,2012,Vehicles,6.0
United Kingdom,Historical,EV sales,Cars,BEV,2012,Vehicles,1600.0
United Kingdom,Historical,EV sales,Buses,BEV,2012,Vehicles,14.0
United Kingdom,Historical,EV sales,Buses,BEV,2013,Vehicles,23.0
United Kingdom,Historical,EV sales,Cars,BEV,2013,Vehicles,2600.0
United Kingdom,Historical,EV sales,Vans,BEV,2013,Vehicles,290.0
United Kingdom,Historical,EV sales,Vans,BEV,2014,Vehicles,790.0
United Kingdom,Historical,EV sales,Trucks,BEV,2014,Vehicles,8.0
United Kingdom,Historical,EV sales,Cars,BEV,2014,Vehicles,6700.0
United Kingdom,Historical,EV sales,Buses,BEV,2014,Vehicles,47.0
United Kingdom,Historical,EV sales,Buses,BEV,2015,Vehicles,24.0
United Kingdom,Historical,EV sales,Cars,BEV,2015,Vehicles,10000.0
United Kingdom,Historical,EV sales,Trucks,BEV,2015,Vehicles,3.0
United Kingdom,Historical,EV sales,Vans,BEV,2015,Vehicles,960.0
United Kingdom,Historical,EV sales,Vans,BEV,2016,Vehicles,1000.0
United Kingdom,Historical,EV sales,Trucks,BEV,2016,Vehicles,8.0
