region,category,parameter,mode,powertrain,year,unit,value
World,Historical,EV sales,Cars,PHEV,2010,Vehicles,450.0
World,Historical,EV sales,Cars,PHEV,2011,Vehicles,9000.0
World,Historical,EV sales,Buses,PHEV,2011,Vehicles,160.0
World,Historical,EV sales,Buses,PHEV,2012,Vehicles,510.0
World,Historical,EV sales,Vans,PHEV,2012,Vehicles,11.0
World,Historical,EV sales,Cars,PHEV,2012,Vehicles,61000.0
World,Historical,EV sales,Cars,PHEV,2013,Vehicles,91000.0
World,Historical,EV sales,Vans,PHEV,2013,Vehicles,5.0
World,Historical,EV sales,Buses,PHEV,2013,Vehicles,1800.0
World,Historical,EV sales,Buses,PHEV,2014,Vehicles,6000.0
World,Historical,EV sales,Vans,PHEV,2014,Vehicles,20.0
World,Historical,EV sales,Cars,PHEV,2014,Vehicles,130000.0
World,Historical,EV sales,Cars,PHEV,2015,Vehicles,220000.0
World,Historical,EV sales,Vans,PHEV,2015,Vehicles,780.0
World,Historical,EV sales,Buses,PHEV,2015,Vehicles,14000.0
World,Historical,EV sales,Buses,PHEV,2016,Vehicles,7900.0
World,Historical,EV sales,Vans,PHEV,2016,Vehicles,170.0
World,Historical,EV sales,Cars,PHEV,2016,Vehicles,290000.0
World,Historical,EV sales,Trucks,PHEV,2017,Vehicles,2.0
World,Historical,EV sales,Cars,PHEV,2017,Vehicles,420000.0
World,Historical,EV sales,Vans,PHEV,2017,Vehicles,140.0
World,Historical,EV sales,Buses,PHEV,2017,Vehicles,290.0
World,Historical,EV sales,Buses,PHEV,2018,Vehicles,1400.0
World,Historical,EV sales,Vans,PHEV,2018,Vehicles,190.0
World,Historical,EV sales,Cars,PHEV,2018,Vehicles,660000.0
World,Historical,EV sales,Trucks,PHEV,2018,Vehicles,1.0
World,Historical,EV sales,Trucks,PHEV,2019,Vehicles,32.0
World,Historical,EV sales,Cars,PHEV,2019,Vehicles,580000.0
World,Historical,EV sales,Vans,PHEV,2019,Vehicles,280.0
World,Historical,EV sales,Buses,PHEV,2019,Vehicles,1400.0
World,Historical,EV sales,Buses,PHEV,2020,Vehicles,1900.0
World,Historical,EV sales,Vans,PHEV,2020,Vehicles,2500.0
World,Historical,EV sales,Cars,PHEV,2020,Vehicles,980000.0
World,Historical,EV sales,Trucks,PHEV,2020,Vehicles,31.0
World,Projection-STEPS,EV sales,Buses,PHEV,2020,Vehicles,1900.0
World,Projection-STEPS,EV sales,Vans,PHEV,2020,Vehicles,2500.0
World,Projection-STEPS,EV sales,Trucks,PHEV,2020,Vehicles,31.0
World,Projection-STEPS,EV sales,Cars,PHEV,2020,Vehicles,980000.0
World,Projection-APS,EV sales,Buses,PHEV,2020,Vehicles,1900.0
World,Projection-APS,EV sales,Vans,PHEV,2020,Vehicles,2500.0
World,Projection-APS,EV sales,Trucks,PHEV,2020,Vehicles,31.0
World,Projection-APS,EV sales,Cars,PHEV,2020,Vehicles,980000.0
World,Projection-APS,EV sales,Cars,PHEV,2021,Vehicles,1900000.0
World,Projection-APS,EV sales,Trucks,PHEV,2021,Vehicles,560.0
World,Projection-APS,EV sales,Vans,PHEV,2021,Vehicles,6300.0
World,Projection-APS,EV sales,Buses,PHEV,2021,Vehicles,1000.0
World,Projection-STEPS,EV sales,Cars,PHEV,2021,Vehicles,1900000.0
World,Projection-STEPS,EV sales,Trucks,PHEV,2021,Vehicles,560.0
World,Projection-STEPS,EV sales,Vans,PHEV,2021,Vehicles,6300.0
World,Projection-STEPS,EV sales,Buses,PHEV,2021,Vehicles,1000.0
World,Historical,EV sales,Trucks,PHEV,2021,Vehicles,560.0
World,Historical,EV sales,Cars,PHEV,2021,Vehicles,1900000.0
World,Historical,EV sales,Vans,PHEV,2021,Vehicles,6300.0
World,Historical,EV sales,Buses,PHEV,2021,Vehicles,1000.0
World,Historical,EV sales,Buses,PHEV,2022,Vehicles,1200.0
World,Historical,EV sales,Vans,PHEV,2022,Vehicles,7900.0
World,Historical,EV sales,Cars,PHEV,2022,Vehicles,2900000.0
World,Historical,EV sales,Trucks,PHEV,2022,Vehicles,280.0
World,Projection-STEPS,EV sales,Buses,PHEV,2022,Vehicles,1200.0
World,Projection-STEPS,EV sales,Vans,PHEV,2022,Vehicles,7900.0
World,Projection-STEPS,EV sales,Trucks,PHEV,2022,Vehicles,280.0
World,Projection-STEPS,EV sales,Cars,PHEV,2022,Vehicles,2900000.0
World,Projection-APS,EV sales,Buses,PHEV,2022,Vehicles,1200.0
World,Projection-APS,EV sales,Vans,PHEV,2022,Vehicles,7900.0
World,Projection-APS,EV sales,Trucks,PHEV,2022,Vehicles,280.0
World,Projection-APS,EV sales,Cars,PHEV,2022,Vehicles,2900000.0
World,Projection-APS,EV sales,Cars,PHEV,2023,Vehicles,4300000.0
World,Projection-APS,EV sales,Trucks,PHEV,2023,Vehicles,360.0
World,Projection-APS,EV sales,Vans,PHEV,2023,Vehicles,6600.0
World,Projection-APS,EV sales,Buses,PHEV,2023,Vehicles,1400.0
World,Projection-STEPS,EV sales,Cars,PHEV,2023,Vehicles,4300000.0
World,Projection-STEPS,EV sales,Trucks,PHEV,2023,Vehicles,360.0
World,Projection-STEPS,EV sales,Vans,PHEV,2023,Vehicles,6600.0
World,Projection-STEPS,EV sales,Buses,PHEV,2023,Vehicles,1400.0
World,Historical,EV sales,Trucks,PHEV,2023,Vehicles,360.0
World,Historical,EV sales,Cars,PHEV,2023,Vehicles,4300000.0
World,Historical,EV sales,Vans,PHEV,2023,Vehicles,6600.0
World,Historical,EV sales,Buses,PHEV,2023,Vehicles,1400.0
World,Projection-APS,EV sales,Buses,PHEV,2025,Vehicles,12000.0
World,Projection-APS,EV sales,Trucks,PHEV,2025,Vehicles,19000.0
World,Projection-APS,EV sales,Vans,PHEV,2025,Vehicles,100000.0
World,Projection-APS,EV sales,Cars,PHEV,2025,Vehicles,4700000.0
World,Projection-STEPS,EV sales,Buses,PHEV,2025,Vehicles,12000.0
World,Projection-STEPS,EV sales,Trucks,PHEV,2025,Vehicles,3800.0
World,Projection-STEPS,EV sales,Vans,PHEV,2025,Vehicles,55000.0
World,Projection-STEPS,EV sales,Cars,PHEV,2025,Vehicles,5800000.0
World,Projection-STEPS,EV sales,Buses,PHEV,2030,Vehicles,43000.0
World,Projection-STEPS,EV sales,Trucks,PHEV,2030,Vehicles,47000.0
World,Projection-STEPS,EV sales,Vans,PHEV,2030,Vehicles,120000.0
World,Projection-STEPS,EV sales,Cars,PHEV,2030,Vehicles,7700000.0
World,Projection-APS,EV sales,Buses,PHEV,2030,Vehicles,36000.0
World,Projection-APS,EV sales,Trucks,PHEV,2030,Vehicles,53000.0
World,Projection-APS,EV sales,Vans,PHEV,2030,Vehicles,290000.0
World,Projection-APS,EV sales,Cars,PHEV,2030,Vehicles,7100000.0
World,Projection-APS,EV sales,Buses,PHEV,2035,Vehicles,65000.0
World,Projection-APS,EV sales,Trucks,PHEV,2035,Vehicles,72000.0
World,Projection-APS,EV sales,Vans,PHEV,2035,Vehicles,240000.0
World,Projection-APS,EV sales,Cars,PHEV,2035,Vehicles,5500000.0
World,Projection-STEPS,EV sales,Buses,PHEV,2035,Vehicles,82000.0
World,Projection-STEPS,EV sales,Trucks,PHEV,2035,Vehicles,110000.0
World,Projection-STEPS,EV sales,Vans,PHEV,2035,Vehicles,150000.0
World,Projection-STEPS,EV sales,Cars,PHEV,2035,Vehicles,5500000.0
World,Historical,EV sales,Vans,FCEV,2010,Vehicles,2.0
World,Historical,EV sales,Cars,FCEV,2010,Vehicles,29.0
World,Historical,EV sales,Cars,FCEV,2011,Vehicles,38.0
World,Historical,EV sales,Cars,FCEV,2012,Vehicles,30.0
World,Historical,EV sales,Cars,FCEV,2013,Vehicles,46.0
World,Historical,EV sales,Vans,FCEV,2013,Vehicles,50.0
