region,category,parameter,mode,powertrain,year,unit,value
EU27,Historical,EV stock share,Trucks,EV,2010,percent,0.002199999988079
EU27,Historical,EV stock share,Buses,EV,2010,percent,0.300000011920929
EU27,Historical,EV stock share,Vans,EV,2010,percent,0.013000000268221
EU27,Historical,EV stock share,Cars,EV,2010,percent,0.002400000113994
EU27,Historical,EV stock share,Cars,EV,2011,percent,0.006099999882281
EU27,Historical,EV stock share,Vans,EV,2011,percent,0.020999999716878
EU27,Historical,EV stock share,Buses,EV,2011,percent,0.300000011920929
EU27,Historical,EV stock share,Trucks,EV,2011,percent,0.002400000113994
EU27,Historical,EV stock share,Trucks,EV,2012,percent,0.003000000026077
EU27,Historical,EV stock share,Buses,EV,2012,percent,0.239999994635582
EU27,Historical,EV stock share,Vans,EV,2012,percent,0.046999998390675
EU27,Historical,EV stock share,Cars,EV,2012,percent,0.014999999664724
EU27,Historical,EV stock share,Cars,EV,2013,percent,0.037000000476837
EU27,Historical,EV stock share,Vans,EV,2013,percent,0.074000000953674
EU27,Historical,EV stock share,Buses,EV,2013,percent,0.170000001788139
EU27,Historical,EV stock share,Trucks,EV,2013,percent,0.003500000108033
EU27,Historical,EV stock share,Trucks,EV,2014,percent,0.003899999894202
EU27,Historical,EV stock share,Buses,EV,2014,percent,0.140000000596046
EU27,Historical,EV stock share,Vans,EV,2014,percent,0.098999999463558
EU27,Historical,EV stock share,Cars,EV,2014,percent,0.063000001013279
EU27,Historical,EV stock share,Cars,EV,2015,percent,0.119999997317791
EU27,Historical,EV stock share,Vans,EV,2015,percent,0.129999995231628
EU27,Historical,EV stock share,Buses,EV,2015,percent,0.209999993443489
EU27,Historical,EV stock share,Trucks,EV,2015,percent,0.004499999806285
EU27,Historical,EV stock share,Trucks,EV,2016,percent,0.005599999800324
EU27,Historical,EV stock share,Buses,EV,2016,percent,0.28999999165535
EU27,Historical,EV stock share,Vans,EV,2016,percent,0.180000007152557
EU27,Historical,EV stock share,Cars,EV,2016,percent,0.170000001788139
EU27,Historical,EV stock share,Cars,EV,2017,percent,0.25
EU27,Historical,EV stock share,Vans,EV,2017,percent,0.230000004172325
EU27,Historical,EV stock share,Buses,EV,2017,percent,0.360000014305115
EU27,Historical,EV stock share,Trucks,EV,2017,percent,0.006200000178069
EU27,Historical,EV stock share,Trucks,EV,2018,percent,0.012000000104308
EU27,Historical,EV stock share,Buses,EV,2018,percent,0.360000014305115
EU27,Historical,EV stock share,Vans,EV,2018,percent,0.310000002384186
EU27,Historical,EV stock share,Cars,EV,2018,percent,0.349999994039536
EU27,Historical,EV stock share,Cars,EV,2019,percent,0.490000009536743
EU27,Historical,EV stock share,Vans,EV,2019,percent,0.389999985694885
EU27,Historical,EV stock share,Buses,EV,2019,percent,0.709999978542328
EU27,Historical,EV stock share,Trucks,EV,2019,percent,0.008899999782443
EU27,Historical,EV stock share,Trucks,EV,2020,percent,0.010999999940395
EU27,Historical,EV stock share,Buses,EV,2020,percent,1.0
EU27,Historical,EV stock share,Vans,EV,2020,percent,0.479999989271164
EU27,Historical,EV stock share,Cars,EV,2020,percent,0.930000007152557
EU27,Historical,EV stock share,Cars,EV,2021,percent,1.70000004768372
EU27,Historical,EV stock share,Vans,EV,2021,percent,0.629999995231628
EU27,Historical,EV stock share,Buses,EV,2021,percent,1.5
EU27,Historical,EV stock share,Trucks,EV,2021,percent,0.030999999493361
EU27,Historical,EV stock share,Trucks,EV,2022,percent,0.054000001400709
EU27,Historical,EV stock share,Buses,EV,2022,percent,2.0
EU27,Historical,EV stock share,Vans,EV,2022,percent,0.800000011920929
EU27,Historical,EV stock share,Cars,EV,2022,percent,2.5
EU27,Historical,EV stock share,Cars,EV,2023,percent,3.59999990463257
EU27,Historical,EV stock share,Vans,EV,2023,percent,1.20000004768372
EU27,Historical,EV stock share,Buses,EV,2023,percent,2.70000004768372
EU27,Historical,EV stock share,Trucks,EV,2023,percent,0.280000001192093
