region,category,parameter,mode,powertrain,year,unit,value
France,Historical,EV stock share,Buses,EV,2010,percent,0.048000000417233
France,Historical,EV stock share,Vans,EV,2010,percent,0.035999998450279
France,Historical,EV stock share,Cars,EV,2010,percent,0.000929999980144
France,Historical,EV stock share,Trucks,EV,2010,percent,0.014000000432134
France,Historical,EV stock share,Trucks,EV,2011,percent,0.012000000104308
France,Historical,EV stock share,Cars,EV,2011,percent,0.009300000034273
France,Historical,EV stock share,Vans,EV,2011,percent,0.059000000357628
France,Historical,EV stock share,Buses,EV,2011,percent,0.068999998271465
France,Historical,EV stock share,Buses,EV,2012,percent,0.098999999463558
France,Historical,EV stock share,Vans,EV,2012,percent,0.119999997317791
France,Historical,EV stock share,Cars,EV,2012,percent,0.028000000864267
France,Historical,EV stock share,Trucks,EV,2012,percent,0.012000000104308
France,Historical,EV stock share,Trucks,EV,2013,percent,0.013000000268221
France,Historical,EV stock share,Cars,EV,2013,percent,0.05799999833107
France,Historical,EV stock share,Vans,EV,2013,percent,0.209999993443489
France,Historical,EV stock share,Buses,EV,2013,percent,0.119999997317791
France,Historical,EV stock share,Buses,EV,2014,percent,0.159999996423721
France,Historical,EV stock share,Vans,EV,2014,percent,0.280000001192093
France,Historical,EV stock share,Cars,EV,2014,percent,0.097000002861023
France,Historical,EV stock share,Trucks,EV,2014,percent,0.013000000268221
France,Historical,EV stock share,Trucks,EV,2015,percent,0.009999999776483
France,Historical,EV stock share,Cars,EV,2015,percent,0.170000001788139
France,Historical,EV stock share,Vans,EV,2015,percent,0.370000004768372
France,Historical,EV stock share,Buses,EV,2015,percent,0.189999997615814
France,Historical,EV stock share,Buses,EV,2016,percent,0.25
France,Historical,EV stock share,Vans,EV,2016,percent,0.46000000834465
France,Historical,EV stock share,Cars,EV,2016,percent,0.259999990463257
France,Historical,EV stock share,Trucks,EV,2016,percent,0.009899999946356
France,Historical,EV stock share,Trucks,EV,2017,percent,0.013000000268221
France,Historical,EV stock share,Cars,EV,2017,percent,0.46000000834465
France,Historical,EV stock share,Vans,EV,2017,percent,0.560000002384186
France,Historical,EV stock share,Buses,EV,2017,percent,0.300000011920929
France,Historical,EV stock share,Buses,EV,2018,percent,0.389999985694885
France,Historical,EV stock share,Vans,EV,2018,percent,0.699999988079071
France,Historical,EV stock share,Cars,EV,2018,percent,0.600000023841858
France,Historical,EV stock share,Trucks,EV,2018,percent,0.017000000923872
France,Historical,EV stock share,Trucks,EV,2019,percent,0.014999999664724
France,Historical,EV stock share,Cars,EV,2019,percent,0.660000026226044
France,Historical,EV stock share,Vans,EV,2019,percent,0.889999985694885
France,Historical,EV stock share,Buses,EV,2019,percent,0.649999976158142
France,Historical,EV stock share,Buses,EV,2020,percent,0.779999971389771
France,Historical,EV stock share,Vans,EV,2020,percent,1.0
France,Historical,EV stock share,Cars,EV,2020,percent,1.10000002384186
France,Historical,EV stock share,Trucks,EV,2020,percent,0.013000000268221
France,Historical,EV stock share,Trucks,EV,2021,percent,0.013000000268221
France,Historical,EV stock share,Cars,EV,2021,percent,1.89999997615814
France,Historical,EV stock share,Vans,EV,2021,percent,1.10000002384186
France,Historical,EV stock share,Buses,EV,2021,percent,1.5
France,Historical,EV stock share,Buses,EV,2022,percent,1.89999997615814
France,Historical,EV stock share,Vans,EV,2022,percent,1.20000004768372
France,Historical,EV stock share,Cars,EV,2022,percent,2.79999995231628
France,Historical,EV stock share,Trucks,EV,2022,percent,0.072999998927116
France,Historical,EV stock share,Trucks,EV,2023,percent,0.600000023841858
France,Historical,EV stock share,Cars,EV,2023,percent,4.09999990463257
France,Historical,EV stock share,Vans,EV,2023,percent,1.29999995231628
France,Historical,EV stock share,Buses,EV,2023,percent,2.29999995231628
