region,category,parameter,mode,powertrain,year,unit,value
Greece,Historical,EV stock share,Cars,EV,2013,percent,6.70000008540228e-05
Greece,Historical,EV stock share,Cars,EV,2014,percent,0.000950000016019
Greece,Historical,EV stock share,Cars,EV,2015,percent,0.002700000070035
Greece,Historical,EV stock share,Cars,EV,2016,percent,0.004999999888241
Greece,Historical,EV stock share,Cars,EV,2017,percent,0.009600000455976
Greece,Historical,EV stock share,Cars,EV,2018,percent,0.017000000923872
Greece,Historical,EV stock share,Cars,EV,2019,percent,0.028999999165535
Greece,Historical,EV stock share,Cars,EV,2020,percent,0.082999996840954
Greece,Historical,EV stock share,Cars,EV,2021,percent,0.259999990463257
Greece,Historical,EV stock share,Cars,EV,2022,percent,0.519999980926514
Greece,Historical,EV stock share,Cars,EV,2023,percent,0.910000026226044
