region,category,parameter,mode,powertrain,year,unit,value
Italy,Historical,EV stock share,Vans,EV,2010,percent,0.021999999880791
Italy,Historical,EV stock share,Cars,EV,2010,percent,0.001700000022538
Italy,Historical,EV stock share,Cars,EV,2011,percent,0.002000000094995
Italy,Historical,EV stock share,Vans,EV,2011,percent,0.023000000044704
Italy,Historical,EV stock share,Vans,EV,2012,percent,0.034000001847744
Italy,Historical,EV stock share,Cars,EV,2012,percent,0.003199999919161
Italy,Historical,EV stock share,Cars,EV,2013,percent,0.005799999926239
Italy,Historical,EV stock share,Vans,EV,2013,percent,0.037000000476837
Italy,Historical,EV stock share,Vans,EV,2014,percent,0.043000001460314
Italy,Historical,EV stock share,Cars,EV,2014,percent,0.009399999864399
Italy,Historical,EV stock share,Cars,EV,2015,percent,0.014999999664724
Italy,Historical,EV stock share,Vans,EV,2015,percent,0.052999999374151
Italy,Historical,EV stock share,Vans,EV,2016,percent,0.071000002324581
Italy,Historical,EV stock share,Buses,EV,2016,percent,0.039000000804663
Italy,Historical,EV stock share,Cars,EV,2016,percent,0.021999999880791
Italy,Historical,EV stock share,Cars,EV,2017,percent,0.034000001847744
Italy,Historical,EV stock share,Buses,EV,2017,percent,0.048000000417233
Italy,Historical,EV stock share,Vans,EV,2017,percent,0.07599999755621
Italy,Historical,EV stock share,Vans,EV,2018,percent,0.093999996781349
Italy,Historical,EV stock share,Buses,EV,2018,percent,0.109999999403954
Italy,Historical,EV stock share,Cars,EV,2018,percent,0.05799999833107
Italy,Historical,EV stock share,Cars,EV,2019,percent,0.100000001490116
Italy,Historical,EV stock share,Buses,EV,2019,percent,0.550000011920929
Italy,Historical,EV stock share,Vans,EV,2019,percent,0.119999997317791
Italy,Historical,EV stock share,Vans,EV,2020,percent,0.150000005960464
Italy,Historical,EV stock share,Buses,EV,2020,percent,0.600000023841858
Italy,Historical,EV stock share,Cars,EV,2020,percent,0.25
Italy,Historical,EV stock share,Cars,EV,2021,percent,0.589999973773956
Italy,Historical,EV stock share,Buses,EV,2021,percent,0.689999997615814
Italy,Historical,EV stock share,Vans,EV,2021,percent,0.230000004172325
Italy,Historical,EV stock share,Vans,EV,2022,percent,0.330000013113022
Italy,Historical,EV stock share,Buses,EV,2022,percent,0.829999983310699
Italy,Historical,EV stock share,Cars,EV,2022,percent,0.910000026226044
Italy,Historical,EV stock share,Buses,EV,2023,percent,1.10000002384186
Italy,Historical,EV stock share,Vans,EV,2023,percent,0.550000011920929
Italy,Historical,EV stock share,Cars,EV,2023,percent,1.29999995231628
