region,category,parameter,mode,powertrain,year,unit,value
Mexico,Historical,EV stock share,Cars,EV,2011,percent,1.49999996210681e-05
Mexico,Historical,EV stock share,Cars,EV,2012,percent,0.000440000003437
Mexico,Historical,EV stock share,Cars,EV,2013,percent,0.000479999987874
Mexico,Historical,EV stock share,Cars,EV,2014,percent,0.000669999979436
Mexico,Historical,EV stock share,Cars,EV,2015,percent,0.00109999999404
Mexico,Historical,EV stock share,Cars,EV,2016,percent,0.004199999850243
Mexico,Historical,EV stock share,Cars,EV,2017,percent,0.008899999782443
Mexico,Historical,EV stock share,Cars,EV,2018,percent,0.014999999664724
Mexico,Historical,EV stock share,Cars,EV,2019,percent,0.020999999716878
Mexico,Historical,EV stock share,Cars,EV,2020,percent,0.035000000149012
Mexico,Historical,EV stock share,Cars,EV,2021,percent,0.059000000357628
Mexico,Historical,EV stock share,Cars,EV,2022,percent,0.089000001549721
Mexico,Historical,EV stock share,Cars,EV,2023,percent,0.140000000596046
