region,category,parameter,mode,powertrain,year,unit,value
South Africa,Historical,EV stock share,Cars,EV,2013,percent,0.000520000001416
South Africa,Historical,EV stock share,Cars,EV,2014,percent,0.000720000010915
South Africa,Historical,EV stock share,Cars,EV,2015,percent,0.004100000020117
South Africa,Historical,EV stock share,Cars,EV,2016,percent,0.009300000034273
South Africa,Historical,EV stock share,Cars,EV,2017,percent,0.012000000104308
South Africa,Historical,EV stock share,Cars,EV,2018,percent,0.014000000432134
South Africa,Historical,EV stock share,Cars,EV,2019,percent,0.016000000759959
South Africa,Historical,EV stock share,Cars,EV,2020,percent,0.018999999389052
South Africa,Historical,EV stock share,Cars,EV,2021,percent,0.023000000044704
South Africa,Historical,EV stock share,Cars,EV,2022,percent,0.028000000864267
South Africa,Historical,EV stock share,Cars,EV,2023,percent,0.043999999761582
