region,category,parameter,mode,powertrain,year,unit,value
Turkiye,Historical,EV stock share,Cars,EV,2013,percent,0.002499999944121
Turkiye,Historical,EV stock share,Cars,EV,2014,percent,0.002700000070035
Turkiye,Historical,EV stock share,Cars,EV,2015,percent,0.003800000064075
Turkiye,Historical,EV stock share,Cars,EV,2016,percent,0.006000000052154
Turkiye,Historical,EV stock share,Cars,EV,2017,percent,0.006599999964237
Turkiye,Historical,EV stock share,Cars,EV,2018,percent,0.008200000040233
Turkiye,Historical,EV stock share,Cars,EV,2019,percent,0.016000000759959
Turkiye,Historical,EV stock share,Cars,EV,2020,percent,0.032999999821186
Turkiye,Historical,EV stock share,Cars,EV,2021,percent,0.068999998271465
Turkiye,Historical,EV stock share,Cars,EV,2022,percent,0.129999995231628
Turkiye,Historical,EV stock share,Cars,EV,2023,percent,0.629999995231628
