region,category,parameter,mode,powertrain,year,unit,value
World,Historical,EV stock share,Cars,EV,2010,percent,0.002300000051036
World,Historical,EV stock share,Trucks,EV,2010,percent,0.001900000032038
World,Historical,EV stock share,Buses,EV,2010,percent,0.0489999987185
World,Historical,EV stock share,Vans,EV,2010,percent,0.006200000178069
World,Historical,EV stock share,Vans,EV,2011,percent,0.008799999952316
World,Historical,EV stock share,Buses,EV,2011,percent,0.061999998986721
World,Historical,EV stock share,Trucks,EV,2011,percent,0.002199999988079
World,Historical,EV stock share,Cars,EV,2011,percent,0.007499999832362
World,Historical,EV stock share,Cars,EV,2012,percent,0.019999999552965
World,Historical,EV stock share,Trucks,EV,2012,percent,0.002600000007078
World,Historical,EV stock share,Buses,EV,2012,percent,0.068999998271465
World,Historical,EV stock share,Vans,EV,2012,percent,0.017000000923872
World,Historical,EV stock share,Buses,EV,2013,percent,0.082000002264977
World,Historical,EV stock share,Trucks,EV,2013,percent,0.00359999993816
World,Historical,EV stock share,Cars,EV,2013,percent,0.03999999910593
World,Historical,EV stock share,Vans,EV,2013,percent,0.025000000372529
World,Historical,EV stock share,Vans,EV,2014,percent,0.032999999821186
World,Historical,EV stock share,Cars,EV,2014,percent,0.071000002324581
World,Historical,EV stock share,Trucks,EV,2014,percent,0.003800000064075
World,Historical,EV stock share,Buses,EV,2014,percent,0.180000007152557
World,Historical,EV stock share,Buses,EV,2015,percent,0.629999995231628
World,Historical,EV stock share,Trucks,EV,2015,percent,0.025000000372529
World,Historical,EV stock share,Cars,EV,2015,percent,0.119999997317791
World,Historical,EV stock share,Vans,EV,2015,percent,0.052000001072884
World,Historical,EV stock share,Vans,EV,2016,percent,0.089000001549721
World,Historical,EV stock share,Cars,EV,2016,percent,0.189999997615814
World,Historical,EV stock share,Trucks,EV,2016,percent,0.086999997496605
World,Historical,EV stock share,Buses,EV,2016,percent,1.10000002384186
World,Historical,EV stock share,Buses,EV,2017,percent,1.5
