region,category,parameter,mode,powertrain,year,unit,value
Belgium,Historical,EV stock,Cars,PHEV,2010,Vehicles,9.0
Belgium,Historical,EV stock,Cars,PHEV,2011,Vehicles,26.0
Belgium,Historical,EV stock,Cars,PHEV,2012,Vehicles,350.0
Belgium,Historical,EV stock,Cars,PHEV,2013,Vehicles,590.0
Belgium,Historical,EV stock,Buses,PHEV,2014,Vehicles,32.0
Belgium,Historical,EV stock,Cars,PHEV,2014,Vehicles,1500.0
Belgium,Historical,EV stock,Cars,PHEV,2015,Vehicles,3800.0
Belgium,Historical,EV stock,Buses,PHEV,2015,Vehicles,80.0
Belgium,Historical,EV stock,Buses,PHEV,2016,Vehicles,110.0
Belgium,Historical,EV stock,Vans,PHEV,2016,Vehicles,1.0
Belgium,Historical,EV stock,Cars,PHEV,2016,Vehicles,11000.0
Belgium,Historical,EV stock,Cars,PHEV,2017,Vehicles,23000.0
Belgium,Historical,EV stock,Vans,PHEV,2017,Vehicles,4.0
Belgium,Historical,EV stock,Buses,PHEV,2017,Vehicles,130.0
Belgium,Historical,EV stock,Buses,PHEV,2018,Vehicles,140.0
Belgium,Historical,EV stock,Vans,PHEV,2018,Vehicles,7.0
Belgium,Historical,EV stock,Cars,PHEV,2018,Vehicles,33000.0
Belgium,Historical,EV stock,Cars,PHEV,2019,Vehicles,41000.0
Belgium,Historical,EV stock,Vans,PHEV,2019,Vehicles,13.0
Belgium,Historical,EV stock,Buses,PHEV,2019,Vehicles,160.0
Belgium,Historical,EV stock,Buses,PHEV,2020,Vehicles,200.0
Belgium,Historical,EV stock,Vans,PHEV,2020,Vehicles,50.0
Belgium,Historical,EV stock,Cars,PHEV,2020,Vehicles,73000.0
Belgium,Historical,EV stock,Cars,PHEV,2021,Vehicles,120000.0
Belgium,Historical,EV stock,Vans,PHEV,2021,Vehicles,110.0
Belgium,Historical,EV stock,Buses,PHEV,2021,Vehicles,220.0
Belgium,Historical,EV stock,Buses,PHEV,2022,Vehicles,180.0
Belgium,Historical,EV stock,Vans,PHEV,2022,Vehicles,240.0
Belgium,Historical,EV stock,Cars,PHEV,2022,Vehicles,180000.0
Belgium,Historical,EV stock,Trucks,PHEV,2023,Vehicles,8.0
Belgium,Historical,EV stock,Cars,PHEV,2023,Vehicles,280000.0
Belgium,Historical,EV stock,Vans,PHEV,2023,Vehicles,190.0
Belgium,Historical,EV stock,Buses,PHEV,2023,Vehicles,220.0
Belgium,Historical,EV stock,Cars,FCEV,2010,Vehicles,1.0
Belgium,Historical,EV stock,Cars,FCEV,2011,Vehicles,1.0
Belgium,Historical,EV stock,Cars,FCEV,2012,Vehicles,1.0
Belgium,Historical,EV stock,Cars,FCEV,2013,Vehicles,1.0
Belgium,Historical,EV stock,Cars,FCEV,2014,Vehicles,2.0
Belgium,Historical,EV stock,Cars,FCEV,2015,Vehicles,8.0
Belgium,Historical,EV stock,Cars,FCEV,2016,Vehicles,20.0
Belgium,Historical,EV stock,Cars,FCEV,2017,Vehicles,31.0
Belgium,Historical,EV stock,Cars,FCEV,2018,Vehicles,44.0
Belgium,Historical,EV stock,Cars,FCEV,2019,Vehicles,41.0
Belgium,Historical,EV stock,Buses,FCEV,2019,Vehicles,1.0
Belgium,Historical,EV stock,Buses,FCEV,2020,Vehicles,2.0
Belgium,Historical,EV stock,Cars,FCEV,2020,Vehicles,64.0
Belgium,Historical,EV stock,Cars,FCEV,2021,Vehicles,85.0
Belgium,Historical,EV stock,Vans,FCEV,2021,Vehicles,1.0
Belgium,Historical,EV stock,Buses,FCEV,2021,Vehicles,3.0
Belgium,Historical,EV stock,Buses,FCEV,2022,Vehicles,6.0
Belgium,Historical,EV stock,Vans,FCEV,2022,Vehicles,1.0
Belgium,Historical,EV stock,Cars,FCEV,2022,Vehicles,80.0
Belgium,Historical,EV stock,Cars,FCEV,2023,Vehicles,99.0
Belgium,Historical,EV stock,Buses,BEV,2010,Vehicles,3.0
Belgium,Historical,EV stock,Vans,BEV,2010,Vehicles,62.0
Belgium,Historical,EV stock,Cars,BEV,2010,Vehicles,61.0
Belgium,Historical,EV stock,Trucks,BEV,2010,Vehicles,2.0
Belgium,Historical,EV stock,Trucks,BEV,2011,Vehicles,6.0
Belgium,Historical,EV stock,Cars,BEV,2011,Vehicles,320.0
Belgium,Historical,EV stock,Vans,BEV,2011,Vehicles,79.0
Belgium,Historical,EV stock,Buses,BEV,2011,Vehicles,3.0
Belgium,Historical,EV stock,Buses,BEV,2012,Vehicles,3.0
Belgium,Historical,EV stock,Vans,BEV,2012,Vehicles,330.0
Belgium,Historical,EV stock,Cars,BEV,2012,Vehicles,830.0
Belgium,Historical,EV stock,Trucks,BEV,2012,Vehicles,7.0
Belgium,Historical,EV stock,Trucks,BEV,2013,Vehicles,7.0
Belgium,Historical,EV stock,Cars,BEV,2013,Vehicles,1200.0
Belgium,Historical,EV stock,Vans,BEV,2013,Vehicles,430.0
Belgium,Historical,EV stock,Buses,BEV,2013,Vehicles,3.0
Belgium,Historical,EV stock,Buses,BEV,2014,Vehicles,7.0
Belgium,Historical,EV stock,Vans,BEV,2014,Vehicles,520.0
Belgium,Historical,EV stock,Cars,BEV,2014,Vehicles,2200.0
Belgium,Historical,EV stock,Trucks,BEV,2014,Vehicles,11.0
Belgium,Historical,EV stock,Trucks,BEV,2015,Vehicles,12.0
Belgium,Historical,EV stock,Cars,BEV,2015,Vehicles,3300.0
Belgium,Historical,EV stock,Vans,BEV,2015,Vehicles,570.0
Belgium,Historical,EV stock,Buses,BEV,2015,Vehicles,7.0
Belgium,Historical,EV stock,Buses,BEV,2016,Vehicles,7.0
Belgium,Historical,EV stock,Vans,BEV,2016,Vehicles,690.0
Belgium,Historical,EV stock,Cars,BEV,2016,Vehicles,5200.0
Belgium,Historical,EV stock,Trucks,BEV,2016,Vehicles,13.0
Belgium,Historical,EV stock,Trucks,BEV,2017,Vehicles,14.0
Belgium,Historical,EV stock,Cars,BEV,2017,Vehicles,7500.0
Belgium,Historical,EV stock,Vans,BEV,2017,Vehicles,780.0
Belgium,Historical,EV stock,Buses,BEV,2017,Vehicles,10.0
Belgium,Historical,EV stock,Buses,BEV,2018,Vehicles,21.0
Belgium,Historical,EV stock,Vans,BEV,2018,Vehicles,1000.0
