region,category,parameter,mode,powertrain,year,unit,value
Canada,Historical,EV stock,Cars,PHEV,2011,Vehicles,300.0
Canada,Historical,EV stock,Cars,PHEV,2012,Vehicles,1600.0
Canada,Historical,EV stock,Cars,PHEV,2013,Vehicles,3100.0
Canada,Historical,EV stock,Cars,PHEV,2014,Vehicles,5300.0
Canada,Historical,EV stock,Cars,PHEV,2015,Vehicles,7700.0
Canada,Historical,EV stock,Vans,PHEV,2015,Vehicles,5.0
Canada,Historical,EV stock,Vans,PHEV,2016,Vehicles,5.0
Canada,Historical,EV stock,Cars,PHEV,2016,Vehicles,14000.0
Canada,Historical,EV stock,Cars,PHEV,2017,Vehicles,22000.0
Canada,Historical,EV stock,Vans,PHEV,2017,Vehicles,5.0
Canada,Historical,EV stock,Vans,PHEV,2018,Vehicles,5.0
Canada,Historical,EV stock,Cars,PHEV,2018,Vehicles,42000.0
Canada,Historical,EV stock,Cars,PHEV,2019,Vehicles,60000.0
Canada,Historical,EV stock,Vans,PHEV,2019,Vehicles,5.0
Canada,Historical,EV stock,Cars,PHEV,2020,Vehicles,82000.0
Canada,Historical,EV stock,Cars,PHEV,2021,Vehicles,110000.0
Canada,Historical,EV stock,Cars,PHEV,2022,Vehicles,130000.0
Canada,Historical,EV stock,Cars,PHEV,2023,Vehicles,170000.0
Canada,Historical,EV stock,Cars,FCEV,2010,Vehicles,5.0
Canada,Historical,EV stock,Cars,FCEV,2011,Vehicles,5.0
Canada,Historical,EV stock,Cars,FCEV,2012,Vehicles,5.0
Canada,Historical,EV stock,Cars,FCEV,2013,Vehicles,5.0
Canada,Historical,EV stock,Cars,FCEV,2014,Vehicles,5.0
Canada,Historical,EV stock,Cars,FCEV,2015,Vehicles,5.0
Canada,Historical,EV stock,Vans,FCEV,2015,Vehicles,9.0
Canada,Historical,EV stock,Vans,FCEV,2016,Vehicles,9.0
Canada,Historical,EV stock,Cars,FCEV,2016,Vehicles,5.0
Canada,Historical,EV stock,Cars,FCEV,2017,Vehicles,5.0
Canada,Historical,EV stock,Vans,FCEV,2017,Vehicles,9.0
Canada,Historical,EV stock,Vans,FCEV,2018,Vehicles,9.0
Canada,Historical,EV stock,Cars,FCEV,2018,Vehicles,5.0
Canada,Historical,EV stock,Cars,FCEV,2019,Vehicles,96.0
Canada,Historical,EV stock,Vans,FCEV,2019,Vehicles,9.0
Canada,Historical,EV stock,Vans,FCEV,2020,Vehicles,16.0
Canada,Historical,EV stock,Cars,FCEV,2020,Vehicles,130.0
Canada,Historical,EV stock,Cars,FCEV,2021,Vehicles,250.0
Canada,Historical,EV stock,Vans,FCEV,2021,Vehicles,44.0
Canada,Historical,EV stock,Vans,FCEV,2022,Vehicles,44.0
Canada,Historical,EV stock,Cars,FCEV,2022,Vehicles,300.0
Canada,Historical,EV stock,Trucks,FCEV,2023,Vehicles,8.0
Canada,Historical,EV stock,Cars,FCEV,2023,Vehicles,320.0
Canada,Historical,EV stock,Vans,FCEV,2023,Vehicles,9.0
Canada,Historical,EV stock,Trucks,BEV,2011,Vehicles,2.0
Canada,Historical,EV stock,Cars,BEV,2011,Vehicles,250.0
Canada,Historical,EV stock,Cars,BEV,2012,Vehicles,830.0
Canada,Historical,EV stock,Trucks,BEV,2012,Vehicles,5.0
Canada,Historical,EV stock,Trucks,BEV,2013,Vehicles,13.0
Canada,Historical,EV stock,Cars,BEV,2013,Vehicles,2400.0
Canada,Historical,EV stock,Cars,BEV,2014,Vehicles,5400.0
Canada,Historical,EV stock,Trucks,BEV,2014,Vehicles,19.0
Canada,Historical,EV stock,Trucks,BEV,2015,Vehicles,28.0
Canada,Historical,EV stock,Vans,BEV,2015,Vehicles,1.0
Canada,Historical,EV stock,Cars,BEV,2015,Vehicles,9900.0
Canada,Historical,EV stock,Cars,BEV,2016,Vehicles,15000.0
Canada,Historical,EV stock,Vans,BEV,2016,Vehicles,1.0
Canada,Historical,EV stock,Trucks,BEV,2016,Vehicles,28.0
Canada,Historical,EV stock,Trucks,BEV,2017,Vehicles,28.0
Canada,Historical,EV stock,Vans,BEV,2017,Vehicles,1.0
Canada,Historical,EV stock,Cars,BEV,2017,Vehicles,25000.0
Canada,Historical,EV stock,Cars,BEV,2018,Vehicles,45000.0
Canada,Historical,EV stock,Buses,BEV,2018,Vehicles,19.0
Canada,Historical,EV stock,Vans,BEV,2018,Vehicles,1.0
Canada,Historical,EV stock,Trucks,BEV,2018,Vehicles,35.0
Canada,Historical,EV stock,Trucks,BEV,2019,Vehicles,35.0
Canada,Historical,EV stock,Vans,BEV,2019,Vehicles,1.0
Canada,Historical,EV stock,Buses,BEV,2019,Vehicles,68.0
Canada,Historical,EV stock,Cars,BEV,2019,Vehicles,76000.0
Canada,Historical,EV stock,Cars,BEV,2020,Vehicles,130000.0
Canada,Historical,EV stock,Buses,BEV,2020,Vehicles,270.0
Canada,Historical,EV stock,Trucks,BEV,2020,Vehicles,4.80000019073486
Canada,Historical,EV stock,Trucks,BEV,2021,Vehicles,22.0
Canada,Historical,EV stock,Buses,BEV,2021,Vehicles,430.0
Canada,Historical,EV stock,Cars,BEV,2021,Vehicles,190000.0
Canada,Historical,EV stock,Cars,BEV,2022,Vehicles,280000.0
Canada,Historical,EV stock,Buses,BEV,2022,Vehicles,690.0
Canada,Historical,EV stock,Trucks,BEV,2022,Vehicles,780.0
Canada,Historical,EV stock,Trucks,BEV,2023,Vehicles,2400.0
Canada,Historical,EV stock,Buses,BEV,2023,Vehicles,1600.0
Canada,Historical,EV stock,Cars,BEV,2023,Vehicles,380000.0
