region,category,parameter,mode,powertrain,year,unit,value
China,Historical,EV stock,Cars,PHEV,2010,Vehicles,340.0
China,Historical,EV stock,Cars,PHEV,2011,Vehicles,660.0
China,Historical,EV stock,Buses,PHEV,2011,Vehicles,160.0
China,Historical,EV stock,Buses,PHEV,2012,Vehicles,680.0
China,Historical,EV stock,Cars,PHEV,2012,Vehicles,920.0
China,Historical,EV stock,Cars,PHEV,2013,Vehicles,1600.0
China,Historical,EV stock,Buses,PHEV,2013,Vehicles,2400.0
China,Historical,EV stock,Buses,PHEV,2014,Vehicles,8400.0
China,Historical,EV stock,Cars,PHEV,2014,Vehicles,26000.0
China,Historical,EV stock,Cars,PHEV,2015,Vehicles,87000.0
China,Historical,EV stock,Buses,PHEV,2015,Vehicles,22000.0
China,Historical,EV stock,Vans,PHEV,2015,Vehicles,17.0
China,Historical,EV stock,Vans,PHEV,2016,Vehicles,17.0
China,Historical,EV stock,Buses,PHEV,2016,Vehicles,29000.0
China,Historical,EV stock,Cars,PHEV,2016,Vehicles,170000.0
China,Historical,EV stock,Cars,PHEV,2017,Vehicles,280000.0
China,Historical,EV stock,Buses,PHEV,2017,Vehicles,30000.0
China,Historical,EV stock,Vans,PHEV,2017,Vehicles,17.0
China,Historical,EV stock,Vans,PHEV,2018,Vehicles,17.0
China,Historical,EV stock,Buses,PHEV,2018,Vehicles,31000.0
China,Historical,EV stock,Cars,PHEV,2018,Vehicles,540000.0
China,Historical,EV stock,Trucks,PHEV,2019,Vehicles,31.0
China,Historical,EV stock,Cars,PHEV,2019,Vehicles,770000.0
China,Historical,EV stock,Buses,PHEV,2019,Vehicles,32000.0
China,Historical,EV stock,Vans,PHEV,2019,Vehicles,44.0
China,Projection-APS,EV stock,Cars,PHEV,2020,Vehicles,990000.0
China,Projection-APS,EV stock,Trucks,PHEV,2020,Vehicles,58.0
China,Historical,EV stock,Vans,PHEV,2020,Vehicles,77.0
China,Historical,EV stock,Buses,PHEV,2020,Vehicles,34000.0
China,Historical,EV stock,Cars,PHEV,2020,Vehicles,990000.0
China,Historical,EV stock,Trucks,PHEV,2020,Vehicles,58.0
China,Projection-APS,EV stock,Buses,PHEV,2020,Vehicles,34000.0
China,Projection-APS,EV stock,Vans,PHEV,2020,Vehicles,77.0
China,Projection-STEPS,EV stock,Buses,PHEV,2020,Vehicles,34000.0
China,Projection-STEPS,EV stock,Vans,PHEV,2020,Vehicles,77.0
China,Projection-STEPS,EV stock,Cars,PHEV,2020,Vehicles,990000.0
China,Projection-STEPS,EV stock,Trucks,PHEV,2020,Vehicles,58.0
China,Projection-STEPS,EV stock,Trucks,PHEV,2021,Vehicles,580.0
China,Projection-STEPS,EV stock,Cars,PHEV,2021,Vehicles,1600000.0
China,Projection-STEPS,EV stock,Vans,PHEV,2021,Vehicles,230.0
China,Projection-STEPS,EV stock,Buses,PHEV,2021,Vehicles,35000.0
China,Projection-APS,EV stock,Vans,PHEV,2021,Vehicles,230.0
China,Projection-APS,EV stock,Buses,PHEV,2021,Vehicles,35000.0
China,Historical,EV stock,Trucks,PHEV,2021,Vehicles,580.0
China,Historical,EV stock,Cars,PHEV,2021,Vehicles,1600000.0
China,Historical,EV stock,Buses,PHEV,2021,Vehicles,35000.0
China,Historical,EV stock,Vans,PHEV,2021,Vehicles,230.0
China,Projection-APS,EV stock,Trucks,PHEV,2021,Vehicles,580.0
China,Projection-APS,EV stock,Cars,PHEV,2021,Vehicles,1600000.0
China,Projection-APS,EV stock,Cars,PHEV,2022,Vehicles,3100000.0
China,Projection-APS,EV stock,Trucks,PHEV,2022,Vehicles,840.0
China,Historical,EV stock,Vans,PHEV,2022,Vehicles,1700.0
China,Historical,EV stock,Buses,PHEV,2022,Vehicles,36000.0
China,Historical,EV stock,Cars,PHEV,2022,Vehicles,3100000.0
China,Historical,EV stock,Trucks,PHEV,2022,Vehicles,840.0
China,Projection-APS,EV stock,Buses,PHEV,2022,Vehicles,36000.0
China,Projection-APS,EV stock,Vans,PHEV,2022,Vehicles,1700.0
China,Projection-STEPS,EV stock,Buses,PHEV,2022,Vehicles,36000.0
China,Projection-STEPS,EV stock,Vans,PHEV,2022,Vehicles,1700.0
China,Projection-STEPS,EV stock,Cars,PHEV,2022,Vehicles,3100000.0
China,Projection-STEPS,EV stock,Trucks,PHEV,2022,Vehicles,840.0
China,Projection-STEPS,EV stock,Trucks,PHEV,2023,Vehicles,1200.0
China,Projection-STEPS,EV stock,Cars,PHEV,2023,Vehicles,5800000.0
China,Projection-STEPS,EV stock,Vans,PHEV,2023,Vehicles,1700.0
China,Projection-STEPS,EV stock,Buses,PHEV,2023,Vehicles,37000.0
China,Projection-APS,EV stock,Vans,PHEV,2023,Vehicles,1700.0
China,Projection-APS,EV stock,Buses,PHEV,2023,Vehicles,37000.0
China,Historical,EV stock,Trucks,PHEV,2023,Vehicles,1200.0
China,Historical,EV stock,Cars,PHEV,2023,Vehicles,5800000.0
China,Historical,EV stock,Buses,PHEV,2023,Vehicles,37000.0
China,Historical,EV stock,Vans,PHEV,2023,Vehicles,1700.0
China,Projection-APS,EV stock,Trucks,PHEV,2023,Vehicles,1200.0
China,Projection-APS,EV stock,Cars,PHEV,2023,Vehicles,5800000.0
China,Projection-STEPS,EV stock,Buses,PHEV,2025,Vehicles,35000.0
China,Projection-STEPS,EV stock,Trucks,PHEV,2025,Vehicles,9600.0
China,Projection-STEPS,EV stock,Vans,PHEV,2025,Vehicles,30000.0
China,Projection-STEPS,EV stock,Cars,PHEV,2025,Vehicles,12000000.0
China,Projection-APS,EV stock,Buses,PHEV,2025,Vehicles,35000.0
China,Projection-APS,EV stock,Trucks,PHEV,2025,Vehicles,9500.0
China,Projection-APS,EV stock,Vans,PHEV,2025,Vehicles,28000.0
China,Projection-APS,EV stock,Cars,PHEV,2025,Vehicles,12000000.0
China,Projection-APS,EV stock,Buses,PHEV,2030,Vehicles,26000.0
China,Projection-APS,EV stock,Trucks,PHEV,2030,Vehicles,40000.0
China,Projection-APS,EV stock,Vans,PHEV,2030,Vehicles,170000.0
China,Projection-APS,EV stock,Cars,PHEV,2030,Vehicles,24000000.0
China,Projection-STEPS,EV stock,Buses,PHEV,2030,Vehicles,26000.0
China,Projection-STEPS,EV stock,Trucks,PHEV,2030,Vehicles,41000.0
China,Projection-STEPS,EV stock,Vans,PHEV,2030,Vehicles,180000.0
China,Projection-STEPS,EV stock,Cars,PHEV,2030,Vehicles,28000000.0
China,Projection-STEPS,EV stock,Buses,PHEV,2035,Vehicles,16000.0
China,Projection-STEPS,EV stock,Trucks,PHEV,2035,Vehicles,110000.0
China,Projection-STEPS,EV stock,Vans,PHEV,2035,Vehicles,440000.0
China,Projection-STEPS,EV stock,Cars,PHEV,2035,Vehicles,38000000.0
China,Projection-APS,EV stock,Buses,PHEV,2035,Vehicles,16000.0
China,Projection-APS,EV stock,Trucks,PHEV,2035,Vehicles,100000.0
