region,category,parameter,mode,powertrain,year,unit,value
France,Historical,EV stock,Vans,PHEV,2010,Vehicles,210.0
France,Historical,EV stock,Vans,PHEV,2011,Vehicles,260.0
France,Historical,EV stock,Cars,PHEV,2011,Vehicles,96.0
France,Historical,EV stock,Cars,PHEV,2012,Vehicles,700.0
France,Historical,EV stock,Vans,PHEV,2012,Vehicles,300.0
France,Historical,EV stock,Vans,PHEV,2013,Vehicles,360.0
France,Historical,EV stock,Cars,PHEV,2013,Vehicles,1500.0
France,Historical,EV stock,Cars,PHEV,2014,Vehicles,3600.0
France,Historical,EV stock,Vans,PHEV,2014,Vehicles,430.0
France,Historical,EV stock,Vans,PHEV,2015,Vehicles,630.0
France,Historical,EV stock,Cars,PHEV,2015,Vehicles,9300.0
France,Historical,EV stock,Cars,PHEV,2016,Vehicles,17000.0
France,Historical,EV stock,Vans,PHEV,2016,Vehicles,1000.0
France,Historical,EV stock,Buses,PHEV,2016,Vehicles,1.0
France,Historical,EV stock,Buses,PHEV,2017,Vehicles,1.0
France,Historical,EV stock,Vans,PHEV,2017,Vehicles,1600.0
France,Historical,EV stock,Trucks,PHEV,2017,Vehicles,10.0
France,Historical,EV stock,Cars,PHEV,2017,Vehicles,54000.0
France,Historical,EV stock,Cars,PHEV,2018,Vehicles,68000.0
France,Historical,EV stock,Trucks,PHEV,2018,Vehicles,20.0
France,Historical,EV stock,Vans,PHEV,2018,Vehicles,2500.0
France,Historical,EV stock,Buses,PHEV,2018,Vehicles,1.0
France,Historical,EV stock,Buses,PHEV,2019,Vehicles,1.0
France,Historical,EV stock,Vans,PHEV,2019,Vehicles,4200.0
France,Historical,EV stock,Trucks,PHEV,2019,Vehicles,10.0
France,Historical,EV stock,Cars,PHEV,2019,Vehicles,85000.0
France,Historical,EV stock,Cars,PHEV,2020,Vehicles,160000.0
France,Historical,EV stock,Trucks,PHEV,2020,Vehicles,10.0
France,Historical,EV stock,Vans,PHEV,2020,Vehicles,4200.0
France,Historical,EV stock,Buses,PHEV,2021,Vehicles,70.0
France,Historical,EV stock,Vans,PHEV,2021,Vehicles,1500.0
France,Historical,EV stock,Cars,PHEV,2021,Vehicles,300000.0
France,Historical,EV stock,Cars,PHEV,2022,Vehicles,430000.0
France,Historical,EV stock,Vans,PHEV,2022,Vehicles,990.0
France,Historical,EV stock,Buses,PHEV,2022,Vehicles,70.0
France,Historical,EV stock,Buses,PHEV,2023,Vehicles,3.0
France,Historical,EV stock,Vans,PHEV,2023,Vehicles,1600.0
France,Historical,EV stock,Trucks,PHEV,2023,Vehicles,10.0
France,Historical,EV stock,Cars,PHEV,2023,Vehicles,590000.0
France,Historical,EV stock,Vans,FCEV,2012,Vehicles,1.0
France,Historical,EV stock,Vans,FCEV,2013,Vehicles,1.0
France,Historical,EV stock,Cars,FCEV,2013,Vehicles,1.0
France,Historical,EV stock,Cars,FCEV,2014,Vehicles,2.0
France,Historical,EV stock,Vans,FCEV,2014,Vehicles,2.0
France,Historical,EV stock,Vans,FCEV,2015,Vehicles,55.0
France,Historical,EV stock,Cars,FCEV,2015,Vehicles,12.0
France,Historical,EV stock,Cars,FCEV,2016,Vehicles,46.0
France,Historical,EV stock,Vans,FCEV,2016,Vehicles,150.0
France,Historical,EV stock,Vans,FCEV,2017,Vehicles,180.0
France,Historical,EV stock,Cars,FCEV,2017,Vehicles,92.0
France,Historical,EV stock,Cars,FCEV,2018,Vehicles,100.0
