region,category,parameter,mode,powertrain,year,unit,value
Germany,Historical,EV stock,Cars,PHEV,2011,Vehicles,240.0
Germany,Historical,EV stock,Cars,PHEV,2012,Vehicles,1400.0
Germany,Historical,EV stock,Cars,PHEV,2013,Vehicles,3000.0
Germany,Historical,EV stock,Vans,PHEV,2013,Vehicles,2.0
Germany,Historical,EV stock,Vans,PHEV,2014,Vehicles,2.0
Germany,Historical,EV stock,Cars,PHEV,2014,Vehicles,7400.0
Germany,Historical,EV stock,Cars,PHEV,2015,Vehicles,19000.0
Germany,Historical,EV stock,Vans,PHEV,2015,Vehicles,4.0
Germany,Historical,EV stock,Vans,PHEV,2016,Vehicles,4.0
Germany,Historical,EV stock,Buses,PHEV,2016,Vehicles,120.0
Germany,Historical,EV stock,Cars,PHEV,2016,Vehicles,32000.0
Germany,Historical,EV stock,Cars,PHEV,2017,Vehicles,50000.0
Germany,Historical,EV stock,Buses,PHEV,2017,Vehicles,120.0
Germany,Historical,EV stock,Vans,PHEV,2017,Vehicles,4.0
Germany,Historical,EV stock,Vans,PHEV,2018,Vehicles,4.0
Germany,Historical,EV stock,Buses,PHEV,2018,Vehicles,120.0
Germany,Historical,EV stock,Cars,PHEV,2018,Vehicles,82000.0
Germany,Historical,EV stock,Cars,PHEV,2019,Vehicles,100000.0
Germany,Historical,EV stock,Vans,PHEV,2019,Vehicles,4.0
Germany,Historical,EV stock,Buses,PHEV,2019,Vehicles,120.0
Germany,Historical,EV stock,Buses,PHEV,2020,Vehicles,130.0
Germany,Historical,EV stock,Vans,PHEV,2020,Vehicles,190.0
Germany,Historical,EV stock,Cars,PHEV,2020,Vehicles,300000.0
Germany,Historical,EV stock,Cars,PHEV,2021,Vehicles,630000.0
Germany,Historical,EV stock,Vans,PHEV,2021,Vehicles,500.0
Germany,Historical,EV stock,Buses,PHEV,2021,Vehicles,130.0
Germany,Historical,EV stock,Buses,PHEV,2022,Vehicles,130.0
Germany,Historical,EV stock,Vans,PHEV,2022,Vehicles,770.0
Germany,Historical,EV stock,Cars,PHEV,2022,Vehicles,860000.0
Germany,Historical,EV stock,Cars,PHEV,2023,Vehicles,1000000.0
Germany,Historical,EV stock,Trucks,PHEV,2023,Vehicles,4.0
Germany,Historical,EV stock,Vans,PHEV,2023,Vehicles,1600.0
Germany,Historical,EV stock,Buses,PHEV,2023,Vehicles,140.0
Germany,Historical,EV stock,Vans,FCEV,2010,Vehicles,2.0
Germany,Historical,EV stock,Cars,FCEV,2010,Vehicles,19.0
Germany,Historical,EV stock,Cars,FCEV,2011,Vehicles,57.0
Germany,Historical,EV stock,Vans,FCEV,2011,Vehicles,2.0
Germany,Historical,EV stock,Vans,FCEV,2012,Vehicles,2.0
Germany,Historical,EV stock,Cars,FCEV,2012,Vehicles,86.0
Germany,Historical,EV stock,Cars,FCEV,2013,Vehicles,110.0
Germany,Historical,EV stock,Vans,FCEV,2013,Vehicles,2.0
Germany,Historical,EV stock,Vans,FCEV,2014,Vehicles,2.0
Germany,Historical,EV stock,Cars,FCEV,2014,Vehicles,120.0
Germany,Historical,EV stock,Cars,FCEV,2015,Vehicles,180.0
Germany,Historical,EV stock,Vans,FCEV,2015,Vehicles,2.0
Germany,Historical,EV stock,Cars,FCEV,2016,Vehicles,180.0
Germany,Historical,EV stock,Cars,FCEV,2017,Vehicles,260.0
Germany,Historical,EV stock,Cars,FCEV,2018,Vehicles,370.0
Germany,Historical,EV stock,Cars,FCEV,2019,Vehicles,540.0
Germany,Historical,EV stock,Buses,FCEV,2019,Vehicles,24.0
Germany,Historical,EV stock,Buses,FCEV,2020,Vehicles,49.0
Germany,Historical,EV stock,Vans,FCEV,2020,Vehicles,16.0
Germany,Historical,EV stock,Cars,FCEV,2020,Vehicles,740.0
Germany,Historical,EV stock,Cars,FCEV,2021,Vehicles,1200.0
Germany,Historical,EV stock,Vans,FCEV,2021,Vehicles,16.0
Germany,Historical,EV stock,Buses,FCEV,2021,Vehicles,87.0
Germany,Historical,EV stock,Buses,FCEV,2022,Vehicles,68.0
Germany,Historical,EV stock,Vans,FCEV,2022,Vehicles,16.0
Germany,Historical,EV stock,Cars,FCEV,2022,Vehicles,2100.0
Germany,Historical,EV stock,Trucks,FCEV,2023,Vehicles,8.0
Germany,Historical,EV stock,Cars,FCEV,2023,Vehicles,2400.0
Germany,Historical,EV stock,Vans,FCEV,2023,Vehicles,55.0
Germany,Historical,EV stock,Buses,FCEV,2023,Vehicles,160.0
Germany,Historical,EV stock,Vans,BEV,2010,Vehicles,220.0
Germany,Historical,EV stock,Cars,BEV,2010,Vehicles,250.0
Germany,Historical,EV stock,Cars,BEV,2011,Vehicles,1600.0
Germany,Historical,EV stock,Vans,BEV,2011,Vehicles,500.0
Germany,Historical,EV stock,Vans,BEV,2012,Vehicles,1400.0
Germany,Historical,EV stock,Cars,BEV,2012,Vehicles,3900.0
Germany,Historical,EV stock,Cars,BEV,2013,Vehicles,9200.0
Germany,Historical,EV stock,Vans,BEV,2013,Vehicles,2000.0
Germany,Historical,EV stock,Vans,BEV,2014,Vehicles,2800.0
Germany,Historical,EV stock,Cars,BEV,2014,Vehicles,18000.0
Germany,Historical,EV stock,Cars,BEV,2015,Vehicles,26000.0
Germany,Historical,EV stock,Vans,BEV,2015,Vehicles,3800.0
Germany,Historical,EV stock,Vans,BEV,2016,Vehicles,6200.0
Germany,Historical,EV stock,Buses,BEV,2016,Vehicles,110.0
Germany,Historical,EV stock,Cars,BEV,2016,Vehicles,34000.0
Germany,Historical,EV stock,Cars,BEV,2017,Vehicles,54000.0
Germany,Historical,EV stock,Buses,BEV,2017,Vehicles,140.0
Germany,Historical,EV stock,Vans,BEV,2017,Vehicles,11000.0
Germany,Historical,EV stock,Vans,BEV,2018,Vehicles,17000.0
Germany,Historical,EV stock,Buses,BEV,2018,Vehicles,160.0
Germany,Historical,EV stock,Cars,BEV,2018,Vehicles,83000.0
Germany,Historical,EV stock,Trucks,BEV,2018,Vehicles,280.0
Germany,Historical,EV stock,Cars,BEV,2019,Vehicles,140000.0
Germany,Historical,EV stock,Buses,BEV,2019,Vehicles,380.0
Germany,Historical,EV stock,Vans,BEV,2019,Vehicles,22000.0
Germany,Historical,EV stock,Vans,BEV,2020,Vehicles,25000.0
Germany,Historical,EV stock,Buses,BEV,2020,Vehicles,760.0
Germany,Historical,EV stock,Cars,BEV,2020,Vehicles,310000.0
Germany,Historical,EV stock,Trucks,BEV,2021,Vehicles,770.0
Germany,Historical,EV stock,Cars,BEV,2021,Vehicles,620000.0
Germany,Historical,EV stock,Buses,BEV,2021,Vehicles,1300.0
Germany,Historical,EV stock,Vans,BEV,2021,Vehicles,41000.0
Germany,Historical,EV stock,Vans,BEV,2022,Vehicles,53000.0
Germany,Historical,EV stock,Buses,BEV,2022,Vehicles,1700.0
Germany,Historical,EV stock,Cars,BEV,2022,Vehicles,1000000.0
Germany,Historical,EV stock,Trucks,BEV,2022,Vehicles,900.0
Germany,Historical,EV stock,Trucks,BEV,2023,Vehicles,6100.0
