region,category,parameter,mode,powertrain,year,unit,value
Iceland,Historical,EV stock,Cars,PHEV,2012,Vehicles,9.0
Iceland,Historical,EV stock,Cars,PHEV,2013,Vehicles,32.0
Iceland,Historical,EV stock,Cars,PHEV,2014,Vehicles,52.0
Iceland,Historical,EV stock,Cars,PHEV,2015,Vehicles,140.0
Iceland,Historical,EV stock,Cars,PHEV,2016,Vehicles,600.0
Iceland,Historical,EV stock,Cars,PHEV,2017,Vehicles,2200.0
Iceland,Historical,EV stock,Cars,PHEV,2018,Vehicles,5600.0
Iceland,Historical,EV stock,Cars,PHEV,2019,Vehicles,7500.0
Iceland,Historical,EV stock,Cars,PHEV,2020,Vehicles,9600.0
Iceland,Historical,EV stock,Cars,PHEV,2021,Vehicles,13000.0
Iceland,Historical,EV stock,Cars,PHEV,2022,Vehicles,19000.0
Iceland,Historical,EV stock,Cars,PHEV,2023,Vehicles,22000.0
Iceland,Historical,EV stock,Cars,FCEV,2010,Vehicles,20.0
Iceland,Historical,EV stock,Cars,FCEV,2011,Vehicles,20.0
Iceland,Historical,EV stock,Cars,FCEV,2012,Vehicles,20.0
Iceland,Historical,EV stock,Cars,FCEV,2013,Vehicles,18.0
Iceland,Historical,EV stock,Cars,FCEV,2014,Vehicles,3.0
Iceland,Historical,EV stock,Cars,FCEV,2015,Vehicles,4.0
Iceland,Historical,EV stock,Cars,FCEV,2016,Vehicles,3.0
Iceland,Historical,EV stock,Cars,FCEV,2017,Vehicles,2.0
Iceland,Historical,EV stock,Cars,FCEV,2018,Vehicles,17.0
Iceland,Historical,EV stock,Cars,FCEV,2019,Vehicles,31.0
Iceland,Historical,EV stock,Cars,FCEV,2020,Vehicles,30.0
Iceland,Historical,EV stock,Cars,FCEV,2021,Vehicles,31.0
Iceland,Historical,EV stock,Cars,FCEV,2022,Vehicles,31.0
Iceland,Historical,EV stock,Cars,FCEV,2023,Vehicles,27.0
Iceland,Historical,EV stock,Cars,BEV,2010,Vehicles,14.0
Iceland,Historical,EV stock,Cars,BEV,2011,Vehicles,14.0
Iceland,Historical,EV stock,Cars,BEV,2012,Vehicles,31.0
Iceland,Historical,EV stock,Cars,BEV,2013,Vehicles,110.0
Iceland,Historical,EV stock,Cars,BEV,2014,Vehicles,240.0
Iceland,Historical,EV stock,Cars,BEV,2015,Vehicles,570.0
Iceland,Historical,EV stock,Cars,BEV,2016,Vehicles,960.0
Iceland,Historical,EV stock,Cars,BEV,2017,Vehicles,1700.0
Iceland,Historical,EV stock,Cars,BEV,2018,Vehicles,2400.0
Iceland,Historical,EV stock,Cars,BEV,2019,Vehicles,3500.0
Iceland,Historical,EV stock,Cars,BEV,2020,Vehicles,5400.0
Iceland,Historical,EV stock,Cars,BEV,2021,Vehicles,8500.0
Iceland,Historical,EV stock,Cars,BEV,2022,Vehicles,14000.0
Iceland,Historical,EV stock,Cars,BEV,2023,Vehicles,22000.0
