region,category,parameter,mode,powertrain,year,unit,value
Italy,Historical,EV stock,Cars,PHEV,2013,Vehicles,180.0
Italy,Historical,EV stock,Cars,PHEV,2014,Vehicles,520.0
Italy,Historical,EV stock,Cars,PHEV,2015,Vehicles,1300.0
Italy,Historical,EV stock,Cars,PHEV,2016,Vehicles,2700.0
Italy,Historical,EV stock,Cars,PHEV,2017,Vehicles,5600.0
Italy,Historical,EV stock,Cars,PHEV,2018,Vehicles,10000.0
Italy,Historical,EV stock,Vans,PHEV,2019,Vehicles,43.0
Italy,Historical,EV stock,Cars,PHEV,2019,Vehicles,17000.0
Italy,Historical,EV stock,Cars,PHEV,2020,Vehicles,44000.0
Italy,Historical,EV stock,Vans,PHEV,2020,Vehicles,98.0
Italy,Historical,EV stock,Vans,PHEV,2021,Vehicles,490.0
Italy,Historical,EV stock,Cars,PHEV,2021,Vehicles,110000.0
Italy,Historical,EV stock,Cars,PHEV,2022,Vehicles,180000.0
Italy,Historical,EV stock,Vans,PHEV,2022,Vehicles,1100.0
Italy,Historical,EV stock,Vans,PHEV,2023,Vehicles,2100.0
Italy,Historical,EV stock,Cars,PHEV,2023,Vehicles,250000.0
Italy,Historical,EV stock,Cars,FCEV,2014,Vehicles,10.0
Italy,Historical,EV stock,Buses,FCEV,2015,Vehicles,11.0
Italy,Historical,EV stock,Cars,FCEV,2015,Vehicles,11.0
Italy,Historical,EV stock,Cars,FCEV,2016,Vehicles,11.0
Italy,Historical,EV stock,Buses,FCEV,2016,Vehicles,13.0
Italy,Historical,EV stock,Buses,FCEV,2017,Vehicles,13.0
Italy,Historical,EV stock,Cars,FCEV,2017,Vehicles,11.0
Italy,Historical,EV stock,Cars,FCEV,2018,Vehicles,12.0
Italy,Historical,EV stock,Buses,FCEV,2018,Vehicles,13.0
Italy,Historical,EV stock,Buses,FCEV,2019,Vehicles,13.0
Italy,Historical,EV stock,Cars,FCEV,2019,Vehicles,28.0
Italy,Historical,EV stock,Cars,FCEV,2020,Vehicles,35.0
Italy,Historical,EV stock,Buses,FCEV,2020,Vehicles,13.0
Italy,Historical,EV stock,Buses,FCEV,2021,Vehicles,13.0
Italy,Historical,EV stock,Cars,FCEV,2021,Vehicles,45.0
Italy,Historical,EV stock,Cars,FCEV,2022,Vehicles,56.0
Italy,Historical,EV stock,Buses,FCEV,2022,Vehicles,13.0
Italy,Historical,EV stock,Buses,FCEV,2023,Vehicles,14.0
Italy,Historical,EV stock,Cars,FCEV,2023,Vehicles,59.0
Italy,Historical,EV stock,Vans,BEV,2010,Vehicles,820.0
Italy,Historical,EV stock,Cars,BEV,2010,Vehicles,650.0
Italy,Historical,EV stock,Cars,BEV,2011,Vehicles,760.0
Italy,Historical,EV stock,Vans,BEV,2011,Vehicles,910.0
Italy,Historical,EV stock,Vans,BEV,2012,Vehicles,1300.0
Italy,Historical,EV stock,Cars,BEV,2012,Vehicles,1200.0
Italy,Historical,EV stock,Cars,BEV,2013,Vehicles,2000.0
Italy,Historical,EV stock,Vans,BEV,2013,Vehicles,1400.0
Italy,Historical,EV stock,Vans,BEV,2014,Vehicles,1700.0
Italy,Historical,EV stock,Cars,BEV,2014,Vehicles,3100.0
Italy,Historical,EV stock,Cars,BEV,2015,Vehicles,4400.0
Italy,Historical,EV stock,Vans,BEV,2015,Vehicles,2100.0
Italy,Historical,EV stock,Vans,BEV,2016,Vehicles,2900.0
Italy,Historical,EV stock,Cars,BEV,2016,Vehicles,5800.0
Italy,Historical,EV stock,Buses,BEV,2016,Vehicles,38.0
Italy,Historical,EV stock,Buses,BEV,2017,Vehicles,46.0
Italy,Historical,EV stock,Cars,BEV,2017,Vehicles,7800.0
Italy,Historical,EV stock,Vans,BEV,2017,Vehicles,3200.0
Italy,Historical,EV stock,Cars,BEV,2018,Vehicles,13000.0
Italy,Historical,EV stock,Vans,BEV,2018,Vehicles,3900.0
Italy,Historical,EV stock,Buses,BEV,2018,Vehicles,110.0
Italy,Historical,EV stock,Buses,BEV,2019,Vehicles,540.0
Italy,Historical,EV stock,Vans,BEV,2019,Vehicles,4900.0
Italy,Historical,EV stock,Cars,BEV,2019,Vehicles,23000.0
Italy,Historical,EV stock,Cars,BEV,2020,Vehicles,55000.0
Italy,Historical,EV stock,Vans,BEV,2020,Vehicles,6300.0
Italy,Historical,EV stock,Buses,BEV,2020,Vehicles,590.0
Italy,Historical,EV stock,Buses,BEV,2021,Vehicles,670.0
Italy,Historical,EV stock,Vans,BEV,2021,Vehicles,9400.0
Italy,Historical,EV stock,Cars,BEV,2021,Vehicles,120000.0
Italy,Historical,EV stock,Cars,BEV,2022,Vehicles,170000.0
Italy,Historical,EV stock,Vans,BEV,2022,Vehicles,13000.0
Italy,Historical,EV stock,Buses,BEV,2022,Vehicles,790.0
Italy,Historical,EV stock,Buses,BEV,2023,Vehicles,1000.0
Italy,Historical,EV stock,Vans,BEV,2023,Vehicles,21000.0
Italy,Historical,EV stock,Cars,BEV,2023,Vehicles,240000.0
