region,category,parameter,mode,powertrain,year,unit,value
Korea,Historical,EV stock,Cars,PHEV,2015,Vehicles,250.0
Korea,Historical,EV stock,Cars,PHEV,2016,Vehicles,580.0
Korea,Historical,EV stock,Cars,PHEV,2017,Vehicles,1300.0
Korea,Historical,EV stock,Cars,PHEV,2018,Vehicles,5600.0
Korea,Historical,EV stock,Cars,PHEV,2019,Vehicles,11000.0
Korea,Historical,EV stock,Cars,PHEV,2020,Vehicles,24000.0
Korea,Historical,EV stock,Cars,PHEV,2021,Vehicles,44000.0
Korea,Historical,EV stock,Cars,PHEV,2022,Vehicles,57000.0
Korea,Historical,EV stock,Cars,PHEV,2023,Vehicles,59000.0
Korea,Historical,EV stock,Cars,FCEV,2015,Vehicles,12.0
Korea,Historical,EV stock,Cars,FCEV,2016,Vehicles,46.0
Korea,Historical,EV stock,Cars,FCEV,2017,Vehicles,100.0
Korea,Historical,EV stock,Cars,FCEV,2018,Vehicles,900.0
Korea,Historical,EV stock,Cars,FCEV,2019,Vehicles,5100.0
Korea,Historical,EV stock,Buses,FCEV,2019,Vehicles,15.0
Korea,Historical,EV stock,Buses,FCEV,2020,Vehicles,52.0
Korea,Historical,EV stock,Cars,FCEV,2020,Vehicles,10000.0
Korea,Historical,EV stock,Cars,FCEV,2021,Vehicles,19000.0
Korea,Historical,EV stock,Buses,FCEV,2021,Vehicles,130.0
Korea,Historical,EV stock,Buses,FCEV,2022,Vehicles,280.0
Korea,Historical,EV stock,Cars,FCEV,2022,Vehicles,29000.0
Korea,Historical,EV stock,Cars,FCEV,2023,Vehicles,34000.0
Korea,Historical,EV stock,Buses,FCEV,2023,Vehicles,650.0
Korea,Historical,EV stock,Buses,BEV,2010,Vehicles,5.0
Korea,Historical,EV stock,Cars,BEV,2010,Vehicles,61.0
Korea,Historical,EV stock,Cars,BEV,2011,Vehicles,340.0
Korea,Historical,EV stock,Buses,BEV,2011,Vehicles,9.0
Korea,Historical,EV stock,Buses,BEV,2012,Vehicles,11.0
Korea,Historical,EV stock,Cars,BEV,2012,Vehicles,850.0
Korea,Historical,EV stock,Cars,BEV,2013,Vehicles,1400.0
Korea,Historical,EV stock,Buses,BEV,2013,Vehicles,17.0
Korea,Historical,EV stock,Buses,BEV,2014,Vehicles,20.0
Korea,Historical,EV stock,Cars,BEV,2014,Vehicles,2700.0
Korea,Historical,EV stock,Cars,BEV,2015,Vehicles,5800.0
Korea,Historical,EV stock,Buses,BEV,2015,Vehicles,22.0
Korea,Historical,EV stock,Vans,BEV,2015,Vehicles,18.0
Korea,Historical,EV stock,Vans,BEV,2016,Vehicles,32.0
Korea,Historical,EV stock,Buses,BEV,2016,Vehicles,52.0
Korea,Historical,EV stock,Cars,BEV,2016,Vehicles,10000.0
Korea,Historical,EV stock,Cars,BEV,2017,Vehicles,24000.0
Korea,Historical,EV stock,Buses,BEV,2017,Vehicles,52.0
Korea,Historical,EV stock,Vans,BEV,2017,Vehicles,32.0
Korea,Historical,EV stock,Vans,BEV,2018,Vehicles,330.0
Korea,Historical,EV stock,Buses,BEV,2018,Vehicles,100.0
Korea,Historical,EV stock,Cars,BEV,2018,Vehicles,55000.0
Korea,Historical,EV stock,Cars,BEV,2019,Vehicles,89000.0
Korea,Historical,EV stock,Buses,BEV,2019,Vehicles,220.0
Korea,Historical,EV stock,Vans,BEV,2019,Vehicles,1900.0
Korea,Historical,EV stock,Buses,BEV,2020,Vehicles,1800.0
Korea,Historical,EV stock,Cars,BEV,2020,Vehicles,120000.0
Korea,Historical,EV stock,Vans,BEV,2020,Vehicles,16000.0
Korea,Historical,EV stock,Vans,BEV,2021,Vehicles,45000.0
Korea,Historical,EV stock,Cars,BEV,2021,Vehicles,190000.0
Korea,Historical,EV stock,Buses,BEV,2021,Vehicles,3100.0
Korea,Historical,EV stock,Buses,BEV,2022,Vehicles,5200.0
Korea,Historical,EV stock,Cars,BEV,2022,Vehicles,300000.0
Korea,Historical,EV stock,Vans,BEV,2022,Vehicles,81000.0
Korea,Historical,EV stock,Vans,BEV,2023,Vehicles,120000.0
Korea,Historical,EV stock,Cars,BEV,2023,Vehicles,460000.0
Korea,Historical,EV stock,Buses,BEV,2023,Vehicles,4400.0
