region,category,parameter,mode,powertrain,year,unit,value
New Zealand,Historical,EV stock,Cars,PHEV,2011,Vehicles,2.0
New Zealand,Historical,EV stock,Cars,PHEV,2012,Vehicles,7.0
New Zealand,Historical,EV stock,Cars,PHEV,2013,Vehicles,13.0
New Zealand,Historical,EV stock,Cars,PHEV,2014,Vehicles,220.0
New Zealand,Historical,EV stock,Cars,PHEV,2015,Vehicles,420.0
New Zealand,Historical,EV stock,Cars,PHEV,2016,Vehicles,760.0
New Zealand,Historical,EV stock,Cars,PHEV,2017,Vehicles,1300.0
New Zealand,Historical,EV stock,Cars,PHEV,2018,Vehicles,2500.0
New Zealand,Historical,EV stock,Cars,PHEV,2019,Vehicles,4400.0
New Zealand,Historical,EV stock,Vans,PHEV,2020,Vehicles,1.0
New Zealand,Historical,EV stock,Cars,PHEV,2020,Vehicles,5900.0
New Zealand,Historical,EV stock,Cars,PHEV,2021,Vehicles,9400.0
New Zealand,Historical,EV stock,Buses,PHEV,2021,Vehicles,1.0
New Zealand,Historical,EV stock,Vans,PHEV,2021,Vehicles,25.0
New Zealand,Historical,EV stock,Vans,PHEV,2022,Vehicles,74.0
New Zealand,Historical,EV stock,Buses,PHEV,2022,Vehicles,1.0
New Zealand,Historical,EV stock,Cars,PHEV,2022,Vehicles,19000.0
New Zealand,Historical,EV stock,Cars,PHEV,2023,Vehicles,30000.0
New Zealand,Historical,EV stock,Buses,PHEV,2023,Vehicles,1.0
New Zealand,Historical,EV stock,Vans,PHEV,2023,Vehicles,88.0
New Zealand,Historical,EV stock,Cars,FCEV,2019,Vehicles,2.0
New Zealand,Historical,EV stock,Cars,FCEV,2020,Vehicles,5.0
New Zealand,Historical,EV stock,Cars,FCEV,2021,Vehicles,6.0
New Zealand,Historical,EV stock,Vans,FCEV,2021,Vehicles,6.0
New Zealand,Historical,EV stock,Vans,FCEV,2022,Vehicles,6.0
New Zealand,Historical,EV stock,Cars,FCEV,2022,Vehicles,16.0
New Zealand,Historical,EV stock,Cars,FCEV,2023,Vehicles,20.0
New Zealand,Historical,EV stock,Buses,BEV,2010,Vehicles,62.0
New Zealand,Historical,EV stock,Cars,BEV,2010,Vehicles,14.0
New Zealand,Historical,EV stock,Cars,BEV,2011,Vehicles,27.0
New Zealand,Historical,EV stock,Buses,BEV,2011,Vehicles,64.0
New Zealand,Historical,EV stock,Buses,BEV,2012,Vehicles,65.0
New Zealand,Historical,EV stock,Cars,BEV,2012,Vehicles,49.0
New Zealand,Historical,EV stock,Cars,BEV,2013,Vehicles,79.0
New Zealand,Historical,EV stock,Buses,BEV,2013,Vehicles,65.0
New Zealand,Historical,EV stock,Buses,BEV,2014,Vehicles,65.0
New Zealand,Historical,EV stock,Cars,BEV,2014,Vehicles,190.0
New Zealand,Historical,EV stock,Cars,BEV,2015,Vehicles,490.0
New Zealand,Historical,EV stock,Buses,BEV,2015,Vehicles,65.0
New Zealand,Historical,EV stock,Buses,BEV,2016,Vehicles,65.0
New Zealand,Historical,EV stock,Cars,BEV,2016,Vehicles,1600.0
New Zealand,Historical,EV stock,Cars,BEV,2017,Vehicles,4600.0
New Zealand,Historical,EV stock,Buses,BEV,2017,Vehicles,66.0
New Zealand,Historical,EV stock,Buses,BEV,2018,Vehicles,77.0
New Zealand,Historical,EV stock,Cars,BEV,2018,Vehicles,8900.0
New Zealand,Historical,EV stock,Cars,BEV,2019,Vehicles,13000.0
New Zealand,Historical,EV stock,Buses,BEV,2019,Vehicles,100.0
New Zealand,Historical,EV stock,Vans,BEV,2019,Vehicles,780.0
New Zealand,Historical,EV stock,Vans,BEV,2020,Vehicles,850.0
New Zealand,Historical,EV stock,Buses,BEV,2020,Vehicles,120.0
New Zealand,Historical,EV stock,Cars,BEV,2020,Vehicles,17000.0
New Zealand,Historical,EV stock,Cars,BEV,2021,Vehicles,26000.0
New Zealand,Historical,EV stock,Buses,BEV,2021,Vehicles,170.0
New Zealand,Historical,EV stock,Vans,BEV,2021,Vehicles,980.0
New Zealand,Historical,EV stock,Vans,BEV,2022,Vehicles,1400.0
New Zealand,Historical,EV stock,Buses,BEV,2022,Vehicles,260.0
New Zealand,Historical,EV stock,Cars,BEV,2022,Vehicles,46000.0
New Zealand,Historical,EV stock,Cars,BEV,2023,Vehicles,70000.0
New Zealand,Historical,EV stock,Buses,BEV,2023,Vehicles,350.0
New Zealand,Historical,EV stock,Vans,BEV,2023,Vehicles,1800.0
