region,category,parameter,mode,powertrain,year,unit,value
Norway,Historical,EV stock,Cars,PHEV,2010,Vehicles,2.0
Norway,Historical,EV stock,Cars,PHEV,2011,Vehicles,3.0
Norway,Historical,EV stock,Cars,PHEV,2012,Vehicles,340.0
Norway,Historical,EV stock,Cars,PHEV,2013,Vehicles,660.0
Norway,Historical,EV stock,Cars,PHEV,2014,Vehicles,2300.0
Norway,Historical,EV stock,Cars,PHEV,2015,Vehicles,10000.0
Norway,Historical,EV stock,Cars,PHEV,2016,Vehicles,31000.0
Norway,Historical,EV stock,Cars,PHEV,2017,Vehicles,60000.0
Norway,Historical,EV stock,Vans,PHEV,2017,Vehicles,10.0
Norway,Historical,EV stock,Vans,PHEV,2018,Vehicles,10.0
Norway,Historical,EV stock,Cars,PHEV,2018,Vehicles,87000.0
Norway,Historical,EV stock,Cars,PHEV,2019,Vehicles,110000.0
Norway,Historical,EV stock,Vans,PHEV,2019,Vehicles,10.0
Norway,Historical,EV stock,Vans,PHEV,2020,Vehicles,43.0
Norway,Historical,EV stock,Buses,PHEV,2020,Vehicles,63.0
Norway,Historical,EV stock,Cars,PHEV,2020,Vehicles,150000.0
Norway,Historical,EV stock,Trucks,PHEV,2020,Vehicles,1.0
Norway,Historical,EV stock,Trucks,PHEV,2021,Vehicles,2.0
Norway,Historical,EV stock,Cars,PHEV,2021,Vehicles,180000.0
Norway,Historical,EV stock,Buses,PHEV,2021,Vehicles,70.0
Norway,Historical,EV stock,Vans,PHEV,2021,Vehicles,310.0
Norway,Historical,EV stock,Vans,PHEV,2022,Vehicles,500.0
Norway,Historical,EV stock,Buses,PHEV,2022,Vehicles,69.0
Norway,Historical,EV stock,Cars,PHEV,2022,Vehicles,200000.0
Norway,Historical,EV stock,Trucks,PHEV,2022,Vehicles,5.0
Norway,Historical,EV stock,Trucks,PHEV,2023,Vehicles,1.0
Norway,Historical,EV stock,Cars,PHEV,2023,Vehicles,210000.0
Norway,Historical,EV stock,Buses,PHEV,2023,Vehicles,68.0
Norway,Historical,EV stock,Vans,PHEV,2023,Vehicles,660.0
Norway,Historical,EV stock,Cars,FCEV,2014,Vehicles,4.0
Norway,Historical,EV stock,Cars,FCEV,2015,Vehicles,13.0
Norway,Historical,EV stock,Cars,FCEV,2016,Vehicles,40.0
Norway,Historical,EV stock,Cars,FCEV,2017,Vehicles,70.0
Norway,Historical,EV stock,Cars,FCEV,2018,Vehicles,120.0
Norway,Historical,EV stock,Cars,FCEV,2019,Vehicles,180.0
Norway,Historical,EV stock,Cars,FCEV,2020,Vehicles,200.0
Norway,Historical,EV stock,Vans,FCEV,2020,Vehicles,1.0
Norway,Historical,EV stock,Buses,FCEV,2020,Vehicles,5.0
Norway,Historical,EV stock,Vans,FCEV,2021,Vehicles,1.0
Norway,Historical,EV stock,Cars,FCEV,2021,Vehicles,230.0
Norway,Historical,EV stock,Cars,FCEV,2022,Vehicles,260.0
Norway,Historical,EV stock,Vans,FCEV,2022,Vehicles,1.0
Norway,Historical,EV stock,Buses,FCEV,2022,Vehicles,10.0
Norway,Historical,EV stock,Vans,FCEV,2023,Vehicles,1.0
Norway,Historical,EV stock,Cars,FCEV,2023,Vehicles,290.0
Norway,Historical,EV stock,Cars,BEV,2010,Vehicles,2700.0
Norway,Historical,EV stock,Vans,BEV,2011,Vehicles,1.0
Norway,Historical,EV stock,Cars,BEV,2011,Vehicles,3900.0
Norway,Historical,EV stock,Cars,BEV,2012,Vehicles,8000.0
Norway,Historical,EV stock,Vans,BEV,2012,Vehicles,5.0
Norway,Historical,EV stock,Vans,BEV,2013,Vehicles,5.0
Norway,Historical,EV stock,Cars,BEV,2013,Vehicles,15000.0
Norway,Historical,EV stock,Cars,BEV,2014,Vehicles,33000.0
Norway,Historical,EV stock,Vans,BEV,2014,Vehicles,560.0
Norway,Historical,EV stock,Vans,BEV,2015,Vehicles,1300.0
Norway,Historical,EV stock,Cars,BEV,2015,Vehicles,59000.0
Norway,Historical,EV stock,Cars,BEV,2016,Vehicles,83000.0
Norway,Historical,EV stock,Vans,BEV,2016,Vehicles,2000.0
Norway,Historical,EV stock,Buses,BEV,2016,Vehicles,13.0
Norway,Historical,EV stock,Trucks,BEV,2017,Vehicles,2.0
Norway,Historical,EV stock,Buses,BEV,2017,Vehicles,31.0
Norway,Historical,EV stock,Vans,BEV,2017,Vehicles,2900.0
Norway,Historical,EV stock,Cars,BEV,2017,Vehicles,120000.0
Norway,Historical,EV stock,Cars,BEV,2018,Vehicles,160000.0
Norway,Historical,EV stock,Vans,BEV,2018,Vehicles,4700.0
Norway,Historical,EV stock,Buses,BEV,2018,Vehicles,43.0
Norway,Historical,EV stock,Trucks,BEV,2018,Vehicles,2.0
Norway,Historical,EV stock,Trucks,BEV,2019,Vehicles,2.0
Norway,Historical,EV stock,Buses,BEV,2019,Vehicles,200.0
Norway,Historical,EV stock,Vans,BEV,2019,Vehicles,6700.0
Norway,Historical,EV stock,Cars,BEV,2019,Vehicles,220000.0
Norway,Historical,EV stock,Cars,BEV,2020,Vehicles,340000.0
Norway,Historical,EV stock,Vans,BEV,2020,Vehicles,9700.0
Norway,Historical,EV stock,Buses,BEV,2020,Vehicles,420.0
Norway,Historical,EV stock,Trucks,BEV,2020,Vehicles,18.0
Norway,Historical,EV stock,Trucks,BEV,2021,Vehicles,96.0
Norway,Historical,EV stock,Buses,BEV,2021,Vehicles,520.0
Norway,Historical,EV stock,Vans,BEV,2021,Vehicles,11000.0
Norway,Historical,EV stock,Cars,BEV,2021,Vehicles,450000.0
Norway,Historical,EV stock,Cars,BEV,2022,Vehicles,590000.0
Norway,Historical,EV stock,Vans,BEV,2022,Vehicles,21000.0
Norway,Historical,EV stock,Buses,BEV,2022,Vehicles,830.0
