region,category,parameter,mode,powertrain,year,unit,value
Switzerland,Historical,EV stock,Cars,PHEV,2011,Vehicles,41.0
Switzerland,Historical,EV stock,Cars,PHEV,2012,Vehicles,440.0
Switzerland,Historical,EV stock,Cars,PHEV,2013,Vehicles,600.0
Switzerland,Historical,EV stock,Cars,PHEV,2014,Vehicles,810.0
Switzerland,Historical,EV stock,Buses,PHEV,2015,Vehicles,11.0
Switzerland,Historical,EV stock,Cars,PHEV,2015,Vehicles,3200.0
Switzerland,Historical,EV stock,Cars,PHEV,2016,Vehicles,5000.0
Switzerland,Historical,EV stock,Buses,PHEV,2016,Vehicles,14.0
Switzerland,Historical,EV stock,Buses,PHEV,2017,Vehicles,35.0
Switzerland,Historical,EV stock,Cars,PHEV,2017,Vehicles,9000.0
Switzerland,Historical,EV stock,Cars,PHEV,2018,Vehicles,14000.0
Switzerland,Historical,EV stock,Buses,PHEV,2018,Vehicles,35.0
Switzerland,Historical,EV stock,Buses,PHEV,2019,Vehicles,35.0
Switzerland,Historical,EV stock,Cars,PHEV,2019,Vehicles,16000.0
Switzerland,Historical,EV stock,Cars,PHEV,2020,Vehicles,30000.0
Switzerland,Historical,EV stock,Buses,PHEV,2020,Vehicles,35.0
Switzerland,Historical,EV stock,Vans,PHEV,2020,Vehicles,9.0
Switzerland,Historical,EV stock,Vans,PHEV,2021,Vehicles,180.0
Switzerland,Historical,EV stock,Buses,PHEV,2021,Vehicles,35.0
Switzerland,Historical,EV stock,Cars,PHEV,2021,Vehicles,53000.0
Switzerland,Historical,EV stock,Cars,PHEV,2022,Vehicles,71000.0
Switzerland,Historical,EV stock,Buses,PHEV,2022,Vehicles,35.0
Switzerland,Historical,EV stock,Vans,PHEV,2022,Vehicles,190.0
Switzerland,Historical,EV stock,Vans,PHEV,2023,Vehicles,190.0
Switzerland,Historical,EV stock,Buses,PHEV,2023,Vehicles,35.0
Switzerland,Historical,EV stock,Cars,PHEV,2023,Vehicles,96000.0
Switzerland,Historical,EV stock,Cars,FCEV,2015,Vehicles,10.0
Switzerland,Historical,EV stock,Cars,FCEV,2016,Vehicles,36.0
Switzerland,Historical,EV stock,Buses,FCEV,2016,Vehicles,4.0
Switzerland,Historical,EV stock,Buses,FCEV,2017,Vehicles,10.0
Switzerland,Historical,EV stock,Cars,FCEV,2017,Vehicles,37.0
Switzerland,Historical,EV stock,Cars,FCEV,2018,Vehicles,59.0
Switzerland,Historical,EV stock,Buses,FCEV,2018,Vehicles,20.0
Switzerland,Historical,EV stock,Buses,FCEV,2019,Vehicles,20.0
Switzerland,Historical,EV stock,Cars,FCEV,2019,Vehicles,84.0
Switzerland,Historical,EV stock,Cars,FCEV,2020,Vehicles,84.0
Switzerland,Historical,EV stock,Buses,FCEV,2020,Vehicles,20.0
Switzerland,Historical,EV stock,Buses,FCEV,2021,Vehicles,20.0
Switzerland,Historical,EV stock,Cars,FCEV,2021,Vehicles,140.0
Switzerland,Historical,EV stock,Cars,FCEV,2022,Vehicles,210.0
Switzerland,Historical,EV stock,Vans,FCEV,2022,Vehicles,10.0
Switzerland,Historical,EV stock,Buses,FCEV,2022,Vehicles,20.0
Switzerland,Historical,EV stock,Buses,FCEV,2023,Vehicles,15.0
Switzerland,Historical,EV stock,Trucks,FCEV,2023,Vehicles,80.0
Switzerland,Historical,EV stock,Cars,FCEV,2023,Vehicles,240.0
Switzerland,Historical,EV stock,Cars,BEV,2011,Vehicles,400.0
Switzerland,Historical,EV stock,Cars,BEV,2012,Vehicles,740.0
Switzerland,Historical,EV stock,Vans,BEV,2012,Vehicles,120.0
Switzerland,Historical,EV stock,Vans,BEV,2013,Vehicles,230.0
Switzerland,Historical,EV stock,Cars,BEV,2013,Vehicles,1900.0
Switzerland,Historical,EV stock,Cars,BEV,2014,Vehicles,4600.0
Switzerland,Historical,EV stock,Vans,BEV,2014,Vehicles,290.0
Switzerland,Historical,EV stock,Vans,BEV,2015,Vehicles,440.0
Switzerland,Historical,EV stock,Cars,BEV,2015,Vehicles,7800.0
Switzerland,Historical,EV stock,Cars,BEV,2016,Vehicles,11000.0
Switzerland,Historical,EV stock,Vans,BEV,2016,Vehicles,540.0
Switzerland,Historical,EV stock,Buses,BEV,2016,Vehicles,5.0
Switzerland,Historical,EV stock,Buses,BEV,2017,Vehicles,7.0
Switzerland,Historical,EV stock,Vans,BEV,2017,Vehicles,620.0
Switzerland,Historical,EV stock,Cars,BEV,2017,Vehicles,16000.0
Switzerland,Historical,EV stock,Cars,BEV,2018,Vehicles,21000.0
Switzerland,Historical,EV stock,Vans,BEV,2018,Vehicles,1000.0
Switzerland,Historical,EV stock,Buses,BEV,2018,Vehicles,17.0
Switzerland,Historical,EV stock,Buses,BEV,2019,Vehicles,26.0
Switzerland,Historical,EV stock,Vans,BEV,2019,Vehicles,1600.0
Switzerland,Historical,EV stock,Cars,BEV,2019,Vehicles,34000.0
Switzerland,Historical,EV stock,Cars,BEV,2020,Vehicles,54000.0
Switzerland,Historical,EV stock,Vans,BEV,2020,Vehicles,2400.0
Switzerland,Historical,EV stock,Buses,BEV,2020,Vehicles,48.0
Switzerland,Historical,EV stock,Buses,BEV,2021,Vehicles,91.0
Switzerland,Historical,EV stock,Vans,BEV,2021,Vehicles,3700.0
Switzerland,Historical,EV stock,Cars,BEV,2021,Vehicles,86000.0
Switzerland,Historical,EV stock,Cars,BEV,2022,Vehicles,130000.0
Switzerland,Historical,EV stock,Trucks,BEV,2022,Vehicles,360.0
Switzerland,Historical,EV stock,Vans,BEV,2022,Vehicles,6500.0
Switzerland,Historical,EV stock,Buses,BEV,2022,Vehicles,150.0
Switzerland,Historical,EV stock,Buses,BEV,2023,Vehicles,220.0
Switzerland,Historical,EV stock,Vans,BEV,2023,Vehicles,10000.0
Switzerland,Historical,EV stock,Trucks,BEV,2023,Vehicles,680.0
Switzerland,Historical,EV stock,Cars,BEV,2023,Vehicles,180000.0
