region,category,parameter,mode,powertrain,year,unit,value
USA,Historical,EV stock,Cars,PHEV,2011,Vehicles,8000.0
USA,Historical,EV stock,Cars,PHEV,2012,Vehicles,47000.0
USA,Historical,EV stock,Cars,PHEV,2013,Vehicles,96000.0
USA,Historical,EV stock,Cars,PHEV,2014,Vehicles,150000.0
USA,Historical,EV stock,Buses,PHEV,2015,Vehicles,550.0
USA,Historical,EV stock,Cars,PHEV,2015,Vehicles,190000.0
USA,Historical,EV stock,Cars,PHEV,2016,Vehicles,270000.0
USA,Historical,EV stock,Buses,PHEV,2016,Vehicles,550.0
USA,Historical,EV stock,Buses,PHEV,2017,Vehicles,550.0
USA,Historical,EV stock,Cars,PHEV,2017,Vehicles,360000.0
USA,Historical,EV stock,Cars,PHEV,2018,Vehicles,480000.0
USA,Historical,EV stock,Buses,PHEV,2018,Vehicles,550.0
USA,Historical,EV stock,Buses,PHEV,2019,Vehicles,550.0
USA,Historical,EV stock,Cars,PHEV,2019,Vehicles,570000.0
USA,Historical,EV stock,Cars,PHEV,2020,Vehicles,640000.0
USA,Historical,EV stock,Buses,PHEV,2020,Vehicles,550.0
USA,Projection-STEPS,EV stock,Buses,PHEV,2020,Vehicles,550.0
USA,Projection-STEPS,EV stock,Cars,PHEV,2020,Vehicles,640000.0
USA,Projection-APS,EV stock,Buses,PHEV,2020,Vehicles,550.0
USA,Projection-APS,EV stock,Cars,PHEV,2020,Vehicles,640000.0
USA,Projection-APS,EV stock,Cars,PHEV,2021,Vehicles,720000.0
USA,Projection-APS,EV stock,Buses,PHEV,2021,Vehicles,550.0
USA,Projection-STEPS,EV stock,Cars,PHEV,2021,Vehicles,720000.0
USA,Projection-STEPS,EV stock,Buses,PHEV,2021,Vehicles,550.0
USA,Historical,EV stock,Buses,PHEV,2021,Vehicles,550.0
USA,Historical,EV stock,Cars,PHEV,2021,Vehicles,720000.0
USA,Historical,EV stock,Cars,PHEV,2022,Vehicles,910000.0
USA,Historical,EV stock,Buses,PHEV,2022,Vehicles,550.0
USA,Projection-STEPS,EV stock,Buses,PHEV,2022,Vehicles,550.0
USA,Projection-STEPS,EV stock,Cars,PHEV,2022,Vehicles,910000.0
USA,Projection-APS,EV stock,Buses,PHEV,2022,Vehicles,550.0
USA,Projection-APS,EV stock,Cars,PHEV,2022,Vehicles,910000.0
USA,Projection-APS,EV stock,Cars,PHEV,2023,Vehicles,1300000.0
USA,Projection-APS,EV stock,Buses,PHEV,2023,Vehicles,550.0
USA,Projection-STEPS,EV stock,Cars,PHEV,2023,Vehicles,1300000.0
USA,Projection-STEPS,EV stock,Buses,PHEV,2023,Vehicles,550.0
USA,Historical,EV stock,Buses,PHEV,2023,Vehicles,550.0
USA,Historical,EV stock,Cars,PHEV,2023,Vehicles,1300000.0
USA,Projection-APS,EV stock,Buses,PHEV,2025,Vehicles,3800.0
USA,Projection-APS,EV stock,Trucks,PHEV,2025,Vehicles,8100.0
USA,Projection-APS,EV stock,Vans,PHEV,2025,Vehicles,11000.0
USA,Projection-APS,EV stock,Cars,PHEV,2025,Vehicles,2100000.0
USA,Projection-STEPS,EV stock,Buses,PHEV,2025,Vehicles,3900.0
