region,category,parameter,mode,powertrain,year,unit,value
United Kingdom,Historical,EV stock,Cars,PHEV,2010,Vehicles,21.0
United Kingdom,Historical,EV stock,Cars,PHEV,2011,Vehicles,28.0
United Kingdom,Historical,EV stock,Cars,PHEV,2012,Vehicles,990.0
United Kingdom,Historical,EV stock,Cars,PHEV,2013,Vehicles,2000.0
United Kingdom,Historical,EV stock,Vans,PHEV,2014,Vehicles,4.0
United Kingdom,Historical,EV stock,Cars,PHEV,2014,Vehicles,9700.0
United Kingdom,Historical,EV stock,Cars,PHEV,2015,Vehicles,27000.0
United Kingdom,Historical,EV stock,Vans,PHEV,2015,Vehicles,100.0
United Kingdom,Historical,EV stock,Buses,PHEV,2016,Vehicles,140.0
United Kingdom,Historical,EV stock,Vans,PHEV,2016,Vehicles,180.0
United Kingdom,Historical,EV stock,Cars,PHEV,2016,Vehicles,55000.0
United Kingdom,Historical,EV stock,Cars,PHEV,2017,Vehicles,87000.0
United Kingdom,Historical,EV stock,Vans,PHEV,2017,Vehicles,220.0
United Kingdom,Historical,EV stock,Buses,PHEV,2017,Vehicles,150.0
United Kingdom,Historical,EV stock,Buses,PHEV,2018,Vehicles,220.0
United Kingdom,Historical,EV stock,Vans,PHEV,2018,Vehicles,410.0
United Kingdom,Historical,EV stock,Cars,PHEV,2018,Vehicles,130000.0
United Kingdom,Historical,EV stock,Cars,PHEV,2019,Vehicles,160000.0
United Kingdom,Historical,EV stock,Vans,PHEV,2019,Vehicles,590.0
United Kingdom,Historical,EV stock,Buses,PHEV,2019,Vehicles,220.0
United Kingdom,Historical,EV stock,Buses,PHEV,2020,Vehicles,220.0
United Kingdom,Historical,EV stock,Vans,PHEV,2020,Vehicles,1100.0
United Kingdom,Historical,EV stock,Cars,PHEV,2020,Vehicles,220000.0
United Kingdom,Historical,EV stock,Cars,PHEV,2021,Vehicles,330000.0
United Kingdom,Historical,EV stock,Vans,PHEV,2021,Vehicles,2300.0
United Kingdom,Historical,EV stock,Buses,PHEV,2021,Vehicles,220.0
United Kingdom,Historical,EV stock,Buses,PHEV,2022,Vehicles,220.0
United Kingdom,Historical,EV stock,Cars,PHEV,2022,Vehicles,400000.0
United Kingdom,Historical,EV stock,Vans,PHEV,2022,Vehicles,2700.0
United Kingdom,Historical,EV stock,Vans,PHEV,2023,Vehicles,2900.0
United Kingdom,Historical,EV stock,Cars,PHEV,2023,Vehicles,600000.0
United Kingdom,Historical,EV stock,Buses,PHEV,2023,Vehicles,220.0
United Kingdom,Historical,EV stock,Vans,FCEV,2010,Vehicles,4.0
United Kingdom,Historical,EV stock,Vans,FCEV,2011,Vehicles,4.0
United Kingdom,Historical,EV stock,Vans,FCEV,2012,Vehicles,4.0
United Kingdom,Historical,EV stock,Vans,FCEV,2013,Vehicles,4.0
United Kingdom,Historical,EV stock,Vans,FCEV,2014,Vehicles,4.0
United Kingdom,Historical,EV stock,Vans,FCEV,2015,Vehicles,4.0
United Kingdom,Historical,EV stock,Vans,FCEV,2016,Vehicles,3.0
United Kingdom,Historical,EV stock,Vans,FCEV,2017,Vehicles,4.0
United Kingdom,Historical,EV stock,Cars,FCEV,2017,Vehicles,34.0
United Kingdom,Historical,EV stock,Buses,FCEV,2018,Vehicles,10.0
United Kingdom,Historical,EV stock,Cars,FCEV,2018,Vehicles,70.0
United Kingdom,Historical,EV stock,Vans,FCEV,2018,Vehicles,3.0
United Kingdom,Historical,EV stock,Vans,FCEV,2019,Vehicles,4.0
United Kingdom,Historical,EV stock,Cars,FCEV,2019,Vehicles,170.0
United Kingdom,Historical,EV stock,Cars,FCEV,2020,Vehicles,230.0
United Kingdom,Historical,EV stock,Vans,FCEV,2020,Vehicles,4.0
United Kingdom,Historical,EV stock,Vans,FCEV,2021,Vehicles,5.0
United Kingdom,Historical,EV stock,Cars,FCEV,2021,Vehicles,240.0
United Kingdom,Historical,EV stock,Buses,FCEV,2022,Vehicles,37.0
United Kingdom,Historical,EV stock,Cars,FCEV,2022,Vehicles,190.0
United Kingdom,Historical,EV stock,Vans,FCEV,2022,Vehicles,5.0
United Kingdom,Historical,EV stock,Cars,FCEV,2023,Vehicles,260.0
United Kingdom,Historical,EV stock,Buses,FCEV,2023,Vehicles,180.0
United Kingdom,Historical,EV stock,Vans,BEV,2010,Vehicles,3700.0
United Kingdom,Historical,EV stock,Trucks,BEV,2010,Vehicles,940.0
United Kingdom,Historical,EV stock,Cars,BEV,2010,Vehicles,1500.0
United Kingdom,Historical,EV stock,Buses,BEV,2010,Vehicles,80.0
United Kingdom,Historical,EV stock,Buses,BEV,2011,Vehicles,88.0
United Kingdom,Historical,EV stock,Cars,BEV,2011,Vehicles,2600.0
United Kingdom,Historical,EV stock,Trucks,BEV,2011,Vehicles,860.0
United Kingdom,Historical,EV stock,Vans,BEV,2011,Vehicles,3600.0
United Kingdom,Historical,EV stock,Vans,BEV,2012,Vehicles,3700.0
United Kingdom,Historical,EV stock,Trucks,BEV,2012,Vehicles,700.0
United Kingdom,Historical,EV stock,Cars,BEV,2012,Vehicles,4100.0
United Kingdom,Historical,EV stock,Buses,BEV,2012,Vehicles,100.0
United Kingdom,Historical,EV stock,Buses,BEV,2013,Vehicles,120.0
United Kingdom,Historical,EV stock,Cars,BEV,2013,Vehicles,6200.0
United Kingdom,Historical,EV stock,Trucks,BEV,2013,Vehicles,570.0
United Kingdom,Historical,EV stock,Vans,BEV,2013,Vehicles,3600.0
United Kingdom,Historical,EV stock,Vans,BEV,2014,Vehicles,4100.0
United Kingdom,Historical,EV stock,Trucks,BEV,2014,Vehicles,500.0
United Kingdom,Historical,EV stock,Cars,BEV,2014,Vehicles,12000.0
United Kingdom,Historical,EV stock,Buses,BEV,2014,Vehicles,170.0
United Kingdom,Historical,EV stock,Buses,BEV,2015,Vehicles,200.0
United Kingdom,Historical,EV stock,Cars,BEV,2015,Vehicles,21000.0
United Kingdom,Historical,EV stock,Trucks,BEV,2015,Vehicles,410.0
United Kingdom,Historical,EV stock,Vans,BEV,2015,Vehicles,4600.0
United Kingdom,Historical,EV stock,Vans,BEV,2016,Vehicles,5300.0
United Kingdom,Historical,EV stock,Trucks,BEV,2016,Vehicles,400.0
United Kingdom,Historical,EV stock,Cars,BEV,2016,Vehicles,30000.0
United Kingdom,Historical,EV stock,Buses,BEV,2016,Vehicles,260.0
United Kingdom,Historical,EV stock,Buses,BEV,2017,Vehicles,300.0
United Kingdom,Historical,EV stock,Cars,BEV,2017,Vehicles,42000.0
United Kingdom,Historical,EV stock,Trucks,BEV,2017,Vehicles,350.0
United Kingdom,Historical,EV stock,Vans,BEV,2017,Vehicles,6300.0
United Kingdom,Historical,EV stock,Vans,BEV,2018,Vehicles,7500.0
United Kingdom,Historical,EV stock,Trucks,BEV,2018,Vehicles,320.0
United Kingdom,Historical,EV stock,Cars,BEV,2018,Vehicles,56000.0
United Kingdom,Historical,EV stock,Buses,BEV,2018,Vehicles,400.0
United Kingdom,Historical,EV stock,Buses,BEV,2019,Vehicles,510.0
United Kingdom,Historical,EV stock,Cars,BEV,2019,Vehicles,91000.0
United Kingdom,Historical,EV stock,Trucks,BEV,2019,Vehicles,340.0
United Kingdom,Historical,EV stock,Vans,BEV,2019,Vehicles,10000.0
United Kingdom,Historical,EV stock,Vans,BEV,2020,Vehicles,16000.0
United Kingdom,Historical,EV stock,Trucks,BEV,2020,Vehicles,320.0
United Kingdom,Historical,EV stock,Cars,BEV,2020,Vehicles,190000.0
United Kingdom,Historical,EV stock,Buses,BEV,2020,Vehicles,820.0
United Kingdom,Historical,EV stock,Buses,BEV,2021,Vehicles,1400.0
United Kingdom,Historical,EV stock,Cars,BEV,2021,Vehicles,380000.0
United Kingdom,Historical,EV stock,Trucks,BEV,2021,Vehicles,450.0
United Kingdom,Historical,EV stock,Vans,BEV,2021,Vehicles,28000.0
United Kingdom,Historical,EV stock,Vans,BEV,2022,Vehicles,39000.0
United Kingdom,Historical,EV stock,Trucks,BEV,2022,Vehicles,950.0
United Kingdom,Historical,EV stock,Cars,BEV,2022,Vehicles,550000.0
United Kingdom,Historical,EV stock,Buses,BEV,2022,Vehicles,1800.0
