region,category,parameter,mode,powertrain,year,unit,value
World,Historical,EV stock,Vans,PHEV,2010,Vehicles,210.0
World,Historical,EV stock,Cars,PHEV,2010,Vehicles,400.0
World,Historical,EV stock,Cars,PHEV,2011,Vehicles,9500.0
World,Historical,EV stock,Vans,PHEV,2011,Vehicles,260.0
World,Historical,EV stock,Buses,PHEV,2011,Vehicles,160.0
World,Historical,EV stock,Buses,PHEV,2012,Vehicles,680.0
World,Historical,EV stock,Vans,PHEV,2012,Vehicles,310.0
World,Historical,EV stock,Cars,PHEV,2012,Vehicles,70000.0
World,Historical,EV stock,Cars,PHEV,2013,Vehicles,160000.0
World,Historical,EV stock,Vans,PHEV,2013,Vehicles,370.0
World,Historical,EV stock,Buses,PHEV,2013,Vehicles,2400.0
World,Historical,EV stock,Buses,PHEV,2014,Vehicles,8500.0
World,Historical,EV stock,Vans,PHEV,2014,Vehicles,460.0
World,Historical,EV stock,Cars,PHEV,2014,Vehicles,300000.0
World,Historical,EV stock,Trucks,PHEV,2015,Vehicles,36.0
World,Historical,EV stock,Cars,PHEV,2015,Vehicles,520000.0
World,Historical,EV stock,Vans,PHEV,2015,Vehicles,1500.0
World,Historical,EV stock,Buses,PHEV,2015,Vehicles,22000.0
World,Historical,EV stock,Buses,PHEV,2016,Vehicles,30000.0
World,Historical,EV stock,Vans,PHEV,2016,Vehicles,2000.0
World,Historical,EV stock,Cars,PHEV,2016,Vehicles,810000.0
World,Historical,EV stock,Trucks,PHEV,2016,Vehicles,39.0
World,Historical,EV stock,Trucks,PHEV,2017,Vehicles,52.0
World,Historical,EV stock,Cars,PHEV,2017,Vehicles,1200000.0
World,Historical,EV stock,Vans,PHEV,2017,Vehicles,2700.0
World,Historical,EV stock,Buses,PHEV,2017,Vehicles,31000.0
World,Historical,EV stock,Buses,PHEV,2018,Vehicles,32000.0
World,Historical,EV stock,Vans,PHEV,2018,Vehicles,3800.0
World,Historical,EV stock,Cars,PHEV,2018,Vehicles,1900000.0
World,Historical,EV stock,Trucks,PHEV,2018,Vehicles,66.0
World,Historical,EV stock,Trucks,PHEV,2019,Vehicles,88.0
World,Historical,EV stock,Cars,PHEV,2019,Vehicles,2400000.0
World,Historical,EV stock,Vans,PHEV,2019,Vehicles,5800.0
World,Historical,EV stock,Buses,PHEV,2019,Vehicles,34000.0
World,Historical,EV stock,Buses,PHEV,2020,Vehicles,35000.0
World,Historical,EV stock,Vans,PHEV,2020,Vehicles,8000.0
World,Historical,EV stock,Cars,PHEV,2020,Vehicles,3400000.0
World,Historical,EV stock,Trucks,PHEV,2020,Vehicles,110.0
World,Projection-STEPS,EV stock,Buses,PHEV,2020,Vehicles,35000.0
World,Projection-STEPS,EV stock,Vans,PHEV,2020,Vehicles,8000.0
World,Projection-STEPS,EV stock,Trucks,PHEV,2020,Vehicles,110.0
World,Projection-STEPS,EV stock,Cars,PHEV,2020,Vehicles,3400000.0
World,Projection-APS,EV stock,Buses,PHEV,2020,Vehicles,35000.0
World,Projection-APS,EV stock,Trucks,PHEV,2020,Vehicles,110.0
World,Projection-APS,EV stock,Vans,PHEV,2020,Vehicles,8000.0
World,Projection-APS,EV stock,Cars,PHEV,2020,Vehicles,3400000.0
World,Projection-APS,EV stock,Cars,PHEV,2021,Vehicles,5300000.0
World,Projection-APS,EV stock,Vans,PHEV,2021,Vehicles,7800.0
World,Projection-APS,EV stock,Trucks,PHEV,2021,Vehicles,650.0
World,Projection-APS,EV stock,Buses,PHEV,2021,Vehicles,37000.0
World,Projection-STEPS,EV stock,Cars,PHEV,2021,Vehicles,5300000.0
World,Projection-STEPS,EV stock,Trucks,PHEV,2021,Vehicles,650.0
World,Projection-STEPS,EV stock,Vans,PHEV,2021,Vehicles,7800.0
World,Projection-STEPS,EV stock,Buses,PHEV,2021,Vehicles,37000.0
World,Historical,EV stock,Trucks,PHEV,2021,Vehicles,650.0
World,Historical,EV stock,Cars,PHEV,2021,Vehicles,5300000.0
World,Historical,EV stock,Vans,PHEV,2021,Vehicles,7800.0
World,Historical,EV stock,Buses,PHEV,2021,Vehicles,37000.0
World,Historical,EV stock,Buses,PHEV,2022,Vehicles,38000.0
World,Historical,EV stock,Vans,PHEV,2022,Vehicles,11000.0
World,Historical,EV stock,Cars,PHEV,2022,Vehicles,8000000.0
World,Historical,EV stock,Trucks,PHEV,2022,Vehicles,920.0
World,Projection-STEPS,EV stock,Buses,PHEV,2022,Vehicles,38000.0
World,Projection-STEPS,EV stock,Vans,PHEV,2022,Vehicles,11000.0
World,Projection-STEPS,EV stock,Trucks,PHEV,2022,Vehicles,920.0
World,Projection-STEPS,EV stock,Cars,PHEV,2022,Vehicles,8000000.0
World,Projection-APS,EV stock,Buses,PHEV,2022,Vehicles,38000.0
World,Projection-APS,EV stock,Trucks,PHEV,2022,Vehicles,920.0
World,Projection-APS,EV stock,Vans,PHEV,2022,Vehicles,11000.0
World,Projection-APS,EV stock,Cars,PHEV,2022,Vehicles,8000000.0
World,Projection-APS,EV stock,Cars,PHEV,2023,Vehicles,12000000.0
World,Projection-APS,EV stock,Vans,PHEV,2023,Vehicles,15000.0
World,Projection-APS,EV stock,Trucks,PHEV,2023,Vehicles,1300.0
World,Projection-APS,EV stock,Buses,PHEV,2023,Vehicles,39000.0
World,Projection-STEPS,EV stock,Cars,PHEV,2023,Vehicles,12000000.0
World,Projection-STEPS,EV stock,Trucks,PHEV,2023,Vehicles,1300.0
World,Projection-STEPS,EV stock,Vans,PHEV,2023,Vehicles,15000.0
World,Projection-STEPS,EV stock,Buses,PHEV,2023,Vehicles,39000.0
World,Historical,EV stock,Trucks,PHEV,2023,Vehicles,1300.0
World,Historical,EV stock,Cars,PHEV,2023,Vehicles,12000000.0
World,Historical,EV stock,Vans,PHEV,2023,Vehicles,15000.0
World,Historical,EV stock,Buses,PHEV,2023,Vehicles,39000.0
World,Projection-APS,EV stock,Buses,PHEV,2025,Vehicles,57000.0
World,Projection-APS,EV stock,Trucks,PHEV,2025,Vehicles,26000.0
World,Projection-APS,EV stock,Vans,PHEV,2025,Vehicles,150000.0
World,Projection-APS,EV stock,Cars,PHEV,2025,Vehicles,22000000.0
World,Projection-STEPS,EV stock,Buses,PHEV,2025,Vehicles,58000.0
World,Projection-STEPS,EV stock,Trucks,PHEV,2025,Vehicles,11000.0
World,Projection-STEPS,EV stock,Vans,PHEV,2025,Vehicles,100000.0
World,Projection-STEPS,EV stock,Cars,PHEV,2025,Vehicles,23000000.0
World,Projection-STEPS,EV stock,Buses,PHEV,2030,Vehicles,170000.0
World,Projection-STEPS,EV stock,Trucks,PHEV,2030,Vehicles,140000.0
World,Projection-STEPS,EV stock,Vans,PHEV,2030,Vehicles,540000.0
World,Projection-STEPS,EV stock,Cars,PHEV,2030,Vehicles,56000000.0
World,Projection-APS,EV stock,Buses,PHEV,2030,Vehicles,160000.0
World,Projection-APS,EV stock,Trucks,PHEV,2030,Vehicles,220000.0
World,Projection-APS,EV stock,Vans,PHEV,2030,Vehicles,1100000.0
World,Projection-APS,EV stock,Cars,PHEV,2030,Vehicles,51000000.0
World,Projection-APS,EV stock,Buses,PHEV,2035,Vehicles,360000.0
World,Projection-APS,EV stock,Trucks,PHEV,2035,Vehicles,520000.0
World,Projection-APS,EV stock,Vans,PHEV,2035,Vehicles,2700000.0
World,Projection-APS,EV stock,Cars,PHEV,2035,Vehicles,82000000.0
World,Projection-STEPS,EV stock,Buses,PHEV,2035,Vehicles,430000.0
World,Projection-STEPS,EV stock,Trucks,PHEV,2035,Vehicles,490000.0
World,Projection-STEPS,EV stock,Vans,PHEV,2035,Vehicles,1400000.0
World,Projection-STEPS,EV stock,Cars,PHEV,2035,Vehicles,89000000.0
World,Historical,EV stock,Vans,FCEV,2010,Vehicles,6.0
World,Historical,EV stock,Cars,FCEV,2010,Vehicles,45.0
World,Historical,EV stock,Buses,FCEV,2010,Vehicles,6.0
World,Historical,EV stock,Cars,FCEV,2011,Vehicles,83.0
World,Historical,EV stock,Vans,FCEV,2011,Vehicles,6.0
World,Historical,EV stock,Vans,FCEV,2012,Vehicles,7.0
World,Historical,EV stock,Cars,FCEV,2012,Vehicles,110.0
World,Historical,EV stock,Buses,FCEV,2013,Vehicles,12.0
World,Historical,EV stock,Cars,FCEV,2013,Vehicles,140.0
World,Historical,EV stock,Vans,FCEV,2013,Vehicles,56.0
World,Historical,EV stock,Vans,FCEV,2014,Vehicles,89.0
World,Historical,EV stock,Cars,FCEV,2014,Vehicles,210.0
World,Historical,EV stock,Buses,FCEV,2014,Vehicles,61.0
World,Historical,EV stock,Buses,FCEV,2015,Vehicles,190.0
World,Historical,EV stock,Trucks,FCEV,2015,Vehicles,5.0
World,Historical,EV stock,Cars,FCEV,2015,Vehicles,910.0
World,Historical,EV stock,Vans,FCEV,2015,Vehicles,160.0
World,Historical,EV stock,Vans,FCEV,2016,Vehicles,250.0
World,Historical,EV stock,Trucks,FCEV,2016,Vehicles,2.0
World,Historical,EV stock,Cars,FCEV,2016,Vehicles,3300.0
World,Historical,EV stock,Buses,FCEV,2016,Vehicles,360.0
World,Historical,EV stock,Buses,FCEV,2017,Vehicles,850.0
World,Historical,EV stock,Cars,FCEV,2017,Vehicles,6800.0
World,Historical,EV stock,Trucks,FCEV,2017,Vehicles,3.0
World,Historical,EV stock,Vans,FCEV,2017,Vehicles,280.0
World,Historical,EV stock,Vans,FCEV,2018,Vehicles,370.0
World,Historical,EV stock,Trucks,FCEV,2018,Vehicles,400.0
World,Historical,EV stock,Cars,FCEV,2018,Vehicles,11000.0
World,Historical,EV stock,Buses,FCEV,2018,Vehicles,1800.0
World,Historical,EV stock,Buses,FCEV,2019,Vehicles,2900.0
World,Historical,EV stock,Cars,FCEV,2019,Vehicles,19000.0
World,Historical,EV stock,Trucks,FCEV,2019,Vehicles,1800.0
World,Historical,EV stock,Vans,FCEV,2019,Vehicles,370.0
World,Historical,EV stock,Vans,FCEV,2020,Vehicles,400.0
World,Historical,EV stock,Trucks,FCEV,2020,Vehicles,3200.0
World,Historical,EV stock,Cars,FCEV,2020,Vehicles,26000.0
World,Historical,EV stock,Buses,FCEV,2020,Vehicles,4000.0
World,Projection-STEPS,EV stock,Buses,FCEV,2020,Vehicles,4000.0
World,Projection-STEPS,EV stock,Vans,FCEV,2020,Vehicles,400.0
World,Projection-STEPS,EV stock,Trucks,FCEV,2020,Vehicles,3200.0
World,Projection-STEPS,EV stock,Cars,FCEV,2020,Vehicles,26000.0
World,Projection-APS,EV stock,Buses,FCEV,2020,Vehicles,4000.0
World,Projection-APS,EV stock,Vans,FCEV,2020,Vehicles,400.0
World,Projection-APS,EV stock,Trucks,FCEV,2020,Vehicles,3200.0
World,Projection-APS,EV stock,Cars,FCEV,2020,Vehicles,26000.0
World,Projection-APS,EV stock,Cars,FCEV,2021,Vehicles,42000.0
World,Projection-APS,EV stock,Trucks,FCEV,2021,Vehicles,4300.0
World,Projection-APS,EV stock,Vans,FCEV,2021,Vehicles,460.0
World,Projection-APS,EV stock,Buses,FCEV,2021,Vehicles,5000.0
World,Projection-STEPS,EV stock,Cars,FCEV,2021,Vehicles,42000.0
World,Projection-STEPS,EV stock,Trucks,FCEV,2021,Vehicles,4300.0
World,Projection-STEPS,EV stock,Vans,FCEV,2021,Vehicles,460.0
World,Projection-STEPS,EV stock,Buses,FCEV,2021,Vehicles,5000.0
World,Historical,EV stock,Buses,FCEV,2021,Vehicles,5000.0
World,Historical,EV stock,Cars,FCEV,2021,Vehicles,42000.0
World,Historical,EV stock,Trucks,FCEV,2021,Vehicles,4300.0
World,Historical,EV stock,Vans,FCEV,2021,Vehicles,460.0
World,Historical,EV stock,Vans,FCEV,2022,Vehicles,1300.0
World,Historical,EV stock,Cars,FCEV,2022,Vehicles,57000.0
World,Historical,EV stock,Trucks,FCEV,2022,Vehicles,7100.0
World,Historical,EV stock,Buses,FCEV,2022,Vehicles,6600.0
World,Projection-STEPS,EV stock,Buses,FCEV,2022,Vehicles,6600.0
World,Projection-STEPS,EV stock,Vans,FCEV,2022,Vehicles,1300.0
World,Projection-STEPS,EV stock,Trucks,FCEV,2022,Vehicles,7100.0
World,Projection-STEPS,EV stock,Cars,FCEV,2022,Vehicles,57000.0
World,Projection-APS,EV stock,Buses,FCEV,2022,Vehicles,6600.0
World,Projection-APS,EV stock,Vans,FCEV,2022,Vehicles,1300.0
World,Projection-APS,EV stock,Trucks,FCEV,2022,Vehicles,7100.0
World,Projection-APS,EV stock,Cars,FCEV,2022,Vehicles,57000.0
World,Projection-APS,EV stock,Cars,FCEV,2023,Vehicles,66000.0
World,Projection-APS,EV stock,Trucks,FCEV,2023,Vehicles,11000.0
World,Projection-APS,EV stock,Vans,FCEV,2023,Vehicles,3200.0
World,Projection-APS,EV stock,Buses,FCEV,2023,Vehicles,8700.0
World,Projection-STEPS,EV stock,Cars,FCEV,2023,Vehicles,66000.0
World,Projection-STEPS,EV stock,Trucks,FCEV,2023,Vehicles,11000.0
World,Projection-STEPS,EV stock,Vans,FCEV,2023,Vehicles,3200.0
World,Projection-STEPS,EV stock,Buses,FCEV,2023,Vehicles,8700.0
World,Historical,EV stock,Buses,FCEV,2023,Vehicles,8700.0
World,Historical,EV stock,Trucks,FCEV,2023,Vehicles,11000.0
World,Historical,EV stock,Cars,FCEV,2023,Vehicles,66000.0
World,Historical,EV stock,Vans,FCEV,2023,Vehicles,3200.0
World,Projection-APS,EV stock,Buses,FCEV,2025,Vehicles,34000.0
World,Projection-APS,EV stock,Trucks,FCEV,2025,Vehicles,33000.0
World,Projection-APS,EV stock,Vans,FCEV,2025,Vehicles,48000.0
World,Projection-APS,EV stock,Cars,FCEV,2025,Vehicles,170000.0
World,Projection-STEPS,EV stock,Buses,FCEV,2025,Vehicles,32000.0
World,Projection-STEPS,EV stock,Trucks,FCEV,2025,Vehicles,29000.0
World,Projection-STEPS,EV stock,Vans,FCEV,2025,Vehicles,47000.0
World,Projection-STEPS,EV stock,Cars,FCEV,2025,Vehicles,100000.0
World,Projection-STEPS,EV stock,Buses,FCEV,2030,Vehicles,120000.0
World,Projection-STEPS,EV stock,Trucks,FCEV,2030,Vehicles,240000.0
World,Projection-STEPS,EV stock,Vans,FCEV,2030,Vehicles,350000.0
World,Projection-STEPS,EV stock,Cars,FCEV,2030,Vehicles,450000.0
World,Projection-APS,EV stock,Buses,FCEV,2030,Vehicles,180000.0
World,Projection-APS,EV stock,Trucks,FCEV,2030,Vehicles,310000.0
World,Projection-APS,EV stock,Vans,FCEV,2030,Vehicles,370000.0
World,Projection-APS,EV stock,Cars,FCEV,2030,Vehicles,1200000.0
World,Projection-APS,EV stock,Buses,FCEV,2035,Vehicles,410000.0
World,Projection-APS,EV stock,Trucks,FCEV,2035,Vehicles,1300000.0
