region,category,parameter,mode,powertrain,year,unit,value
China,Historical,Oil displacement Mbd,Buses,EV,2010,Milion barrels per day,0.000230000005104
China,Historical,Oil displacement Mbd,Vans,EV,2010,Milion barrels per day,9.99999974737875e-06
China,Historical,Oil displacement Mbd,Cars,EV,2010,Milion barrels per day,2.90000007225899e-05
China,Historical,Oil displacement Mbd,Buses,EV,2011,Milion barrels per day,0.000239999993937
China,Historical,Oil displacement Mbd,Vans,EV,2011,Milion barrels per day,1.29999998534913e-05
China,Historical,Oil displacement Mbd,Cars,EV,2011,Milion barrels per day,0.000110000000859
China,Historical,Oil displacement Mbd,Buses,EV,2012,Milion barrels per day,0.000399999989895
China,Historical,Oil displacement Mbd,Vans,EV,2012,Milion barrels per day,2.99999992421362e-05
China,Historical,Oil displacement Mbd,Cars,EV,2012,Milion barrels per day,0.000269999989541
China,Historical,Oil displacement Mbd,Buses,EV,2013,Milion barrels per day,0.000609999988228
China,Historical,Oil displacement Mbd,Vans,EV,2013,Milion barrels per day,4.70000013592653e-05
China,Historical,Oil displacement Mbd,Cars,EV,2013,Milion barrels per day,0.00054999999702
China,Historical,Oil displacement Mbd,Buses,EV,2014,Milion barrels per day,0.00109999999404
China,Historical,Oil displacement Mbd,Vans,EV,2014,Milion barrels per day,5.40000000910368e-05
China,Historical,Oil displacement Mbd,Cars,EV,2014,Milion barrels per day,0.001300000003539
China,Historical,Oil displacement Mbd,Buses,EV,2015,Milion barrels per day,0.005499999970198
China,Historical,Oil displacement Mbd,Trucks,EV,2015,Milion barrels per day,0.002000000094995
China,Historical,Oil displacement Mbd,Vans,EV,2015,Milion barrels per day,0.00044999999227
China,Historical,Oil displacement Mbd,Cars,EV,2015,Milion barrels per day,0.004100000020117
China,Historical,Oil displacement Mbd,Buses,EV,2016,Milion barrels per day,0.010999999940395
China,Historical,Oil displacement Mbd,Trucks,EV,2016,Milion barrels per day,0.006899999920279
China,Historical,Oil displacement Mbd,Vans,EV,2016,Milion barrels per day,0.000639999983832
China,Historical,Oil displacement Mbd,Cars,EV,2016,Milion barrels per day,0.008200000040233
China,Historical,Oil displacement Mbd,Buses,EV,2017,Milion barrels per day,0.023000000044704
China,Historical,Oil displacement Mbd,Trucks,EV,2017,Milion barrels per day,0.012000000104308
China,Historical,Oil displacement Mbd,Vans,EV,2017,Milion barrels per day,0.003199999919161
China,Historical,Oil displacement Mbd,Cars,EV,2017,Milion barrels per day,0.014999999664724
China,Historical,Oil displacement Mbd,Buses,EV,2018,Milion barrels per day,0.030999999493361
China,Historical,Oil displacement Mbd,Trucks,EV,2018,Milion barrels per day,0.016000000759959
China,Historical,Oil displacement Mbd,Vans,EV,2018,Milion barrels per day,0.00289999996312
China,Historical,Oil displacement Mbd,Cars,EV,2018,Milion barrels per day,0.029999999329448
China,Historical,Oil displacement Mbd,Buses,EV,2019,Milion barrels per day,0.032000001519919
China,Historical,Oil displacement Mbd,Trucks,EV,2019,Milion barrels per day,0.014999999664724
China,Historical,Oil displacement Mbd,Vans,EV,2019,Milion barrels per day,0.003100000089034
China,Historical,Oil displacement Mbd,Cars,EV,2019,Milion barrels per day,0.043000001460314
China,Projection-APS,Oil displacement Mbd,Buses,EV,2020,Milion barrels per day,0.030999999493361
China,Projection-APS,Oil displacement Mbd,Trucks,EV,2020,Milion barrels per day,0.014000000432134
China,Projection-APS,Oil displacement Mbd,Vans,EV,2020,Milion barrels per day,0.003000000026077
China,Projection-APS,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.050999999046326
China,Historical,Oil displacement Mbd,Buses,EV,2020,Milion barrels per day,0.030999999493361
China,Historical,Oil displacement Mbd,Trucks,EV,2020,Milion barrels per day,0.014000000432134
China,Historical,Oil displacement Mbd,Vans,EV,2020,Milion barrels per day,0.003000000026077
China,Historical,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.050999999046326
China,Projection-STEPS,Oil displacement Mbd,Buses,EV,2020,Milion barrels per day,0.030999999493361
China,Projection-STEPS,Oil displacement Mbd,Trucks,EV,2020,Milion barrels per day,0.014000000432134
China,Projection-STEPS,Oil displacement Mbd,Vans,EV,2020,Milion barrels per day,0.003000000026077
China,Projection-STEPS,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.050999999046326
China,Historical,Oil displacement Mbd,Buses,EV,2021,Milion barrels per day,0.032000001519919
China,Historical,Oil displacement Mbd,Trucks,EV,2021,Milion barrels per day,0.014000000432134
China,Historical,Oil displacement Mbd,Vans,EV,2021,Milion barrels per day,0.004199999850243
China,Historical,Oil displacement Mbd,Cars,EV,2021,Milion barrels per day,0.097999997437
China,Projection-APS,Oil displacement Mbd,Buses,EV,2021,Milion barrels per day,0.032000001519919
China,Projection-APS,Oil displacement Mbd,Trucks,EV,2021,Milion barrels per day,0.014000000432134
China,Projection-APS,Oil displacement Mbd,Vans,EV,2021,Milion barrels per day,0.004199999850243
China,Projection-APS,Oil displacement Mbd,Cars,EV,2021,Milion barrels per day,0.097999997437
China,Projection-STEPS,Oil displacement Mbd,Buses,EV,2021,Milion barrels per day,0.032000001519919
China,Projection-STEPS,Oil displacement Mbd,Trucks,EV,2021,Milion barrels per day,0.014000000432134
China,Projection-STEPS,Oil displacement Mbd,Vans,EV,2021,Milion barrels per day,0.004199999850243
China,Projection-STEPS,Oil displacement Mbd,Cars,EV,2021,Milion barrels per day,0.097999997437
China,Historical,Oil displacement Mbd,Buses,EV,2022,Milion barrels per day,0.028000000864267
China,Historical,Oil displacement Mbd,Trucks,EV,2022,Milion barrels per day,0.017000000923872
China,Historical,Oil displacement Mbd,Vans,EV,2022,Milion barrels per day,0.00650000013411
China,Historical,Oil displacement Mbd,Cars,EV,2022,Milion barrels per day,0.159999996423721
China,Projection-STEPS,Oil displacement Mbd,Buses,EV,2022,Milion barrels per day,0.028000000864267
China,Projection-STEPS,Oil displacement Mbd,Trucks,EV,2022,Milion barrels per day,0.017000000923872
China,Projection-STEPS,Oil displacement Mbd,Vans,EV,2022,Milion barrels per day,0.00650000013411
China,Projection-STEPS,Oil displacement Mbd,Cars,EV,2022,Milion barrels per day,0.159999996423721
China,Projection-APS,Oil displacement Mbd,Buses,EV,2022,Milion barrels per day,0.028000000864267
China,Projection-APS,Oil displacement Mbd,Trucks,EV,2022,Milion barrels per day,0.017000000923872
China,Projection-APS,Oil displacement Mbd,Vans,EV,2022,Milion barrels per day,0.00650000013411
China,Projection-APS,Oil displacement Mbd,Cars,EV,2022,Milion barrels per day,0.159999996423721
China,Projection-APS,Oil displacement Mbd,Buses,EV,2023,Milion barrels per day,0.028000000864267
China,Projection-APS,Oil displacement Mbd,Trucks,EV,2023,Milion barrels per day,0.021999999880791
China,Projection-APS,Oil displacement Mbd,Vans,EV,2023,Milion barrels per day,0.009800000116229
China,Projection-APS,Oil displacement Mbd,Cars,EV,2023,Milion barrels per day,0.310000002384186
China,Historical,Oil displacement Mbd,Buses,EV,2023,Milion barrels per day,0.028000000864267
China,Historical,Oil displacement Mbd,Trucks,EV,2023,Milion barrels per day,0.021999999880791
China,Historical,Oil displacement Mbd,Vans,EV,2023,Milion barrels per day,0.009800000116229
China,Historical,Oil displacement Mbd,Cars,EV,2023,Milion barrels per day,0.310000002384186
China,Projection-STEPS,Oil displacement Mbd,Buses,EV,2023,Milion barrels per day,0.028000000864267
China,Projection-STEPS,Oil displacement Mbd,Trucks,EV,2023,Milion barrels per day,0.021999999880791
