region,category,parameter,mode,powertrain,year,unit,value
Rest of the world,Historical,Oil displacement Mbd,Buses,EV,2010,Milion barrels per day,1.40000001920271e-05
Rest of the world,Historical,Oil displacement Mbd,Cars,EV,2010,Milion barrels per day,6.09999988228083e-05
Rest of the world,Historical,Oil displacement Mbd,Buses,EV,2011,Milion barrels per day,1.29999998534913e-05
Rest of the world,Historical,Oil displacement Mbd,Vans,EV,2011,Milion barrels per day,3.5000000934815e-05
Rest of the world,Historical,Oil displacement Mbd,Cars,EV,2011,Milion barrels per day,0.000289999996312
Rest of the world,Historical,Oil displacement Mbd,Buses,EV,2012,Milion barrels per day,1.40000001920271e-05
Rest of the world,Historical,Oil displacement Mbd,Trucks,EV,2012,Milion barrels per day,1.20000004244503e-06
Rest of the world,Historical,Oil displacement Mbd,Vans,EV,2012,Milion barrels per day,0.000130000000354
Rest of the world,Historical,Oil displacement Mbd,Cars,EV,2012,Milion barrels per day,0.000560000014957
Rest of the world,Historical,Oil displacement Mbd,Buses,EV,2013,Milion barrels per day,1.59999999596039e-05
Rest of the world,Historical,Oil displacement Mbd,Trucks,EV,2013,Milion barrels per day,2.40000008489005e-06
Rest of the world,Historical,Oil displacement Mbd,Vans,EV,2013,Milion barrels per day,0.000199999994948
Rest of the world,Historical,Oil displacement Mbd,Cars,EV,2013,Milion barrels per day,0.000880000006873
Rest of the world,Historical,Oil displacement Mbd,Buses,EV,2014,Milion barrels per day,1.59999999596039e-05
Rest of the world,Historical,Oil displacement Mbd,Trucks,EV,2014,Milion barrels per day,2.79999994745594e-06
Rest of the world,Historical,Oil displacement Mbd,Vans,EV,2014,Milion barrels per day,0.000220000001718
Rest of the world,Historical,Oil displacement Mbd,Cars,EV,2014,Milion barrels per day,0.001200000056997
Rest of the world,Historical,Oil displacement Mbd,Buses,EV,2015,Milion barrels per day,1.29999998534913e-05
Rest of the world,Historical,Oil displacement Mbd,Trucks,EV,2015,Milion barrels per day,3.50000004800677e-06
Rest of the world,Historical,Oil displacement Mbd,Vans,EV,2015,Milion barrels per day,0.000250000011874
Rest of the world,Historical,Oil displacement Mbd,Cars,EV,2015,Milion barrels per day,0.001700000022538
Rest of the world,Historical,Oil displacement Mbd,Buses,EV,2016,Milion barrels per day,3.0999999580672e-05
Rest of the world,Historical,Oil displacement Mbd,Trucks,EV,2016,Milion barrels per day,2.600000016173e-06
Rest of the world,Historical,Oil displacement Mbd,Vans,EV,2016,Milion barrels per day,0.000250000011874
Rest of the world,Historical,Oil displacement Mbd,Cars,EV,2016,Milion barrels per day,0.002400000113994
Rest of the world,Historical,Oil displacement Mbd,Buses,EV,2017,Milion barrels per day,5.2999999752501e-05
Rest of the world,Historical,Oil displacement Mbd,Trucks,EV,2017,Milion barrels per day,2.19999992623343e-06
Rest of the world,Historical,Oil displacement Mbd,Vans,EV,2017,Milion barrels per day,0.000239999993937
Rest of the world,Historical,Oil displacement Mbd,Cars,EV,2017,Milion barrels per day,0.003500000108033
Rest of the world,Historical,Oil displacement Mbd,Buses,EV,2018,Milion barrels per day,0.000159999995958
Rest of the world,Historical,Oil displacement Mbd,Trucks,EV,2018,Milion barrels per day,2.30000005103648e-05
Rest of the world,Historical,Oil displacement Mbd,Vans,EV,2018,Milion barrels per day,0.000250000011874
Rest of the world,Historical,Oil displacement Mbd,Cars,EV,2018,Milion barrels per day,0.005900000222027
Rest of the world,Historical,Oil displacement Mbd,Buses,EV,2019,Milion barrels per day,0.000380000012228
Rest of the world,Historical,Oil displacement Mbd,Trucks,EV,2019,Milion barrels per day,4.30000000051223e-05
Rest of the world,Historical,Oil displacement Mbd,Vans,EV,2019,Milion barrels per day,0.000280000007479
Rest of the world,Historical,Oil displacement Mbd,Cars,EV,2019,Milion barrels per day,0.00899999961257
Rest of the world,Projection-STEPS,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.010999999940395
Rest of the world,Historical,Oil displacement Mbd,Buses,EV,2020,Milion barrels per day,0.000600000028498
Rest of the world,Historical,Oil displacement Mbd,Trucks,EV,2020,Milion barrels per day,6.39999998384155e-05
Rest of the world,Historical,Oil displacement Mbd,Vans,EV,2020,Milion barrels per day,0.001200000056997
Rest of the world,Historical,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.010999999940395
Rest of the world,Projection-STEPS,Oil displacement Mbd,Buses,EV,2020,Milion barrels per day,0.000600000028498
Rest of the world,Projection-STEPS,Oil displacement Mbd,Trucks,EV,2020,Milion barrels per day,6.39999998384155e-05
Rest of the world,Projection-STEPS,Oil displacement Mbd,Vans,EV,2020,Milion barrels per day,0.001200000056997
Rest of the world,Projection-APS,Oil displacement Mbd,Buses,EV,2020,Milion barrels per day,0.000600000028498
Rest of the world,Projection-APS,Oil displacement Mbd,Trucks,EV,2020,Milion barrels per day,6.39999998384155e-05
Rest of the world,Projection-APS,Oil displacement Mbd,Vans,EV,2020,Milion barrels per day,0.001200000056997
Rest of the world,Projection-APS,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.010999999940395
Rest of the world,Projection-APS,Oil displacement Mbd,Buses,EV,2021,Milion barrels per day,0.000880000006873
Rest of the world,Projection-APS,Oil displacement Mbd,Trucks,EV,2021,Milion barrels per day,0.000159999995958
Rest of the world,Projection-APS,Oil displacement Mbd,Vans,EV,2021,Milion barrels per day,0.002799999900162
Rest of the world,Projection-APS,Oil displacement Mbd,Cars,EV,2021,Milion barrels per day,0.017000000923872
Rest of the world,Historical,Oil displacement Mbd,Buses,EV,2021,Milion barrels per day,0.000880000006873
Rest of the world,Historical,Oil displacement Mbd,Trucks,EV,2021,Milion barrels per day,0.000159999995958
Rest of the world,Historical,Oil displacement Mbd,Vans,EV,2021,Milion barrels per day,0.002799999900162
Rest of the world,Historical,Oil displacement Mbd,Cars,EV,2021,Milion barrels per day,0.017000000923872
Rest of the world,Projection-STEPS,Oil displacement Mbd,Buses,EV,2021,Milion barrels per day,0.000880000006873
Rest of the world,Projection-STEPS,Oil displacement Mbd,Trucks,EV,2021,Milion barrels per day,0.000159999995958
Rest of the world,Projection-STEPS,Oil displacement Mbd,Vans,EV,2021,Milion barrels per day,0.002799999900162
Rest of the world,Projection-STEPS,Oil displacement Mbd,Cars,EV,2021,Milion barrels per day,0.017000000923872
Rest of the world,Historical,Oil displacement Mbd,Buses,EV,2022,Milion barrels per day,0.00179999996908
Rest of the world,Historical,Oil displacement Mbd,Trucks,EV,2022,Milion barrels per day,0.000530000019353
Rest of the world,Historical,Oil displacement Mbd,Vans,EV,2022,Milion barrels per day,0.0046999999322
Rest of the world,Historical,Oil displacement Mbd,Cars,EV,2022,Milion barrels per day,0.029999999329448
Rest of the world,Projection-STEPS,Oil displacement Mbd,Buses,EV,2022,Milion barrels per day,0.00179999996908
Rest of the world,Projection-STEPS,Oil displacement Mbd,Trucks,EV,2022,Milion barrels per day,0.000530000019353
Rest of the world,Projection-STEPS,Oil displacement Mbd,Vans,EV,2022,Milion barrels per day,0.0046999999322
Rest of the world,Projection-STEPS,Oil displacement Mbd,Cars,EV,2022,Milion barrels per day,0.029999999329448
Rest of the world,Projection-APS,Oil displacement Mbd,Buses,EV,2022,Milion barrels per day,0.00179999996908
Rest of the world,Projection-APS,Oil displacement Mbd,Trucks,EV,2022,Milion barrels per day,0.000530000019353
Rest of the world,Projection-APS,Oil displacement Mbd,Vans,EV,2022,Milion barrels per day,0.0046999999322
Rest of the world,Projection-APS,Oil displacement Mbd,Cars,EV,2022,Milion barrels per day,0.029999999329448
Rest of the world,Projection-APS,Oil displacement Mbd,Buses,EV,2023,Milion barrels per day,0.003100000089034
Rest of the world,Projection-APS,Oil displacement Mbd,Trucks,EV,2023,Milion barrels per day,0.001500000013039
Rest of the world,Projection-APS,Oil displacement Mbd,Vans,EV,2023,Milion barrels per day,0.008600000292063
Rest of the world,Projection-APS,Oil displacement Mbd,Cars,EV,2023,Milion barrels per day,0.054999999701977
Rest of the world,Historical,Oil displacement Mbd,Buses,EV,2023,Milion barrels per day,0.003100000089034
Rest of the world,Historical,Oil displacement Mbd,Trucks,EV,2023,Milion barrels per day,0.001500000013039
Rest of the world,Historical,Oil displacement Mbd,Vans,EV,2023,Milion barrels per day,0.008500000461936
Rest of the world,Historical,Oil displacement Mbd,Cars,EV,2023,Milion barrels per day,0.054999999701977
Rest of the world,Projection-STEPS,Oil displacement Mbd,Buses,EV,2023,Milion barrels per day,0.003100000089034
Rest of the world,Projection-STEPS,Oil displacement Mbd,Trucks,EV,2023,Milion barrels per day,0.001500000013039
Rest of the world,Projection-STEPS,Oil displacement Mbd,Vans,EV,2023,Milion barrels per day,0.008500000461936
Rest of the world,Projection-STEPS,Oil displacement Mbd,Cars,EV,2023,Milion barrels per day,0.054999999701977
Rest of the world,Projection-STEPS,Oil displacement Mbd,Buses,EV,2025,Milion barrels per day,0.010999999940395
Rest of the world,Projection-STEPS,Oil displacement Mbd,Trucks,EV,2025,Milion barrels per day,0.005200000014156
Rest of the world,Projection-STEPS,Oil displacement Mbd,Vans,EV,2025,Milion barrels per day,0.023000000044704
Rest of the world,Projection-STEPS,Oil displacement Mbd,Cars,EV,2025,Milion barrels per day,0.119999997317791
Rest of the world,Projection-APS,Oil displacement Mbd,Buses,EV,2025,Milion barrels per day,0.014999999664724
Rest of the world,Projection-APS,Oil displacement Mbd,Trucks,EV,2025,Milion barrels per day,0.00870000012219
Rest of the world,Projection-APS,Oil displacement Mbd,Vans,EV,2025,Milion barrels per day,0.028000000864267
Rest of the world,Projection-APS,Oil displacement Mbd,Cars,EV,2025,Milion barrels per day,0.129999995231628
Rest of the world,Projection-APS,Oil displacement Mbd,Buses,EV,2030,Milion barrels per day,0.100000001490116
Rest of the world,Projection-APS,Oil displacement Mbd,Trucks,EV,2030,Milion barrels per day,0.092000000178814
Rest of the world,Projection-APS,Oil displacement Mbd,Vans,EV,2030,Milion barrels per day,0.170000001788139
Rest of the world,Projection-APS,Oil displacement Mbd,Cars,EV,2030,Milion barrels per day,0.589999973773956
Rest of the world,Projection-STEPS,Oil displacement Mbd,Buses,EV,2030,Milion barrels per day,0.048000000417233
Rest of the world,Projection-STEPS,Oil displacement Mbd,Trucks,EV,2030,Milion barrels per day,0.054000001400709
Rest of the world,Projection-STEPS,Oil displacement Mbd,Vans,EV,2030,Milion barrels per day,0.090000003576279
Rest of the world,Projection-STEPS,Oil displacement Mbd,Cars,EV,2030,Milion barrels per day,0.449999988079071
Rest of the world,Projection-STEPS,Oil displacement Mbd,Buses,EV,2035,Milion barrels per day,0.159999996423721
Rest of the world,Projection-STEPS,Oil displacement Mbd,Trucks,EV,2035,Milion barrels per day,0.159999996423721
Rest of the world,Projection-STEPS,Oil displacement Mbd,Vans,EV,2035,Milion barrels per day,0.209999993443489
Rest of the world,Projection-STEPS,Oil displacement Mbd,Cars,EV,2035,Milion barrels per day,1.10000002384186
Rest of the world,Projection-APS,Oil displacement Mbd,Buses,EV,2035,Milion barrels per day,0.28999999165535
Rest of the world,Projection-APS,Oil displacement Mbd,Trucks,EV,2035,Milion barrels per day,0.300000011920929
Rest of the world,Projection-APS,Oil displacement Mbd,Vans,EV,2035,Milion barrels per day,0.529999971389771
Rest of the world,Projection-APS,Oil displacement Mbd,Cars,EV,2035,Milion barrels per day,1.70000004768372
