region,category,parameter,mode,powertrain,year,unit,value
USA,Historical,Oil displacement Mbd,Cars,EV,2010,Milion barrels per day,0.000159999995958
USA,Historical,Oil displacement Mbd,Buses,EV,2011,Milion barrels per day,5.50000004295725e-05
USA,Historical,Oil displacement Mbd,Cars,EV,2011,Milion barrels per day,0.000639999983832
USA,Historical,Oil displacement Mbd,Buses,EV,2012,Milion barrels per day,4.19999996665865e-05
USA,Historical,Oil displacement Mbd,Cars,EV,2012,Milion barrels per day,0.001500000013039
USA,Historical,Oil displacement Mbd,Buses,EV,2013,Milion barrels per day,3.79999983124435e-05
USA,Historical,Oil displacement Mbd,Cars,EV,2013,Milion barrels per day,0.004499999806285
USA,Historical,Oil displacement Mbd,Buses,EV,2014,Milion barrels per day,3.70000016118865e-05
USA,Historical,Oil displacement Mbd,Cars,EV,2014,Milion barrels per day,0.008500000461936
USA,Historical,Oil displacement Mbd,Buses,EV,2015,Milion barrels per day,7.10000022081658e-05
USA,Historical,Oil displacement Mbd,Cars,EV,2015,Milion barrels per day,0.010999999940395
USA,Historical,Oil displacement Mbd,Buses,EV,2016,Milion barrels per day,0.000180000002729
USA,Historical,Oil displacement Mbd,Cars,EV,2016,Milion barrels per day,0.014000000432134
USA,Historical,Oil displacement Mbd,Buses,EV,2017,Milion barrels per day,0.000199999994948
USA,Historical,Oil displacement Mbd,Cars,EV,2017,Milion barrels per day,0.018999999389052
USA,Historical,Oil displacement Mbd,Buses,EV,2018,Milion barrels per day,0.000330000009853
USA,Historical,Oil displacement Mbd,Cars,EV,2018,Milion barrels per day,0.028999999165535
USA,Historical,Oil displacement Mbd,Buses,EV,2019,Milion barrels per day,0.000390000001062
USA,Historical,Oil displacement Mbd,Cars,EV,2019,Milion barrels per day,0.039000000804663
USA,Historical,Oil displacement Mbd,Buses,EV,2020,Milion barrels per day,0.000429999985499
USA,Historical,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.043000001460314
USA,Projection-STEPS,Oil displacement Mbd,Buses,EV,2020,Milion barrels per day,0.000429999985499
USA,Projection-STEPS,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.043000001460314
USA,Projection-APS,Oil displacement Mbd,Buses,EV,2020,Milion barrels per day,0.000429999985499
USA,Projection-APS,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.043000001460314
USA,Projection-APS,Oil displacement Mbd,Buses,EV,2021,Milion barrels per day,0.00065000000177
USA,Projection-APS,Oil displacement Mbd,Cars,EV,2021,Milion barrels per day,0.068999998271465
USA,Historical,Oil displacement Mbd,Buses,EV,2021,Milion barrels per day,0.00065000000177
USA,Historical,Oil displacement Mbd,Cars,EV,2021,Milion barrels per day,0.068999998271465
USA,Projection-STEPS,Oil displacement Mbd,Buses,EV,2021,Milion barrels per day,0.00065000000177
USA,Projection-STEPS,Oil displacement Mbd,Cars,EV,2021,Milion barrels per day,0.068999998271465
USA,Historical,Oil displacement Mbd,Buses,EV,2022,Milion barrels per day,0.00109999999404
USA,Historical,Oil displacement Mbd,Cars,EV,2022,Milion barrels per day,0.109999999403954
USA,Projection-STEPS,Oil displacement Mbd,Buses,EV,2022,Milion barrels per day,0.00109999999404
USA,Projection-STEPS,Oil displacement Mbd,Cars,EV,2022,Milion barrels per day,0.109999999403954
USA,Projection-APS,Oil displacement Mbd,Buses,EV,2022,Milion barrels per day,0.00109999999404
USA,Projection-APS,Oil displacement Mbd,Cars,EV,2022,Milion barrels per day,0.109999999403954
USA,Projection-APS,Oil displacement Mbd,Buses,EV,2023,Milion barrels per day,0.00109999999404
USA,Projection-APS,Oil displacement Mbd,Cars,EV,2023,Milion barrels per day,0.170000001788139
USA,Projection-STEPS,Oil displacement Mbd,Buses,EV,2023,Milion barrels per day,0.00109999999404
USA,Projection-STEPS,Oil displacement Mbd,Cars,EV,2023,Milion barrels per day,0.170000001788139
USA,Historical,Oil displacement Mbd,Buses,EV,2023,Milion barrels per day,0.00109999999404
USA,Historical,Oil displacement Mbd,Cars,EV,2023,Milion barrels per day,0.170000001788139
USA,Projection-STEPS,Oil displacement Mbd,Buses,EV,2025,Milion barrels per day,0.006599999964237
USA,Projection-STEPS,Oil displacement Mbd,Trucks,EV,2025,Milion barrels per day,0.007799999788404
USA,Projection-STEPS,Oil displacement Mbd,Vans,EV,2025,Milion barrels per day,0.010999999940395
USA,Projection-STEPS,Oil displacement Mbd,Cars,EV,2025,Milion barrels per day,0.349999994039536
USA,Projection-APS,Oil displacement Mbd,Buses,EV,2025,Milion barrels per day,0.006599999964237
USA,Projection-APS,Oil displacement Mbd,Trucks,EV,2025,Milion barrels per day,0.01799999922514
USA,Projection-APS,Oil displacement Mbd,Vans,EV,2025,Milion barrels per day,0.010999999940395
USA,Projection-APS,Oil displacement Mbd,Cars,EV,2025,Milion barrels per day,0.349999994039536
USA,Projection-APS,Oil displacement Mbd,Buses,EV,2030,Milion barrels per day,0.041000001132488
USA,Projection-APS,Oil displacement Mbd,Trucks,EV,2030,Milion barrels per day,0.200000002980232
USA,Projection-APS,Oil displacement Mbd,Vans,EV,2030,Milion barrels per day,0.094999998807907
USA,Projection-APS,Oil displacement Mbd,Cars,EV,2030,Milion barrels per day,1.20000004768372
USA,Projection-STEPS,Oil displacement Mbd,Buses,EV,2030,Milion barrels per day,0.035999998450279
USA,Projection-STEPS,Oil displacement Mbd,Trucks,EV,2030,Milion barrels per day,0.119999997317791
USA,Projection-STEPS,Oil displacement Mbd,Vans,EV,2030,Milion barrels per day,0.094999998807907
USA,Projection-STEPS,Oil displacement Mbd,Cars,EV,2030,Milion barrels per day,1.39999997615814
USA,Projection-STEPS,Oil displacement Mbd,Buses,EV,2035,Milion barrels per day,0.086999997496605
USA,Projection-STEPS,Oil displacement Mbd,Trucks,EV,2035,Milion barrels per day,0.490000009536743
USA,Projection-STEPS,Oil displacement Mbd,Vans,EV,2035,Milion barrels per day,0.239999994635582
USA,Projection-STEPS,Oil displacement Mbd,Cars,EV,2035,Milion barrels per day,2.5
USA,Projection-APS,Oil displacement Mbd,Buses,EV,2035,Milion barrels per day,0.100000001490116
USA,Projection-APS,Oil displacement Mbd,Trucks,EV,2035,Milion barrels per day,0.639999985694885
USA,Projection-APS,Oil displacement Mbd,Vans,EV,2035,Milion barrels per day,0.25
USA,Projection-APS,Oil displacement Mbd,Cars,EV,2035,Milion barrels per day,2.0
