region,category,parameter,mode,powertrain,year,unit,value
Rest of the world,Historical,"Oil displacement, million lge",Buses,EV,2010,"Oil displacement, million lge",0.829999983310699
Rest of the world,Historical,"Oil displacement, million lge",Cars,EV,2010,"Oil displacement, million lge",3.59999990463257
Rest of the world,Historical,"Oil displacement, million lge",Buses,EV,2011,"Oil displacement, million lge",0.769999980926514
Rest of the world,Historical,"Oil displacement, million lge",Vans,EV,2011,"Oil displacement, million lge",2.0
Rest of the world,Historical,"Oil displacement, million lge",Cars,EV,2011,"Oil displacement, million lge",17.0
Rest of the world,Historical,"Oil displacement, million lge",Buses,EV,2012,"Oil displacement, million lge",0.790000021457672
Rest of the world,Historical,"Oil displacement, million lge",Trucks,EV,2012,"Oil displacement, million lge",0.068999998271465
Rest of the world,Historical,"Oil displacement, million lge",Vans,EV,2012,"Oil displacement, million lge",7.5
Rest of the world,Historical,"Oil displacement, million lge",Cars,EV,2012,"Oil displacement, million lge",33.0
Rest of the world,Historical,"Oil displacement, million lge",Buses,EV,2013,"Oil displacement, million lge",0.899999976158142
Rest of the world,Historical,"Oil displacement, million lge",Trucks,EV,2013,"Oil displacement, million lge",0.140000000596046
Rest of the world,Historical,"Oil displacement, million lge",Vans,EV,2013,"Oil displacement, million lge",12.0
Rest of the world,Historical,"Oil displacement, million lge",Cars,EV,2013,"Oil displacement, million lge",51.0
Rest of the world,Historical,"Oil displacement, million lge",Buses,EV,2014,"Oil displacement, million lge",0.910000026226044
Rest of the world,Historical,"Oil displacement, million lge",Trucks,EV,2014,"Oil displacement, million lge",0.159999996423721
Rest of the world,Historical,"Oil displacement, million lge",Vans,EV,2014,"Oil displacement, million lge",13.0
Rest of the world,Historical,"Oil displacement, million lge",Cars,EV,2014,"Oil displacement, million lge",71.0
Rest of the world,Historical,"Oil displacement, million lge",Buses,EV,2015,"Oil displacement, million lge",0.769999980926514
Rest of the world,Historical,"Oil displacement, million lge",Trucks,EV,2015,"Oil displacement, million lge",0.200000002980232
Rest of the world,Historical,"Oil displacement, million lge",Vans,EV,2015,"Oil displacement, million lge",15.0
Rest of the world,Historical,"Oil displacement, million lge",Cars,EV,2015,"Oil displacement, million lge",100.0
Rest of the world,Historical,"Oil displacement, million lge",Buses,EV,2016,"Oil displacement, million lge",1.79999995231628
Rest of the world,Historical,"Oil displacement, million lge",Trucks,EV,2016,"Oil displacement, million lge",0.150000005960464
Rest of the world,Historical,"Oil displacement, million lge",Vans,EV,2016,"Oil displacement, million lge",15.0
Rest of the world,Historical,"Oil displacement, million lge",Cars,EV,2016,"Oil displacement, million lge",140.0
Rest of the world,Historical,"Oil displacement, million lge",Buses,EV,2017,"Oil displacement, million lge",3.09999990463257
