region,category,parameter,mode,powertrain,year,unit,value
World,Historical,"Oil displacement, million lge",Buses,EV,2010,"Oil displacement, million lge",20.0
World,Historical,"Oil displacement, million lge",Trucks,EV,2010,"Oil displacement, million lge",1.0
World,Historical,"Oil displacement, million lge",Vans,EV,2010,"Oil displacement, million lge",10.0
World,Historical,"Oil displacement, million lge",Cars,EV,2010,"Oil displacement, million lge",22.0
World,Historical,"Oil displacement, million lge",Buses,EV,2011,"Oil displacement, million lge",24.0
World,Historical,"Oil displacement, million lge",Trucks,EV,2011,"Oil displacement, million lge",3.5
World,Historical,"Oil displacement, million lge",Vans,EV,2011,"Oil displacement, million lge",18.0
World,Historical,"Oil displacement, million lge",Cars,EV,2011,"Oil displacement, million lge",81.0
World,Historical,"Oil displacement, million lge",Buses,EV,2012,"Oil displacement, million lge",33.0
World,Historical,"Oil displacement, million lge",Trucks,EV,2012,"Oil displacement, million lge",3.29999995231628
World,Historical,"Oil displacement, million lge",Vans,EV,2012,"Oil displacement, million lge",48.0
World,Historical,"Oil displacement, million lge",Cars,EV,2012,"Oil displacement, million lge",180.0
World,Historical,"Oil displacement, million lge",Buses,EV,2013,"Oil displacement, million lge",47.0
World,Historical,"Oil displacement, million lge",Trucks,EV,2013,"Oil displacement, million lge",3.59999990463257
World,Historical,"Oil displacement, million lge",Vans,EV,2013,"Oil displacement, million lge",76.0
World,Historical,"Oil displacement, million lge",Cars,EV,2013,"Oil displacement, million lge",430.0
World,Historical,"Oil displacement, million lge",Buses,EV,2014,"Oil displacement, million lge",77.0
World,Historical,"Oil displacement, million lge",Trucks,EV,2014,"Oil displacement, million lge",3.79999995231628
World,Historical,"Oil displacement, million lge",Vans,EV,2014,"Oil displacement, million lge",110.0
World,Historical,"Oil displacement, million lge",Cars,EV,2014,"Oil displacement, million lge",800.0
World,Historical,"Oil displacement, million lge",Buses,EV,2015,"Oil displacement, million lge",350.0
World,Historical,"Oil displacement, million lge",Trucks,EV,2015,"Oil displacement, million lge",120.0
World,Historical,"Oil displacement, million lge",Vans,EV,2015,"Oil displacement, million lge",160.0
World,Historical,"Oil displacement, million lge",Cars,EV,2015,"Oil displacement, million lge",1300.0
World,Historical,"Oil displacement, million lge",Buses,EV,2016,"Oil displacement, million lge",700.0
World,Historical,"Oil displacement, million lge",Trucks,EV,2016,"Oil displacement, million lge",420.0
World,Historical,"Oil displacement, million lge",Vans,EV,2016,"Oil displacement, million lge",200.0
World,Historical,"Oil displacement, million lge",Cars,EV,2016,"Oil displacement, million lge",1900.0
World,Historical,"Oil displacement, million lge",Buses,EV,2017,"Oil displacement, million lge",1400.0
World,Historical,"Oil displacement, million lge",Trucks,EV,2017,"Oil displacement, million lge",740.0
World,Historical,"Oil displacement, million lge",Vans,EV,2017,"Oil displacement, million lge",390.0
World,Historical,"Oil displacement, million lge",Cars,EV,2017,"Oil displacement, million lge",2800.0
World,Historical,"Oil displacement, million lge",Buses,EV,2018,"Oil displacement, million lge",1900.0
World,Historical,"Oil displacement, million lge",Trucks,EV,2018,"Oil displacement, million lge",960.0
World,Historical,"Oil displacement, million lge",Vans,EV,2018,"Oil displacement, million lge",430.0
World,Historical,"Oil displacement, million lge",Cars,EV,2018,"Oil displacement, million lge",4600.0
World,Historical,"Oil displacement, million lge",Buses,EV,2019,"Oil displacement, million lge",2000.0
World,Historical,"Oil displacement, million lge",Trucks,EV,2019,"Oil displacement, million lge",910.0
World,Historical,"Oil displacement, million lge",Vans,EV,2019,"Oil displacement, million lge",500.0
World,Historical,"Oil displacement, million lge",Cars,EV,2019,"Oil displacement, million lge",6600.0
World,Projection-APS,"Oil displacement, million lge",Buses,EV,2020,"Oil displacement, million lge",2000.0
World,Projection-APS,"Oil displacement, million lge",Trucks,EV,2020,"Oil displacement, million lge",850.0
World,Projection-APS,"Oil displacement, million lge",Vans,EV,2020,"Oil displacement, million lge",580.0
World,Projection-APS,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",8000.0
World,Historical,"Oil displacement, million lge",Buses,EV,2020,"Oil displacement, million lge",2000.0
World,Historical,"Oil displacement, million lge",Trucks,EV,2020,"Oil displacement, million lge",850.0
World,Historical,"Oil displacement, million lge",Vans,EV,2020,"Oil displacement, million lge",580.0
World,Historical,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",8000.0
World,Projection-STEPS,"Oil displacement, million lge",Buses,EV,2020,"Oil displacement, million lge",2000.0
World,Projection-STEPS,"Oil displacement, million lge",Trucks,EV,2020,"Oil displacement, million lge",850.0
World,Projection-STEPS,"Oil displacement, million lge",Vans,EV,2020,"Oil displacement, million lge",580.0
World,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",8000.0
World,Historical,"Oil displacement, million lge",Buses,EV,2021,"Oil displacement, million lge",2200.0
World,Historical,"Oil displacement, million lge",Trucks,EV,2021,"Oil displacement, million lge",910.0
World,Historical,"Oil displacement, million lge",Vans,EV,2021,"Oil displacement, million lge",920.0
World,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",14000.0
World,Projection-STEPS,"Oil displacement, million lge",Buses,EV,2021,"Oil displacement, million lge",2200.0
World,Projection-STEPS,"Oil displacement, million lge",Trucks,EV,2021,"Oil displacement, million lge",910.0
World,Projection-STEPS,"Oil displacement, million lge",Vans,EV,2021,"Oil displacement, million lge",920.0
World,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",14000.0
World,Projection-APS,"Oil displacement, million lge",Buses,EV,2021,"Oil displacement, million lge",2200.0
World,Projection-APS,"Oil displacement, million lge",Trucks,EV,2021,"Oil displacement, million lge",910.0
World,Projection-APS,"Oil displacement, million lge",Vans,EV,2021,"Oil displacement, million lge",920.0
World,Projection-APS,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",14000.0
World,Projection-APS,"Oil displacement, million lge",Buses,EV,2022,"Oil displacement, million lge",2100.0
World,Projection-APS,"Oil displacement, million lge",Trucks,EV,2022,"Oil displacement, million lge",1200.0
World,Projection-APS,"Oil displacement, million lge",Vans,EV,2022,"Oil displacement, million lge",1400.0
World,Projection-APS,"Oil displacement, million lge",Cars,EV,2022,"Oil displacement, million lge",24000.0
World,Historical,"Oil displacement, million lge",Buses,EV,2022,"Oil displacement, million lge",2100.0
World,Historical,"Oil displacement, million lge",Trucks,EV,2022,"Oil displacement, million lge",1200.0
World,Historical,"Oil displacement, million lge",Vans,EV,2022,"Oil displacement, million lge",1400.0
World,Historical,"Oil displacement, million lge",Cars,EV,2022,"Oil displacement, million lge",24000.0
World,Projection-STEPS,"Oil displacement, million lge",Buses,EV,2022,"Oil displacement, million lge",2100.0
World,Projection-STEPS,"Oil displacement, million lge",Trucks,EV,2022,"Oil displacement, million lge",1200.0
World,Projection-STEPS,"Oil displacement, million lge",Vans,EV,2022,"Oil displacement, million lge",1400.0
World,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2022,"Oil displacement, million lge",24000.0
World,Historical,"Oil displacement, million lge",Buses,EV,2023,"Oil displacement, million lge",2500.0
World,Historical,"Oil displacement, million lge",Trucks,EV,2023,"Oil displacement, million lge",1900.0
World,Historical,"Oil displacement, million lge",Vans,EV,2023,"Oil displacement, million lge",2500.0
World,Historical,"Oil displacement, million lge",Cars,EV,2023,"Oil displacement, million lge",42000.0
World,Projection-STEPS,"Oil displacement, million lge",Buses,EV,2023,"Oil displacement, million lge",2500.0
World,Projection-STEPS,"Oil displacement, million lge",Trucks,EV,2023,"Oil displacement, million lge",1900.0
World,Projection-STEPS,"Oil displacement, million lge",Vans,EV,2023,"Oil displacement, million lge",2500.0
World,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2023,"Oil displacement, million lge",42000.0
World,Projection-APS,"Oil displacement, million lge",Buses,EV,2023,"Oil displacement, million lge",2500.0
World,Projection-APS,"Oil displacement, million lge",Trucks,EV,2023,"Oil displacement, million lge",1900.0
